year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1956	05	13	Sudan	Ethiopia	5	1	F		4	1704	1446	−	−3	24	78
1956	11	16	Ethiopia	Sudan	2	1	F		14	1460	1690	+6	−4	75	27
1957	02	10	Sudan	Egypt	1	2	AR		-38	1652	1631	−9	+7	35	40
1957	02	17	Sudan	Egypt	3	4	F		-13	1639	1670	−4	+4	40	31
1957	03	08	Sudan	Syria	1	0	WQ		3	1642	1311	+1	0	39	100
1957	05	24	Syria	Sudan	1	1	WQ		12	1323	1630	0	−2	101	40
1957	07	21	China	Sudan	4	1	F		20	1492	1610	+6	−2	65	44
1959	05	25	Sudan	Ethiopia	1	0	AR	RR	13	1623	1407	+1	−4	41	89
1959	05	29	United Arab Republic	Sudan	2	1	AR		17	1661	1606	+4	−2	36	43
1959	11	23	Sudan	Ethiopia	3	1	OQ		11	1617	1426	+1	−1	43	84
1959	12	09	Sudan	Uganda	1	0	OQ		8	1625	1463	+1	−3	42	79
1959	12	20	Ethiopia	Sudan	1	1	OQ		6	1428	1619	+3	0	84	42
1960	01	03	Uganda	Sudan	0	1	OQ		-17	1450	1636	−1	+3	77	39
1960	02	14	Sudan	Tunisia	1	0	OQ		10	1646	1539	+1	−1	38	56
1960	02	26	Sudan	United Arab Republic	0	1	OQ		-20	1626	1759	−4	+5	42	21
1960	04	17	Tunisia	Sudan	2	0	OQ		29	1566	1597	+3	−2	53	45
1960	04	22	United Arab Republic	Sudan	3	0	OQ		13	1765	1584	+2	−2	21	46
1963	00	00	Ethiopia	Sudan	4	0	F		18	1523	1566	+2	−4	66	54
1963	06	01	Kenya	Sudan	0	1	FQ		-18	1409	1584	−5	+4	91	51
1963	06	30	Sudan	Kenya	5	0	FQ		13	1597	1387	+1	−5	50	98
1963	09	18	Bulgaria	Sudan	1	1	F		-7	1769	1604	−1	+2	21	47
1963	11	26	Egypt	Sudan	2	2	AR	GH	-9	1733	1613	0	+3	25	45
1963	11	28	Sudan	Nigeria	4	0	AR	GH	45	1658	1555	+11	−10	34	59
1963	12	01	Ghana	Sudan	3	0	AR		17	1822	1641	+3	−5	14	39
1964	03	15	Lebanon	Sudan	1	1	TIF	LY	9	1418	1632	+1	−3	87	42
1964	03	17	Libya	Sudan	1	0	TIF		19	1463	1613	+4	−3	78	45
1964	03	27	Egypt	Sudan	4	1	OQ		13	1776	1600	+3	−1	19	46
1964	04	17	Sudan	Egypt	3	3	OQ		4	1604	1772	+1	−1	45	20
1965	03	27	Sudan	Ethiopia	2	1	FQ		11	1615	1519	0	−3	44	65
1965	04	11	Sudan	Kenya	4	2	FQ		9	1624	1401	+1	−2	43	92
1965	04	12	Sudan	Kenya	4	3	F		3	1627	1398	0	−1	43	93
1965	04	18	Ethiopia	Sudan	1	0	FQ		20	1549	1607	+4	−4	58	46
1965	04	25	Kenya	Sudan	1	1	FQ		6	1404	1601	+1	−1	92	47
1965	05	01	Uganda	Sudan	1	3	FQ		-22	1378	1623	−6	+4	99	43
1965	08	22	Sudan	Uganda	4	1	FQ		9	1632	1379	+1	−2	40	99
1965	09	03	Sudan	Libya	4	2	PAR	EG	19	1651	1481	+3	−5	37	76
1965	09	04	Sudan	Oman	15	0	PAR	EG	2	1653	894	0	0	37	160
1965	09	07	Sudan	Syria	2	0	PAR	EG	11	1664	1375	+2	−4	36	99
1965	09	09	Sudan	Palestine	2	1	PAR	EG	4	1668	1257	0	0	36	122
1965	09	11	Egypt	Sudan	0	0	PAR		-13	1810	1681	−2	+2	16	34
1966	07	02	Sudan	Uganda	2	1	EAC	ET	4	1685	1335	+1	−1	34	109
1966	07	04	Ethiopia	Sudan	1	1	EAC		4	1505	1681	+1	−1	66	35
1966	12	10	Kenya	Sudan	0	1	IND		-10	1449	1691	−7	+1	85	34
1966	12	12	Kenya	Sudan	3	2	IND		21	1470	1670	+7	−3	78	37
1967	01	29	Sudan	East Germany	1	2	F		-8	1662	1831	0	+1	36	13
1967	02	21	Sudan	Tanzania	1	0	EAC		2	1664	1264	0	−1	36	125
1967	02	24	Sudan	Ethiopia	1	1	EAC		-9	1655	1534	−2	+1	37	62
1967	02	26	Sudan	Ethiopia	5	3	EAC		10	1665	1524	+2	−1	35	63
1967	02	28	Ethiopia	Sudan	2	1	F		11	1535	1654	+2	−2	61	37
1967	03	07	Libya	Sudan	1	1	TIF		4	1471	1650	+1	−1	76	38
1967	03	10	Iraq	Sudan	2	2	TIF	LY	1	1633	1649	0	0	40	38
1967	03	18	DR Congo	Sudan	3	2	FQ		15	1660	1634	+3	−2	36	40
1967	04	02	Sudan	DR Congo	1	0	FQ		16	1650	1644	+2	−4	38	40
1967	08	13	DR Congo	Sudan	2	1	FQ	UG	20	1662	1630	+4	−4	36	41
1967	11	05	Nigeria	Sudan	1	0	OQ		19	1559	1611	+6	−5	55	45
1967	11	19	Sudan	Nigeria	2	1	OQ		12	1623	1547	+4	−2	42	59
1968	10	27	Zambia	Sudan	4	2	WQ		28	1580	1595	+4	−6	54	50
1968	11	08	Sudan	Zambia	4	2	WQ		20	1615	1560	+5	−5	45	59
1968	12	12	Kenya	Sudan	1	1	IPC		5	1409	1610	+1	0	93	45
1969	01	08	Sudan	Kenya	1	0	EAC	ET	7	1617	1408	+2	−2	45	94
1969	01	10	Sudan	Tanzania	3	0	EAC	ET	4	1621	1170	+1	−1	44	141
1969	01	12	Ethiopia	Sudan	0	1	EAC		-18	1574	1639	−5	+3	55	41
1969	05	04	Ethiopia	Sudan	1	1	WQ		-1	1561	1640	−1	0	58	42
