year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1908	07	12	Sweden	Norway	11	3	F		4	1704	1396	−	−	11	19
1908	09	08	Sweden	England	1	6	F		-6	1698	2100	0	0	11	1
1908	10	20	England	Sweden	12	1	OG		9	2109	1689	0	0	1	11
1908	10	23	Netherlands	Sweden	2	0	OG	EN	23	1900	1666	+1	−1	4	13
1908	10	25	Netherlands	Sweden	5	3	F		4	1904	1662	0	0	4	13
1908	10	26	Belgium	Sweden	2	1	F		5	1771	1657	0	0	11	13
1909	11	06	England	Sweden	7	0	F		1	2202	1656	0	0	1	13
1910	09	11	Norway	Sweden	0	4	F		-11	1385	1667	−1	+1	22	13
1911	06	18	Sweden	Germany	2	4	F		-19	1648	1687	−1	0	14	12
1911	09	17	Sweden	Norway	4	1	F		4	1652	1381	0	0	14	22
1911	10	22	Finland	Sweden	2	5	F		-20	1580	1672	−	+1	16	13
1911	10	29	Germany	Sweden	1	3	F		-19	1660	1691	−2	+1	14	12
1912	06	16	Norway	Sweden	1	2	F		-5	1376	1696	0	0	23	12
1912	06	20	Sweden	Hungary	2	2	F		3	1699	1886	0	0	12	6
1912	06	27	Sweden	Finland	7	1	F		9	1708	1571	0	0	12	16
1912	06	29	Sweden	Netherlands	3	4	OG		-18	1690	1970	0	0	12	3
1912	07	01	Sweden	Italy	0	1	OG		-44	1646	1656	−2	+2	14	13
1912	11	03	Sweden	Norway	4	2	F		3	1649	1374	0	0	13	24
1913	05	04	Russia	Sweden	1	4	F		-14	1457	1663	0	0	23	13
1913	05	18	Hungary	Sweden	2	0	F		2	1987	1661	0	0	3	13
1913	05	25	Denmark	Sweden	8	0	F		3	2033	1658	0	0	2	13
1913	06	08	Sweden	Norway	9	0	F		5	1663	1369	0	0	13	25
1913	10	05	Sweden	Denmark	0	10	F		-9	1654	2042	0	0	13	2
1913	10	26	Norway	Sweden	1	1	F		5	1379	1649	0	0	25	13
1914	05	24	Sweden	Finland	4	3	F		6	1655	1605	0	0	13	15
1914	06	10	Sweden	England	1	5	F		-5	1650	2067	0	+1	13	1
1914	06	12	Sweden	England	0	5	F		-6	1644	2073	0	0	13	1
1914	06	19	Sweden	Hungary	1	5	F		-8	1636	1974	0	0	13	3
1914	06	21	Sweden	Hungary	1	1	F		6	1642	1968	0	0	13	3
1914	06	28	Norway	Sweden	0	1	F		-6	1373	1648	0	0	25	13
1914	07	05	Sweden	Russia	2	2	F		-7	1641	1459	0	0	13	23
1914	10	25	Sweden	Norway	7	0	F		5	1646	1377	0	0	14	26
1915	06	06	Denmark	Sweden	2	0	F		1	2068	1645	0	0	2	14
1915	06	27	Norway	Sweden	1	1	F		4	1381	1641	0	0	26	14
1915	10	24	Sweden	Norway	5	2	F		4	1645	1377	0	−1	14	27
1915	10	31	Sweden	Denmark	0	2	F		-4	1641	2072	0	0	14	2
1916	06	04	Denmark	Sweden	2	0	F		1	2073	1640	+1	0	1	14
1916	07	02	Sweden	Norway	6	0	F		5	1645	1371	0	0	14	27
1916	08	20	Sweden	United States	2	3	F		-11	1634	1711	−2	−	16	13
1916	10	01	Norway	Sweden	0	0	F		4	1381	1630	+1	0	27	16
1916	10	08	Sweden	Denmark	4	0	F		33	1663	2041	+2	−1	14	2
1917	06	03	Denmark	Sweden	1	1	F		-9	2033	1672	0	0	2	14
1917	08	19	Sweden	Norway	3	3	F		-8	1664	1387	0	0	14	27
1917	09	16	Norway	Sweden	0	2	F		-8	1379	1672	0	0	27	14
1917	10	14	Sweden	Denmark	1	2	F		-4	1668	2039	0	0	14	2
1918	05	26	Sweden	Norway	2	0	F		3	1671	1375	0	0	14	28
1918	06	02	Denmark	Sweden	3	0	F		2	2041	1669	0	0	2	14
1918	09	15	Norway	Sweden	2	1	F		14	1418	1655	0	−1	26	15
1918	10	20	Sweden	Denmark	1	2	F		-4	1651	2017	0	0	15	2
1919	05	29	Sweden	Finland	1	0	F		6	1657	1599	0	−1	16	19
1919	06	05	Denmark	Sweden	3	0	F		2	2019	1655	0	0	2	16
1919	06	09	Netherlands	Sweden	3	1	F		3	1958	1652	0	0	5	16
1919	06	29	Norway	Sweden	4	3	F		14	1430	1638	0	0	27	16
1919	08	24	Sweden	Netherlands	4	1	F		27	1665	1931	+1	0	15	5
1919	09	14	Sweden	Norway	1	5	F		-33	1632	1471	−1	+1	16	26
1919	09	28	Finland	Sweden	3	3	F		-2	1597	1634	0	0	19	16
1919	10	12	Sweden	Denmark	3	0	F		29	1663	1972	+1	−2	15	4
1920	05	30	Sweden	Finland	4	0	F		10	1673	1587	0	0	15	20
1920	06	06	Sweden	Switzerland	0	1	F		-16	1657	1542	−2	0	17	23
1920	06	27	Norway	Sweden	0	3	F		-15	1483	1672	0	+2	26	15
1920	08	28	Sweden	Greece	9	0	OG	BE	24	1696	1363	−1	−4	16	33
1920	08	29	Netherlands	Sweden	5	4	OG	BE	13	1929	1683	+1	0	5	16
1920	09	01	Spain	Sweden	2	1	OG	BE	10	1973	1673	0	0	3	16
1920	09	19	Finland	Sweden	1	0	F		10	1597	1663	0	0	23	17
1920	09	26	Sweden	Norway	0	0	F		-6	1657	1535	−1	0	18	27
1920	10	10	Sweden	Denmark	0	2	F		-8	1649	1933	0	+2	18	5
1921	03	26	Austria	Sweden	2	2	F		-7	1817	1656	−1	+1	12	18
1921	05	29	Sweden	Finland	0	3	F		-25	1631	1620	−1	0	20	21
1921	06	19	Norway	Sweden	3	1	F		14	1558	1617	+1	−1	26	21
1921	07	22	Estonia	Sweden	0	0	F		3	1396	1614	0	0	32	22
1921	07	24	Sweden	Austria	1	3	F		-10	1604	1839	0	0	22	11
1921	09	18	Sweden	Norway	0	3	F		-24	1580	1582	−3	+3	26	24
1921	10	09	Sweden	Denmark	0	0	F		6	1586	1924	+1	−1	24	6
1921	11	06	Hungary	Sweden	4	2	F		2	1940	1584	0	0	4	25
1921	11	13	Czechoslovakia	Sweden	2	2	F		-8	1884	1592	0	0	8	25
1922	05	28	Sweden	Poland	1	2	F		-13	1579	1605	−3	+1	29	25
1922	06	05	Finland	Sweden	1	4	F		-24	1599	1603	−3	+4	26	25
1922	07	09	Sweden	Hungary	1	1	F		6	1609	1923	+2	0	24	5
1922	08	13	Sweden	Czechoslovakia	0	2	F		-8	1601	1897	−2	0	26	7
1922	08	23	Sweden	Norway	0	0	F		-3	1598	1611	0	0	26	24
1922	09	24	Norway	Sweden	0	5	F		-27	1607	1625	−3	+3	26	23
1922	10	01	Denmark	Sweden	1	2	F		-18	1866	1643	−1	0	9	23
1923	05	21	Sweden	England	2	4	F		-8	1635	1927	0	0	24	4
1923	06	10	Sweden	Austria	4	2	F		19	1654	1809	0	−2	24	13
1923	06	20	Sweden	Finland	5	4	F		5	1659	1563	+1	−1	23	34
1923	06	29	Sweden	Germany	2	1	F		8	1667	1670	0	−1	23	22
1923	09	16	Norway	Sweden	2	3	F		-11	1604	1678	−1	+1	26	21
1923	10	14	Sweden	Denmark	1	3	F		-12	1666	1872	−1	0	22	10
1923	10	28	Hungary	Sweden	2	1	F		2	1924	1664	0	0	5	22
1923	11	01	Poland	Sweden	2	2	F		-1	1605	1665	0	0	26	22
1924	05	18	Sweden	Poland	5	1	F		11	1676	1594	+1	0	23	28
1924	05	20	Sweden	Poland	7	1	F		11	1687	1583	+1	−1	22	29
1924	05	29	Sweden	Belgium	8	1	OG	FR	100	1787	1767	+10	−6	13	15
1924	06	01	Sweden	Egypt	5	0	OG	FR	56	1843	1705	+4	−3	9	20
1924	06	05	Switzerland	Sweden	2	1	OG	FR	37	1795	1806	+4	−3	14	13
1924	06	08	Netherlands	Sweden	1	1	OG	FR	-2	1831	1808	0	0	11	13
1924	06	09	Sweden	Netherlands	3	1	OG	FR	48	1856	1783	+6	−2	7	13
