year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1905	02	12	France	Switzerland	1	0	F		5	1615	1495	0	−	9	11
1908	03	08	Switzerland	France	1	2	F		-10	1485	1605	0	0	14	11
1908	04	05	Switzerland	Germany	5	3	F		20	1505	1680	−1	−	15	11
1909	04	04	Germany	Switzerland	1	0	F		4	1671	1501	0	0	12	17
1909	05	20	Switzerland	England	0	9	F		-2	1499	2170	0	0	17	1
1910	04	03	Switzerland	Germany	2	3	F		-8	1491	1686	−1	0	18	12
1910	04	09	England	Switzerland	6	1	F		1	2133	1490	0	0	1	18
1911	01	08	Switzerland	Hungary	2	0	F		26	1516	1873	0	0	18	6
1911	03	26	Germany	Switzerland	6	2	F		7	1665	1509	0	0	14	18
1911	04	23	Switzerland	France	5	2	F		14	1523	1522	+2	−1	16	17
1911	05	07	Italy	Switzerland	2	2	F		-6	1685	1529	0	0	12	16
1911	05	21	Switzerland	Italy	3	0	F		20	1549	1665	0	−2	16	14
1911	05	25	Switzerland	England	1	4	F		-2	1547	2140	0	0	16	1
1911	10	29	Hungary	Switzerland	9	0	F		4	1865	1543	0	0	8	17
1912	02	18	France	Switzerland	4	1	F		13	1546	1530	+1	−1	17	18
1912	02	20	Belgium	Switzerland	9	2	F		6	1762	1524	0	0	11	18
1912	05	05	Switzerland	Germany	1	2	F		-9	1515	1672	−1	0	19	13
1913	03	09	Switzerland	France	1	4	F		-20	1495	1583	0	+1	20	17
1913	05	04	Switzerland	Belgium	1	2	F		-5	1490	1785	0	0	20	11
1913	05	18	Germany	Switzerland	1	2	F		-17	1669	1507	0	0	12	20
1913	11	02	Belgium	Switzerland	2	0	F		3	1788	1504	0	0	11	20
1914	03	08	France	Switzerland	2	2	F		-5	1579	1509	0	0	18	21
1914	04	05	Italy	Switzerland	1	1	F		-6	1620	1515	0	0	14	21
1914	05	17	Switzerland	Italy	0	1	F		-10	1505	1630	0	0	21	14
1915	01	31	Italy	Switzerland	3	1	F		6	1636	1499	0	0	15	22
1917	12	23	Switzerland	Austria	0	1	F		-4	1495	1832	−1	+1	24	9
1917	12	26	Switzerland	Austria	3	2	F		16	1511	1816	+1	−2	23	11
1918	05	09	Austria	Switzerland	5	1	F		3	1813	1508	0	0	11	23
1918	05	12	Hungary	Switzerland	2	1	F		1	1976	1507	+1	0	3	23
1920	02	29	Switzerland	France	0	2	F		-18	1489	1564	−2	0	26	22
