year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1952	09	21	Tahiti	New Zealand	2	2	F		-5	1495	1434	−	+1	60	70
1952	09	28	Tahiti	New Zealand	3	5	F		-21	1474	1455	−3	+5	64	65
1953	09	00	New Caledonia	Tahiti	5	0	F		18	1432	1456	+9	−9	68	73
1953	09	00	New Caledonia	Tahiti	4	1	F		14	1446	1442	+9	−9	68	73
1953	09	00	New Caledonia	Tahiti	4	1	F		12	1458	1430	+9	−9	68	73
1953	09	00	New Hebrides	Tahiti	2	4	F		-6	1085	1436	0	−9	118	73
1953	09	00	New Hebrides	Tahiti	2	4	F		-6	1079	1442	0	−9	118	73
1955	07	00	Tahiti	New Caledonia	1	1	F		-2	1440	1460	+2	−1	75	76
1955	07	00	Tahiti	New Caledonia	3	1	F		12	1452	1448	+2	−1	75	76
1957	09	00	New Caledonia	Tahiti	2	0	F		11	1459	1441	0	0	78	77
1957	09	00	New Caledonia	Tahiti	2	1	F		7	1466	1434	0	0	78	77
1957	09	00	New Caledonia	Tahiti	2	4	F		-20	1446	1454	0	0	78	77
1957	09	09	Tahiti	New Hebrides	2	1	F		1	1455	1078	0	0	77	131
1959	07	00	Tahiti	New Caledonia	2	4	F		-21	1434	1422	0	+4	80	87
1959	07	00	Tahiti	New Caledonia	3	1	F		10	1444	1412	0	+4	80	87
1960	09	05	Tahiti	New Zealand	1	5	F		-21	1423	1525	−6	+7	86	60
1960	09	12	Tahiti	New Zealand	1	2	F		-10	1413	1535	−3	+3	89	57
1961	09	00	New Caledonia	Tahiti	2	1	F		7	1419	1406	+9	−4	83	94
1961	09	00	New Caledonia	Tahiti	2	2	F		-3	1416	1409	+9	−4	83	94
1961	09	00	New Caledonia	Tahiti	3	0	F		12	1428	1397	+9	−4	83	94
1963	09	01	New Caledonia	Tahiti	2	1	SPG	FJ	19	1432	1378	+5	−7	83	100
1963	09	06	Tahiti	Solomon Islands	18	0	SPG	FJ	36	1414	1152	+11	−1	89	136
1964	09	00	Tahiti	New Caledonia	0	2	F		-17	1397	1477	0	0	88	79
1964	09	00	Tahiti	New Caledonia	4	1	F		16	1413	1461	0	0	88	79
1965	09	00	New Caledonia	Tahiti	2	1	F		6	1467	1407	+2	−4	77	94
1965	09	00	New Caledonia	Tahiti	4	1	F		10	1477	1397	+2	−4	77	94
1966	12	09	Tahiti	Papua New Guinea	4	3	SPG	NC	6	1403	1076	+1	−1	96	153
1966	12	11	Tahiti	Wallis and Futuna	5	0	SPG	NC	1	1404	699	0	−	96	169
1966	12	15	Tahiti	New Hebrides	3	0	SPG	NC	8	1412	1048	+2	0	93	154
1966	12	17	New Caledonia	Tahiti	0	2	SPG		-44	1449	1456	−18	+10	87	83
1968	12	00	New Caledonia	Tahiti	0	1	F		-14	1485	1470	−3	+3	73	74
1968	12	00	New Caledonia	Tahiti	1	1	F		-3	1482	1473	−3	+3	73	74
1969	08	14	New Hebrides	Tahiti	3	3	SPG	PG	16	1102	1457	+1	−2	151	76
1969	08	15	Papua New Guinea	Tahiti	1	3	SPG		-8	1028	1465	−1	+2	157	74
1969	08	16	Tahiti	Fiji	2	0	SPG	PG	12	1477	1215	0	−1	74	129
1969	08	18	Tahiti	Solomon Islands	7	0	SPG	PG	8	1485	1076	0	−2	74	153
1969	08	22	New Caledonia	Tahiti	2	1	SPG	PG	19	1530	1466	+2	0	67	74
1970	07	00	Tahiti	New Caledonia	0	2	F		-17	1449	1547	−2	0	75	65
1970	07	00	Tahiti	New Caledonia	3	1	F		15	1464	1532	−2	0	75	65
