year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1954	05	01	Taiwan	South Vietnam	3	2	ASG	PH	6	1706	1387	−	−2	23	88
1954	05	06	Philippines	Taiwan	0	4	ASG		-6	1160	1712	0	+1	121	22
1954	05	07	Taiwan	Indonesia	4	2	ASG	PH	16	1728	1515	+3	−5	19	61
1954	05	08	Taiwan	South Korea	5	2	ASG	PH	32	1760	1664	+3	−3	16	28
1954	06	02	Hong Kong	Taiwan	2	2	F		6	1443	1754	+2	0	77	17
1956	08	26	South Korea	Taiwan	2	0	SQ		37	1603	1717	+4	−3	45	22
1956	09	02	Taiwan	South Korea	1	2	SQ		-31	1686	1634	−5	+6	27	39
1958	05	14	Hong Kong	Taiwan	2	1	F		13	1505	1673	+3	−1	63	32
1958	05	25	Taiwan	Malaya	2	1	ASG	JP	5	1678	1336	0	0	32	100
1958	05	27	Taiwan	Pakistan	3	1	ASG	JP	11	1689	1399	+2	−2	30	89
1958	05	30	Taiwan	Israel	2	0	ASG	JP	15	1704	1488	+1	−5	29	69
1958	05	31	Taiwan	Indonesia	1	0	ASG	JP	11	1715	1531	+1	−3	28	60
1958	06	01	Taiwan	South Korea	3	2	ASG	JP	20	1735	1691	+5	−1	23	31
1959	03	31	Philippines	Taiwan	4	7	SQ		-3	1092	1738	0	+1	134	23
1959	04	03	Taiwan	Hong Kong	7	4	SQ	PH	16	1754	1507	+2	−4	21	66
1959	08	22	Hong Kong	Taiwan	1	3	F		-9	1498	1763	−5	0	70	21
1959	08	30	Thailand	Taiwan	1	3	OQ		-3	1140	1766	0	+1	131	20
1959	09	13	Taiwan	Thailand	3	1	OQ		1	1767	1139	0	0	20	130
1960	04	25	Taiwan	South Korea	1	2	OQ		-32	1735	1666	−4	+3	24	37
1960	04	30	Taiwan	South Korea	1	0	OQ		11	1746	1655	0	−2	24	39
1960	08	18	Tunisia	Taiwan	8	1	F	IT	33	1602	1713	+6	−4	45	27
1960	10	16	Taiwan	South Vietnam	2	0	AC	KR	14	1727	1438	0	−2	26	80
1960	10	21	South Korea	Taiwan	1	0	AC		21	1707	1706	+6	−2	26	28
1960	10	23	Israel	Taiwan	1	0	AC	KR	34	1614	1672	+4	−7	44	35
1962	07	14	South Vietnam	Taiwan	1	1	F		4	1442	1668	0	0	83	32
1962	07	25	Thailand	Taiwan	4	0	F		34	1222	1634	+8	−9	125	41
1962	07	27	Singapore	Taiwan	2	2	F		8	1195	1626	+3	0	131	41
1962	07	28	Singapore	Taiwan	0	4	F		-5	1190	1631	−3	0	134	41
1962	08	22	Singapore	Taiwan	0	1	F		-3	1191	1634	−2	0	133	40
1963	08	09	South Vietnam	Taiwan	1	1	MRD	AY	7	1457	1627	+2	0	79	40
1963	08	12	Malaya	Taiwan	2	3	MRD		-9	1378	1636	−3	0	100	40
