year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1992	06	17	Tajikistan	Uzbekistan	2	2	CAU		10	1410	1690	−	−	95	36
1992	07	11	Turkmenistan	Tajikistan	3	3	CAU		-9	1474	1419	−1	+3	82	95
1993	06	02	Turkmenistan	Tajikistan	6	0	FT		16	1526	1403	+4	−2	71	101
1993	06	06	Azerbaijan	Tajikistan	2	0	ECO	IR	14	1548	1389	+3	−3	66	104
1993	06	08	Kyrgyzstan	Tajikistan	1	1	ECO	IR	8	1198	1381	0	−1	155	106
1993	06	13	Iran	Tajikistan	1	0	ECO		4	1633	1377	0	−2	45	108
1994	04	11	Kazakhstan	Tajikistan	1	0	CAU	UZ	8	1622	1369	+4	−2	52	110
1994	04	15	Tajikistan	Kyrgyzstan	1	0	CAU	UZ	10	1379	1177	+3	−4	107	161
1994	04	17	Uzbekistan	Tajikistan	1	1	CAU		-16	1656	1395	−2	+4	39	103
1994	04	19	Turkmenistan	Tajikistan	2	0	CAU	UZ	20	1535	1375	+3	−8	71	111
1996	05	08	Tajikistan	Uzbekistan	4	0	SQ		60	1435	1661	+15	−9	99	40
1996	06	19	Uzbekistan	Tajikistan	5	0	SQ		11	1672	1424	+2	−3	37	99
1997	04	19	Iraq	Tajikistan	5	1	F		5	1643	1419	+2	−1	43	101
1997	05	04	Tajikistan	Vietnam	4	0	WQ		12	1431	1222	+6	−5	94	147
1997	05	11	Tajikistan	China	0	1	WQ		-14	1417	1661	−7	0	101	44
1997	05	25	Turkmenistan	Tajikistan	1	2	WQ		-26	1396	1443	−12	+11	108	92
1997	06	01	Vietnam	Tajikistan	0	4	WQ		-24	1185	1467	−10	+7	160	84
1997	06	08	China	Tajikistan	0	0	WQ		-14	1658	1481	−2	+1	44	83
1997	06	22	Tajikistan	Turkmenistan	5	0	WQ		22	1503	1396	+5	−5	76	106
1997	08	24	South Korea	Tajikistan	4	1	F		6	1673	1497	+1	−2	43	78
1998	12	01	Tajikistan	Maldives	3	0	ASG	TH	1	1498	791	+1	0	76	204
1998	12	03	Qatar	Tajikistan	2	1	ASG	TH	21	1493	1477	+6	−6	77	82
1998	12	08	China	Tajikistan	3	1	ASG	TH	15	1684	1462	+4	−5	41	86
1998	12	10	Iran	Tajikistan	5	0	ASG	TH	23	1638	1439	+2	−11	51	97
1998	12	12	Oman	Tajikistan	3	3	ASG	TH	3	1394	1436	0	0	109	97
1999	08	03	Tajikistan	Iraq	1	2	SQ		-16	1420	1628	−4	+2	102	50
1999	08	05	Tajikistan	Kyrgyzstan	3	2	SQ		6	1426	1208	+2	0	100	150
1999	08	07	Tajikistan	Oman	2	1	SQ		12	1438	1366	+5	−4	95	115
2000	11	26	Tajikistan	Guam	16	0	WQ	IR	2	1440	658	0	0	93	217
2000	11	28	Iran	Tajikistan	2	0	WQ		6	1744	1434	+1	0	31	93
2003	11	06	Tajikistan	Thailand	1	0	SQ	UZ	21	1455	1423	+8	−6	90	101
2003	11	08	Hong Kong	Tajikistan	0	0	SQ	UZ	13	1190	1442	+2	−5	156	95
2003	11	10	Uzbekistan	Tajikistan	0	0	SQ		-10	1513	1452	−4	+3	76	92
2003	11	17	Uzbekistan	Tajikistan	4	1	SQ	TH	29	1542	1423	+8	−8	70	100
2003	11	19	Thailand	Tajikistan	1	0	SQ		16	1404	1407	+3	−6	108	106
2003	11	21	Tajikistan	Hong Kong	1	0	SQ	TH	9	1416	1193	+1	−1	105	155
2003	11	26	Bangladesh	Tajikistan	0	2	WQ		-10	1027	1426	0	+4	187	101
2003	11	30	Tajikistan	Bangladesh	2	0	WQ		3	1429	1024	0	0	101	187
2004	02	18	Kyrgyzstan	Tajikistan	1	2	WQ		-12	1163	1441	−2	+7	162	92
2004	03	31	Tajikistan	Bahrain	0	0	WQ		1	1442	1557	−1	−1	95	67
2004	06	09	Syria	Tajikistan	3	1	WQ		25	1426	1417	+9	−10	99	104
2004	06	10	Syria	Tajikistan	2	1	WQ		14	1440	1403	+4	−2	95	106
2004	09	08	Tajikistan	Syria	0	1	WQ		-23	1380	1467	−4	+4	111	92
2004	10	13	Tajikistan	Kyrgyzstan	2	1	WQ		6	1386	1161	+2	−2	108	163
2004	11	17	Bahrain	Tajikistan	4	0	WQ		13	1578	1373	0	−1	66	110
2004	12	06	Kuwait	Tajikistan	3	0	F		7	1523	1366	+4	−2	76	112
2005	01	25	Saudi Arabia	Tajikistan	3	0	F		5	1578	1361	0	−1	68	113
2005	04	12	Oman	Tajikistan	3	0	ILG	SA	13	1634	1348	+1	−6	53	117
2005	11	09	Tajikistan	Afghanistan	4	0	FRC		2	1350	823	+2	−1	112	207
2006	02	14	Qatar	Tajikistan	2	0	F		5	1525	1345	+1	−2	75	116
2006	04	02	Tajikistan	Macao	4	0	ACH	BD	4	1349	823	+2	−1	114	205
2006	04	04	Tajikistan	Pakistan	2	0	ACH	BD	5	1354	908	0	0	114	196
2006	04	06	Kyrgyzstan	Tajikistan	1	0	ACH	BD	30	1194	1324	+6	−9	158	123
2006	04	10	Bangladesh	Tajikistan	1	6	ACH		-21	1029	1345	−4	+7	185	116
2006	04	13	Tajikistan	Kyrgyzstan	2	0	ACH	BD	20	1365	1206	+7	−6	109	156
2006	04	16	Tajikistan	Sri Lanka	4	0	ACH	BD	7	1372	951	+3	0	106	191
2006	07	02	Kazakhstan	Tajikistan	4	1	F		15	1341	1357	+4	−7	120	115
2007	08	22	Tajikistan	Azerbaijan	2	3	F		-12	1345	1409	−4	+4	118	102
2007	09	08	Kazakhstan	Tajikistan	1	1	F		-3	1347	1348	0	+2	116	115
2007	10	08	Bangladesh	Tajikistan	1	1	WQ		13	977	1335	+1	−7	190	123
2007	10	28	Tajikistan	Bangladesh	5	0	WQ		5	1340	972	+3	0	120	190
2007	11	09	Singapore	Tajikistan	2	0	WQ		22	1359	1318	+7	−8	115	127
2007	11	18	Tajikistan	Singapore	1	1	WQ		-3	1315	1362	0	0	127	115
2007	12	16	Oman	Tajikistan	4	2	F		4	1531	1311	+1	0	78	127
2008	05	13	Tajikistan	Bhutan	3	1	SCQ	PH	1	1312	597	0	0	128	223
2008	05	15	Philippines	Tajikistan	0	0	SCQ		17	805	1295	+2	−4	208	132
2008	05	17	Tajikistan	Brunei	4	0	SCQ	PH	2	1297	694	0	0	132	219
2008	07	30	Tajikistan	Turkmenistan	0	0	SQC	IN	1	1298	1314	0	0	128	125
2008	08	01	India	Tajikistan	1	1	SQC		3	1154	1295	0	0	169	128
2008	08	03	Tajikistan	Afghanistan	4	0	SQC	IN	4	1299	811	+1	−1	127	207
2008	08	07	Tajikistan	North Korea	1	0	SQC	IN	33	1332	1521	+5	−13	122	81
2008	08	13	India	Tajikistan	4	1	SQC		39	1232	1293	+8	−6	148	128
2008	08	20	Qatar	Tajikistan	5	0	F		6	1496	1287	+3	−1	87	129
2009	12	30	Yemen	Tajikistan	2	1	F		9	1223	1278	+2	−1	151	135
2010	01	02	Yemen	Tajikistan	0	1	F		-11	1212	1289	−2	+1	153	134
2010	02	16	Bangladesh	Tajikistan	2	1	SQC	LK	35	969	1254	+2	−6	190	140
2010	02	18	Sri Lanka	Tajikistan	1	3	SQC		-12	909	1266	−1	+3	197	137
2010	02	20	Tajikistan	Myanmar	3	0	SQC	LK	31	1297	1191	+5	−6	132	157
2010	02	24	Turkmenistan	Tajikistan	2	0	SQC	LK	26	1369	1271	+3	−4	117	136
2010	02	27	Tajikistan	Myanmar	1	0	SQC	LK	15	1286	1167	+2	−4	134	162
2010	06	26	China	Tajikistan	4	0	F		3	1641	1283	0	−1	50	135
2010	11	17	Tajikistan	Afghanistan	1	0	F		1	1284	778	0	0	136	210
2011	03	21	Tajikistan	Kyrgyzstan	1	0	SCQ	MV	13	1297	1152	+4	−2	133	166
