year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1945	03	28	Uganda	Tanganyika	7	0	GSG		5	1562	1195	0	−	48	93
1946	09	18	Kenya	Tanganyika	3	0	GSG		10	1346	1185	+1	−1	71	93
1947	09	13	Tanganyika	Zanzibar	3	1	GSG		7	1192	993	0	−	96	102
1947	09	20	Tanganyika	Uganda	2	4	GSG		-8	1184	1565	0	+1	96	43
1948	09	23	Uganda	Tanganyika	6	0	GSG		4	1569	1180	0	0	42	101
1949	12	05	Tanganyika	Uganda	3	3	GSG	ZN	12	1192	1561	+1	−2	103	45
1949	12	07	Tanganyika	Uganda	1	0	GSG	ZN	27	1219	1534	+2	−7	101	52
1949	12	08	Tanganyika	Kenya	2	0	GSG	ZN	31	1250	1333	+2	−4	99	82
1950	10	10	Tanganyika	Zanzibar	4	0	GSG	KE	10	1260	973	+1	−1	98	112
1950	10	14	Kenya	Tanganyika	1	1	GSG		-8	1354	1268	−2	+1	80	97
1950	10	16	Kenya	Tanganyika	1	2	GSG		-22	1332	1290	−3	+5	83	92
1951	09	26	Tanganyika	Zanzibar	1	0	GSG		2	1292	971	0	0	94	114
1951	09	29	Tanganyika	Kenya	3	2	GSG		13	1305	1341	+6	−1	88	83
1952	09	23	Uganda	Tanganyika	4	0	GSG		9	1492	1296	+2	−5	62	95
1952	09	26	Zanzibar	Tanganyika	3	1	GSG	UG	39	1003	1257	+2	−8	116	103
1953	09	30	Kenya	Tanganyika	7	1	GSG	ZN	25	1363	1232	+2	−3	83	109
1953	10	02	Zanzibar	Tanganyika	2	4	GSG		-14	984	1246	−2	+1	125	108
1954	10	06	Uganda	Tanganyika	5	3	GSG	KE	10	1484	1236	+4	−1	67	116
1954	10	08	Tanganyika	Zanzibar	2	1	GSG	KE	6	1242	975	+1	0	115	132
1955	10	10	Tanganyika	Zanzibar	3	3	GSG		-12	1230	987	−1	0	116	132
1955	10	12	Tanganyika	Zanzibar	2	0	GSG		5	1235	982	0	0	116	132
1955	10	15	Tanganyika	Uganda	1	5	GSG		-14	1221	1536	0	+1	116	58
1956	11	27	Kenya	Tanganyika	9	0	GSG	UG	22	1397	1199	+2	−2	89	123
1956	11	30	Zanzibar	Tanganyika	3	2	GSG	UG	24	998	1175	+1	−2	136	125
1957	09	03	Uganda	Tanganyika	4	2	GSG	ZN	5	1528	1170	0	+1	58	124
1957	09	05	Zanzibar	Tanganyika	3	3	GSG		3	992	1167	0	0	137	124
1958	10	05	Kenya	Tanganyika	3	1	GSG		6	1395	1161	+2	0	90	126
1958	10	07	Uganda	Tanganyika	2	0	GSG	KE	5	1529	1156	+1	0	59	126
1958	10	10	Tanganyika	Zanzibar	3	2	GSG	KE	9	1165	994	0	−1	126	139
1959	10	03	Tanganyika	Zanzibar	2	2	GSG		-10	1155	1004	0	+1	127	141
1959	10	06	Tanganyika	Uganda	2	2	GSG		10	1165	1530	0	−3	127	58
1959	10	10	Tanganyika	Kenya	0	2	GSG		-13	1152	1438	0	+3	127	81
1960	10	08	Uganda	Tanganyika	1	0	GSG		3	1453	1149	0	−1	78	133
1960	10	12	Kenya	Tanganyika	5	0	GSG	UG	9	1452	1140	0	−1	79	134
1960	10	14	Tanganyika	Zanzibar	4	2	GSG	UG	15	1155	1006	+2	−1	132	144
1961	10	01	Kenya	Tanganyika	0	0	GSG		-12	1446	1167	−2	0	78	131
1961	10	03	Tanganyika	Uganda	3	1	GSG	KE	38	1205	1413	+4	−13	127	90
1961	10	06	Tanganyika	Zanzibar	3	0	GSG	KE	12	1217	989	+2	−2	125	146
1961	12	09	Tanganyika	Kenya	1	3	IPC		-14	1203	1476	−2	+2	126	74
1962	07	28	Kenya	Tanganyika	4	3	GSG		4	1456	1199	+1	−2	80	130
1962	10	18	Tanganyika	Ghana	2	6	F		-2	1197	1795	0	0	130	18
1962	11	04	Tanganyika	Uganda	3	1	GSG		28	1225	1349	+4	−4	126	104
1962	12	08	Tanganyika	Nyasaland	6	2	RDC		18	1243	1171	+4	−1	122	135
1962	12	15	Tanganyika	Zanzibar	6	0	GSG		7	1250	973	+1	−1	121	151
1963	01	00	Ethiopia	Tanganyika	4	0	F		4	1527	1246	+1	0	65	121
1963	05	02	Tanganyika	Ethiopia	0	2	F		-7	1239	1552	−3	+1	123	59
1963	09	28	Kenya	Tanganyika	4	1	GSG		10	1397	1229	+4	−3	94	126
1963	10	02	Tanganyika	Uganda	1	1	GSG	KE	4	1233	1324	0	0	126	107
1963	10	04	Tanganyika	Zanzibar	2	1	GSG	KE	5	1238	955	+3	−1	123	153
1963	12	07	Kenya	Tanganyika	6	2	IPC		10	1408	1228	+6	−4	88	128
1963	12	13	Uganda	Tanganyika	5	0	IPC	KE	21	1360	1207	+1	−3	106	130
1964	07	03	Northern Rhodesia	Tanganyika	3	0	IPC	NN	7	1546	1200	+1	−1	59	131
1964	09	26	Tanganyika	Kenya	1	0	GSG		19	1219	1382	+4	−7	128	102
1964	09	29	Tanganyika	Zanzibar	3	1	GSG		6	1225	976	+2	−1	126	153
1964	10	03	Tanganyika	Uganda	3	0	GSG		28	1253	1319	+3	−4	123	111
1965	03	13	Tanzania	Madagascar	1	5	AGQ		-30	1223	1456	−3	+3	126	81
1965	03	15	Tanzania	Madagascar	2	1	AGQ		27	1250	1429	+3	−2	123	84
1965	09	26	Tanganyika	Kenya	2	0	GSG	UG	33	1283	1392	+5	−6	119	94
1965	09	29	Tanganyika	Zanzibar	3	0	GSG	UG	7	1290	957	+2	−1	117	157
1965	10	02	Uganda	Tanganyika	1	1	GSG		-7	1356	1297	−3	+1	104	116
1965	10	23	Kenya	Tanzania	4	2	JKC		10	1425	1287	0	−1	89	117
1966	06	28	China	Tanzania	10	4	F		4	1574	1283	+1	−2	52	120
1966	09	25	Uganda	Tanzania	3	0	GSG	ZN	22	1357	1261	+8	−5	102	125
1966	09	28	Zanzibar	Tanzania	0	4	GSG		-13	936	1274	0	+2	160	123
1966	09	30	Kenya	Tanzania	3	2	GSG	ZN	8	1444	1266	+2	−1	85	124
1967	02	21	Sudan	Tanzania	1	0	EAC		2	1664	1264	0	−1	36	125
1967	02	23	Kenya	Tanzania	2	0	EAC	SD	11	1461	1253	+5	0	80	125
1967	04	09	Madagascar	Tanzania	4	2	OQ		15	1357	1238	+2	−2	103	127
1967	04	16	Tanzania	Madagascar	0	2	OQ		-28	1210	1385	−6	+5	133	98
1967	05	17	Congo	Tanzania	6	1	F		2	1590	1208	0	0	48	133
1967	07	06	Tanzania	Zambia	2	2	SBA		9	1217	1548	+2	−4	131	57
1967	07	08	Tanzania	Zambia	2	1	SBA		24	1241	1524	+4	−6	127	63
1967	08	02	Tanzania	Mauritius	1	0	FQ		31	1272	1528	+2	−9	125	62
1967	08	16	Mauritius	Tanzania	1	1	FQ		-15	1513	1287	−3	+8	65	118
1967	09	17	DR Congo	Tanzania	1	0	FQ		3	1648	1284	+2	−1	35	118
1967	10	03	Uganda	Tanganyika	2	1	ECA	KE	18	1337	1266	+4	−7	107	125
1967	10	09	Kenya	Tanganyika	5	3	ECA		9	1471	1257	+3	−1	71	126
