year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1948	08	20	Thailand	China	1	6	F		-8	1192	1541	−	0	100	51
1956	00	00	South Vietnam	Thailand	2	1	F		3	1411	1189	−1	−2	84	121
1956	00	00	South Vietnam	Thailand	3	1	F		4	1415	1185	−1	−2	84	121
1957	08	31	Indonesia	Thailand	4	0	MRD	AY	8	1494	1177	+3	0	66	124
1957	09	01	Thailand	Cambodia	3	0	MRD	AY	20	1197	1077	+2	−3	122	132
1957	09	03	Singapore	Thailand	6	0	MRD	AY	27	1279	1170	+5	−2	110	124
1957	09	05	Burma	Thailand	5	2	MRD	AY	19	1292	1151	+6	−1	105	125
1958	03	20	Burma	Thailand	3	0	F		8	1277	1143	+3	−2	111	129
1959	08	30	Thailand	Taiwan	1	3	OQ		-3	1140	1766	0	+1	131	20
1959	09	13	Taiwan	Thailand	3	1	OQ		1	1767	1139	0	0	20	130
1959	12	13	Thailand	South Vietnam	0	4	SEP		-14	1125	1504	0	+5	130	66
1959	12	14	Thailand	Malaya	3	1	SEP		45	1170	1372	+3	−9	127	98
1959	12	15	Thailand	Burma	5	2	SEP		32	1202	1210	+4	−4	123	122
1959	12	17	Thailand	South Vietnam	1	3	SEP		-15	1187	1505	−4	+4	127	66
1960	08	05	Pakistan	Thailand	7	0	MRD	AY	14	1430	1173	+4	0	84	130
1960	08	07	Malaya	Thailand	8	2	MRD		9	1399	1164	+2	0	94	130
1961	08	06	Hong Kong	Thailand	2	1	MRD	AY	5	1444	1159	+1	0	78	130
1961	08	09	Indonesia	Thailand	2	1	MRD	AY	3	1548	1156	0	0	56	130
1961	08	12	Singapore	Thailand	5	3	MRD	AY	20	1214	1136	+2	−4	124	134
1961	08	16	South Vietnam	Thailand	2	1	FT	SG	5	1431	1131	+1	0	82	134
1961	11	04	Thailand	South Korea	1	4	F		-2	1129	1707	0	+1	135	25
1961	12	11	South Vietnam	Thailand	0	0	SEP	BU	-16	1475	1145	−2	0	74	135
1961	12	13	Thailand	Laos	5	2	SEP	BU	21	1166	974	+3	−3	132	147
1961	12	14	Malaya	Thailand	2	2	SEP	BU	-13	1432	1179	−3	+1	82	131
1961	12	16	South Vietnam	Thailand	1	1	SEP	BU	-13	1438	1192	−3	+3	80	128
1962	01	17	Indonesia	Thailand	7	1	F		4	1510	1188	+2	−3	65	134
