year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1972	11	06	Nepal	Tibet	4	0	F	CN	9	909	691	+2	−	168	177
1979	06	07	Nepal	Tibet	3	2	F		3	912	688	0	−1	172	180
1979	06	09	Nepal	Tibet	2	1	F		3	915	685	+2	0	170	180
2001	06	30	Greenland	Tibet	4	1	F	DK	5	1001	680	0	0	188	216
2001	07	14	Monaco	Tibet	2	1	F	DE	4	904	676	−	−2	195	218
2006	05	31	Gibraltar	Tibet	5	0	MWC	DE	7	1095	669	+2	−1	174	221
2006	11	21	Northern Cyprus	Tibet	10	0	ELF		0	1469	669	0	0	94	221
2007	10	31	Bhutan	Tibet	2	2	SGC	IN	5	564	664	+2	0	228	221
2007	11	02	Bhutan	Tibet	3	0	SGC	IN	34	598	630	+5	−1	223	222
2018	06	02	Northern Cyprus	Tibet	3	1	WFC	EN	1	1457	629	+2	0	90	229
