year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1905	07	21	British Guiana	Trinidad and Tobago	1	4	F		-22	1478	1522	−	−	15	11
1923	10	22	Trinidad and Tobago	British Guiana	0	0	MS		-5	1517	1502	0	+1	36	37
1923	10	24	Trinidad and Tobago	British Guiana	3	0	MS		18	1535	1484	0	−2	36	39
1923	10	27	Trinidad and Tobago	British Guiana	1	0	MS		9	1544	1475	0	0	36	40
1925	02	09	British Guiana	Trinidad and Tobago	1	3	MS		-25	1450	1569	0	+6	43	32
1925	02	13	British Guiana	Trinidad and Tobago	2	1	MS		16	1466	1553	0	−6	43	38
1925	02	16	British Guiana	Trinidad and Tobago	0	1	MS		-16	1450	1569	0	+6	43	32
1926	10	23	Trinidad and Tobago	British Guiana	1	1	MS		-9	1560	1433	−2	0	36	45
1926	10	30	Trinidad and Tobago	British Guiana	1	0	MS		6	1566	1427	+1	0	35	45
1926	11	06	Trinidad and Tobago	British Guiana	3	0	MS		11	1577	1416	+3	0	32	46
1928	03	16	British Guiana	Trinidad and Tobago	1	1	MS		1	1462	1576	0	0	46	33
1928	03	21	British Guiana	Trinidad and Tobago	0	0	MS		1	1463	1575	0	0	46	33
1928	03	28	British Guiana	Trinidad and Tobago	0	1	MS		-14	1449	1589	−1	+3	47	30
1929	04	20	Barbados	Trinidad and Tobago	3	0	F		26	1326	1563	−	−8	55	36
1929	04	22	Barbados	Trinidad and Tobago	2	0	F		21	1347	1542	+1	−3	54	40
1929	04	24	Barbados	Trinidad and Tobago	2	1	F		13	1360	1529	0	0	54	40
1929	10	26	Trinidad and Tobago	British Guiana	0	0	MS		-8	1521	1441	0	0	40	48
1929	11	02	Trinidad and Tobago	British Guiana	0	1	MS		-22	1499	1463	−2	+2	42	46
1929	11	09	Trinidad and Tobago	British Guiana	3	1	MS		14	1513	1449	+2	−1	40	47
1929	11	11	Trinidad and Tobago	British Guiana	1	1	MS		-7	1506	1456	−1	0	41	47
1929	11	13	Trinidad and Tobago	British Guiana	0	1	MS		-21	1485	1477	−4	+1	45	46
1931	03	09	Trinidad and Tobago	Barbados	7	1	MS	RG	21	1506	1343	+5	0	40	56
1931	03	11	British Guiana	Trinidad and Tobago	1	1	MS		-3	1463	1509	0	+1	46	39
1931	03	16	Trinidad and Tobago	Barbados	5	1	MS	RG	15	1524	1312	0	−3	39	59
1931	03	18	British Guiana	Trinidad and Tobago	2	0	MS		19	1498	1505	+5	−1	41	40
1932	04	14	British Guiana	Trinidad and Tobago	1	0	MS	BB	17	1487	1488	+1	−5	47	46
1932	04	18	Barbados	Trinidad and Tobago	1	0	MS		19	1309	1469	0	−1	63	48
1932	04	21	Trinidad and Tobago	British Guiana	2	1	MS	BB	16	1485	1482	+2	−5	46	48
1932	04	26	Barbados	Trinidad and Tobago	1	3	MS		-18	1294	1503	0	+5	63	41
1933	10	23	Trinidad and Tobago	Barbados	8	4	F		5	1508	1289	0	−1	45	66
1933	10	24	Trinidad and Tobago	British Guiana	2	0	F		9	1517	1459	+2	−2	43	53
1933	10	28	Trinidad and Tobago	British Guiana	1	1	MS		-6	1511	1477	−1	0	44	51
1933	10	30	Trinidad and Tobago	Barbados	3	1	MS		6	1517	1271	+1	−2	43	71
1933	11	04	Trinidad and Tobago	British Guiana	1	0	MS		10	1527	1479	+1	−1	42	51
1933	11	06	Trinidad and Tobago	Barbados	6	0	MS		7	1534	1252	0	0	42	71
1933	11	08	Trinidad and Tobago	British Guiana	2	0	F		9	1543	1470	0	0	42	51
1934	08	06	Trinidad and Tobago	Surinam	3	3	F		-5	1538	1463	0	0	42	53
1935	00	00	Surinam	Trinidad and Tobago	0	3	F		-20	1462	1558	−3	0	54	42
1935	05	30	Trinidad and Tobago	Curaçao	3	1	F		11	1569	1562	+1	−1	40	41
1935	12	15	Curaçao	Trinidad and Tobago	3	1	F		11	1575	1558	+1	−1	39	40
1935	12	28	Jamaica	Trinidad and Tobago	2	3	F		-9	1404	1567	0	0	58	40
1936	01	04	Jamaica	Trinidad and Tobago	0	1	F		-8	1396	1575	−1	+1	59	39
1936	01	11	Jamaica	Trinidad and Tobago	1	2	F		-8	1388	1583	−1	+1	60	38
1936	01	30	Curaçao	Trinidad and Tobago	4	2	F		11	1586	1572	+2	−2	38	40
1936	02	00	Trinidad and Tobago	Curaçao	3	0	F		13	1585	1573	+2	−2	38	40
1937	01	05	Trinidad and Tobago	British Guiana	3	0	FT	UM	14	1599	1400	+3	0	35	58
1937	01	06	Surinam	Trinidad and Tobago	1	1	FT		0	1493	1599	0	0	50	35
1937	01	08	Surinam	Trinidad and Tobago	3	3	FT		0	1493	1599	0	0	50	35
1937	01	09	Surinam	Trinidad and Tobago	2	2	FT		0	1493	1599	0	0	50	35
1937	01	11	British Guiana	Trinidad and Tobago	2	3	F		-7	1393	1606	0	0	58	36
1938	03	28	British Guiana	Trinidad and Tobago	1	1	FT		5	1379	1601	0	−1	64	40
1938	04	01	British Guiana	Trinidad and Tobago	0	3	FT		-17	1362	1618	−1	+3	65	37
1938	04	04	Trinidad and Tobago	Surinam	1	0	FT	RG	10	1628	1492	+3	−1	35	53
1938	04	05	Surinam	Trinidad and Tobago	3	0	FT	RG	36	1528	1592	+5	−5	48	40
1938	04	07	British Guiana	Trinidad and Tobago	0	2	FT		-14	1348	1606	−2	0	67	40
1938	04	08	Surinam	Trinidad and Tobago	1	0	FT	RG	18	1546	1588	+2	−1	46	41
1942	04	11	Barbados	Trinidad and Tobago	3	3	F		6	1264	1582	+1	0	85	43
1944	00	00	Trinidad and Tobago	Barbados	5	0	F		3	1585	1261	0	0	44	87
1944	05	04	Barbados	Trinidad and Tobago	1	1	F		6	1267	1579	0	0	89	45
1944	05	08	Barbados	Trinidad and Tobago	1	1	F		5	1272	1574	+1	0	88	45
1944	05	10	Barbados	Trinidad and Tobago	1	4	F		-8	1264	1582	−1	0	89	45
1944	10	04	Trinidad and Tobago	British Guiana	1	1	FT		-12	1570	1315	−1	+4	46	77
1944	10	05	Trinidad and Tobago	Barbados	3	0	FT		5	1575	1259	+1	−1	45	90
1944	10	09	Trinidad and Tobago	Barbados	6	1	FT		4	1579	1233	0	0	45	91
