year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1923	10	26	Turkey	Romania	2	2	F		0	1500	1588	−	0	38	28
1924	05	25	Czechoslovakia	Turkey	5	2	OG	FR	9	1922	1491	0	0	3	39
1924	06	17	Finland	Turkey	2	4	F		-22	1550	1513	−6	+1	37	39
1924	06	19	Estonia	Turkey	1	4	F		-15	1342	1528	0	0	50	39
1924	06	22	Latvia	Turkey	1	3	F		-13	1363	1541	0	0	48	39
1924	06	29	Poland	Turkey	2	0	F		10	1567	1531	+1	0	34	39
1924	11	16	Soviet Union	Turkey	3	0	F		16	1483	1515	+1	0	42	39
1925	04	10	Turkey	Bulgaria	2	1	F		4	1519	1379	0	−2	39	48
1925	05	01	Romania	Turkey	1	2	F		-14	1540	1533	−1	0	38	39
1925	05	15	Turkey	Soviet Union	1	2	F		-14	1519	1497	0	+1	39	41
1925	10	02	Turkey	Poland	1	2	F		-12	1507	1571	0	+1	39	31
1926	04	29	Turkey	Romania	3	5	F		-17	1490	1575	−2	+4	41	30
1926	05	07	Turkey	Romania	1	3	F		-16	1474	1591	−1	+1	43	29
1926	09	12	Poland	Turkey	6	1	F		10	1584	1464	0	0	31	43
1927	07	17	Bulgaria	Turkey	3	3	F		1	1346	1463	0	0	52	44
1927	10	14	Turkey	Bulgaria	3	1	F		7	1470	1339	0	0	44	52
1928	04	08	Yugoslavia	Turkey	2	1	F		4	1598	1466	+1	0	28	45
1928	04	15	Romania	Turkey	4	2	F		7	1574	1459	+3	−1	33	46
1928	05	28	Egypt	Turkey	7	1	OG	NL	26	1718	1433	+2	−1	20	47
1931	08	20	Soviet Union	Turkey	3	2	F		6	1503	1427	+1	0	43	50
1931	08	29	Ukraine	Turkey	2	0	F		5	1605	1422	−	−2	−	52
1931	09	27	Bulgaria	Turkey	5	1	BLK		39	1351	1383	+3	−3	56	55
1931	10	02	Turkey	Yugoslavia	2	0	BLK	BG	49	1432	1599	+5	−7	50	32
1932	10	21	Turkey	Soviet Union	2	2	F		-1	1431	1504	0	0	53	41
1932	10	23	Turkey	Soviet Union	0	4	F		-20	1411	1524	−2	+1	55	40
1932	10	27	Turkey	Soviet Union	0	1	F		-10	1401	1534	−1	0	56	40
1932	10	30	Turkey	Soviet Union	2	3	F		-9	1392	1543	0	0	56	40
1932	11	04	Turkey	Bulgaria	2	3	F		-10	1382	1503	0	+5	56	42
1933	07	30	Soviet Union	Turkey	1	2	F		-16	1527	1398	0	0	42	59
1934	08	07	Soviet Union	Turkey	2	1	F		4	1531	1394	+1	0	43	61
1934	08	20	Ukraine	Turkey	4	3	F		3	1608	1391	−	0	−	61
1935	10	13	Turkey	Soviet Union	1	2	F		-9	1382	1540	−1	0	61	42
1935	10	15	Turkey	Soviet Union	2	2	F		2	1384	1538	0	0	61	42
1935	10	19	Turkey	Soviet Union	3	3	F		2	1386	1536	0	0	61	42
1935	10	21	Turkey	Soviet Union	2	3	F		-9	1377	1545	−1	+1	62	41
1935	10	25	Turkey	Soviet Union	1	2	F		-8	1369	1553	0	0	62	41
