year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1992	06	01	Kazakhstan	Turkmenistan	1	0	CAU		11	1586	1489	+4	−	56	76
1992	06	28	Uzbekistan	Turkmenistan	2	1	CAU		6	1696	1483	+1	−4	33	81
1992	07	11	Turkmenistan	Tajikistan	3	3	CAU		-9	1474	1419	−1	+3	82	95
1992	09	14	Turkmenistan	Kazakhstan	1	1	CAU		3	1477	1615	+2	0	78	52
1992	10	14	Turkmenistan	Kyrgyzstan	4	0	CAU		8	1485	1196	0	−1	78	152
1992	10	25	Turkmenistan	Uzbekistan	1	0	CAU		25	1510	1651	+5	−8	73	42
1993	06	02	Turkmenistan	Tajikistan	6	0	FT		16	1526	1403	+4	−2	71	101
1993	06	07	Turkmenistan	Pakistan	4	0	ECO	IR	2	1528	971	0	0	71	189
1993	06	08	Iran	Turkmenistan	2	1	ECO		7	1629	1521	+2	−1	44	72
1993	06	14	Iran	Turkmenistan	2	1	ECO		7	1640	1514	+2	−2	43	74
1994	04	11	Uzbekistan	Turkmenistan	4	0	CAU		16	1660	1498	+7	−5	38	78
1994	04	13	Turkmenistan	Kyrgyzstan	5	1	CAU	UZ	11	1509	1187	+5	−3	73	157
1994	04	15	Kazakhstan	Turkmenistan	0	0	CAU	UZ	-6	1604	1515	0	+1	56	73
1994	04	19	Turkmenistan	Tajikistan	2	0	CAU	UZ	20	1535	1375	+3	−8	71	111
1994	10	01	China	Turkmenistan	2	2	ASG	JP	1	1517	1534	+1	0	74	68
1994	10	05	Iran	Turkmenistan	1	1	ASG	JP	-2	1559	1536	0	−1	65	69
1994	10	07	Turkmenistan	Yemen	4	0	ASG	JP	10	1546	1210	+2	−2	67	153
1994	10	09	Bahrain	Turkmenistan	2	2	ASG	JP	7	1423	1539	+2	−3	96	70
1994	10	11	Uzbekistan	Turkmenistan	3	0	ASG	JP	19	1729	1520	+1	−3	29	73
1996	03	10	Turkmenistan	Kuwait	2	2	SQ		-6	1514	1517	−2	+2	75	73
