year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1931	08	29	Ukraine	Turkey	2	0	F		5	1605	1422	−	−2	−	52
1934	08	20	Ukraine	Turkey	4	3	F		3	1608	1391	−	0	−	61
1966	12	06	Ghana	Ukraine	1	1	F		-8	1865	1616	0	−	10	−
1966	12	11	Ghana	Ukraine	0	2	F		-26	1839	1642	−3	−	14	−
1970	07	19	Ukraine	Poland	1	1	F		2	1644	1797	−	0	−	17
1992	04	29	Ukraine	Hungary	1	3	F		-16	1628	1739	−4	+1	47	29
1992	06	27	United States	Ukraine	0	0	F		-4	1689	1632	−1	+1	35	47
1992	08	26	Hungary	Ukraine	2	1	F		6	1702	1626	0	−1	32	47
1992	10	28	Belarus	Ukraine	1	1	F		4	1400	1622	0	0	103	51
1993	04	27	Ukraine	Israel	1	1	F		-4	1618	1567	−3	0	50	65
1993	05	18	Lithuania	Ukraine	1	2	F		-7	1393	1625	−1	+4	105	45
1993	06	25	Croatia	Ukraine	3	1	F		4	1874	1621	+2	−2	11	46
1993	10	16	United States	Ukraine	1	2	F		-14	1635	1635	−7	+5	45	45
1993	10	20	Mexico	Ukraine	2	1	F	US	4	1899	1631	+1	−4	10	49
1993	10	23	United States	Ukraine	0	1	F		-13	1622	1644	−4	+7	49	42
1994	03	15	Israel	Ukraine	1	0	F		9	1582	1635	+2	−3	62	47
1994	05	25	Ukraine	Belarus	3	1	F		4	1639	1410	0	−2	47	98
1994	06	03	Bulgaria	Ukraine	1	1	F		-6	1772	1645	−1	+1	25	45
1994	08	26	United Arab Emirates	Ukraine	1	1	F	DE	4	1483	1641	+2	−3	84	45
1994	09	07	Ukraine	Lithuania	0	2	EQ		-54	1587	1424	−14	+18	58	95
1994	09	11	South Korea	Ukraine	1	0	F		5	1681	1582	+1	−3	33	61
1994	09	13	South Korea	Ukraine	2	0	F		7	1688	1575	+1	−1	32	62
1994	10	12	Ukraine	Slovenia	0	0	EQ		-3	1572	1623	+1	+1	62	46
1994	11	13	Ukraine	Estonia	3	0	EQ		3	1575	1147	+1	0	62	163
1995	03	25	Croatia	Ukraine	4	0	EQ		6	1915	1569	0	−2	10	63
1995	03	29	Ukraine	Italy	0	2	EQ		-8	1561	1994	−1	0	64	3
1995	04	26	Estonia	Ukraine	0	1	EQ		-5	1121	1566	0	0	168	63
1995	06	11	Ukraine	Croatia	1	0	EQ		32	1598	1872	+7	−4	55	13
1995	09	06	Lithuania	Ukraine	1	3	EQ		-29	1455	1627	−8	+10	91	44
1995	10	11	Slovenia	Ukraine	3	2	EQ		18	1588	1609	+5	−5	57	50
1995	11	11	Italy	Ukraine	3	1	EQ		4	1989	1605	0	−1	3	52
1996	04	09	Moldova	Ukraine	2	2	F		1	1472	1604	0	0	86	50
1996	05	01	Turkey	Ukraine	3	2	F		4	1763	1600	0	−2	26	53
1996	08	13	Ukraine	Lithuania	5	2	F		7	1607	1453	+3	−2	51	92
1996	08	31	Northern Ireland	Ukraine	0	1	WQ		-27	1614	1634	−9	+11	50	42
1996	10	05	Ukraine	Portugal	2	1	WQ		29	1663	1866	+4	−2	40	15
1996	11	09	Portugal	Ukraine	1	0	WQ		6	1882	1657	+1	0	13	39
1997	03	23	Ukraine	Moldova	1	0	F		3	1660	1450	0	−3	41	91
1997	03	29	Ukraine	Albania	1	0	WQ	ES	8	1668	1418	+3	−5	38	102
1997	04	02	Ukraine	Northern Ireland	2	1	WQ		14	1682	1637	0	−3	38	47
1997	04	30	Germany	Ukraine	2	0	WQ		3	2087	1679	0	0	1	40
1997	05	07	Ukraine	Armenia	1	1	WQ		-17	1662	1355	−3	+1	43	119
1997	06	07	Ukraine	Germany	0	0	WQ		15	1677	2072	+2	0	41	1
1997	08	20	Ukraine	Albania	1	0	WQ		4	1681	1411	0	0	41	104
1997	10	11	Armenia	Ukraine	0	2	WQ		-15	1368	1696	−2	+3	114	38
1997	10	29	Croatia	Ukraine	2	0	WQ		11	1874	1685	0	−1	14	40
1997	11	15	Ukraine	Croatia	1	1	WQ		5	1690	1869	0	0	41	14
1998	07	15	Ukraine	Poland	1	2	F		-13	1677	1689	−3	+3	42	39
