year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1902	07	20	Uruguay	Argentina	0	6	F		-21	1879	2021	−	−	4	1
1903	09	13	Argentina	Uruguay	2	3	F		-16	2005	1895	0	+1	1	6
1905	08	15	Argentina	Uruguay	0	0	LPT		-8	1997	1903	0	+1	1	5
1906	07	18	Uruguay	South Africa	1	6	F		-30	1873	1847	−3	+2	7	8
1906	08	15	Uruguay	Argentina	0	2	LPT		-22	1851	2002	0	0	7	1
1906	10	21	Argentina	Uruguay	2	1	NWT		6	2008	1845	0	−1	1	8
1907	08	15	Argentina	Uruguay	2	1	LPT		5	2013	1840	0	0	1	8
1907	10	06	Uruguay	Argentina	1	2	NWT		-12	1828	2025	0	0	8	1
1908	08	15	Uruguay	Argentina	2	2	LPT		4	1832	2021	0	0	9	2
1908	09	13	Argentina	Uruguay	2	1	NWT		5	2026	1827	0	0	2	9
1908	10	04	Argentina	Uruguay	0	1	POA		-25	2001	1852	0	+2	2	7
1909	08	15	Argentina	Uruguay	2	1	LPT		6	2007	1846	0	−2	2	9
1909	09	19	Uruguay	Argentina	2	2	NWT		3	1849	2004	+2	0	7	2
1909	10	10	Argentina	Uruguay	3	1	POA		8	2012	1841	0	−2	2	9
1910	05	29	Uruguay	Chile	3	0	MR	AR	5	1846	1395	0	−1	9	22
1910	06	12	Argentina	Uruguay	4	1	MR		12	2025	1834	0	0	2	9
1910	08	15	Uruguay	Argentina	3	1	LPT		28	1862	1997	+1	−1	7	3
1910	11	13	Argentina	Uruguay	1	1	POA		-9	1990	1871	0	+1	3	6
1910	11	27	Argentina	Uruguay	2	6	POA		-44	1946	1915	0	+1	3	5
1911	04	30	Uruguay	Argentina	1	2	F		-12	1903	1958	0	+1	5	3
1911	08	15	Argentina	Uruguay	0	2	LPT		-32	1926	1935	−2	+1	5	4
1911	09	17	Uruguay	Argentina	2	3	NWT		-20	1915	1946	−1	+1	5	4
1911	10	08	Uruguay	Argentina	1	1	POU		-3	1912	1949	0	0	5	4
1911	10	22	Argentina	Uruguay	2	0	POA		14	1963	1898	+1	0	3	5
1911	10	29	Uruguay	Argentina	3	0	POU		24	1922	1939	0	−1	5	4
1912	02	25	Argentina	Uruguay	2	0	F		10	1949	1912	0	0	4	5
1912	08	15	Uruguay	Argentina	2	0	LPT		18	1930	1931	0	−1	6	5
1912	08	25	Uruguay	Argentina	3	0	POU		19	1949	1912	+2	−1	4	6
1912	09	22	Argentina	Uruguay	0	1	POA		-18	1894	1967	0	0	6	4
1912	10	06	Argentina	Uruguay	3	3	NWT		-1	1893	1968	0	0	6	4
1912	12	01	Uruguay	Argentina	1	3	MTV		-33	1935	1926	−1	0	5	6
1913	04	27	Argentina	Uruguay	0	0	F		-3	1923	1938	0	+1	6	4
1913	04	27	Uruguay	Argentina	4	0	F		13	1951	1910	+1	0	4	6
1913	06	15	Argentina	Uruguay	1	1	SZP		-3	1907	1954	0	0	6	4
1913	07	09	Argentina	Uruguay	2	1	SZP		13	1920	1941	0	−1	6	5
1913	07	13	Argentina	Uruguay	3	3	F		-2	1918	1943	0	+1	6	4
1913	07	13	Uruguay	Argentina	5	4	F		7	1950	1911	+1	0	4	6
1913	08	15	Argentina	Uruguay	4	0	LPT		23	1934	1927	+1	−2	5	6
1913	08	31	Argentina	Uruguay	2	0	POA		16	1950	1911	+1	0	4	6
1913	09	28	Argentina	Uruguay	4	0	CCP		17	1969	1894	0	0	4	6
1913	10	05	Uruguay	Argentina	1	0	POU		14	1908	1955	0	0	6	4
1913	10	26	Uruguay	Argentina	1	0	NWT		13	1921	1942	0	−1	6	5
1914	02	28	Argentina	Uruguay	1	1	F		-3	1939	1924	0	0	5	6
1914	08	30	Uruguay	Argentina	3	2	POU		11	1935	1928	+1	−1	5	6
1914	09	13	Argentina	Uruguay	2	1	POA		11	1939	1924	+1	−1	5	6
1914	11	15	Uruguay	Argentina	3	2	F		7	1931	1922	+1	−1	5	6
1914	11	22	Argentina	Uruguay	3	0	F		13	1935	1918	+1	−1	5	6
1915	03	28	Argentina	Uruguay	0	0	F		-3	1932	1921	0	0	5	6
1915	07	18	Uruguay	Argentina	2	3	POU		-19	1902	1951	−1	0	7	5
1915	08	15	Argentina	Uruguay	2	1	LPT		9	1960	1893	+2	0	3	7
1915	09	12	Uruguay	Argentina	2	0	NWT		20	1913	1940	+1	−2	6	5
1916	07	02	Uruguay	Chile	4	0	SA	AR	4	1917	1386	0	0	6	25
1916	07	12	Uruguay	Brazil	2	1	SA	AR	24	1941	1873	+2	−1	4	8
1916	07	14	Uruguay	Chile	4	1	F		1	1942	1405	0	0	4	25
1916	07	17	Argentina	Uruguay	0	0	SA		-6	1927	1948	0	0	6	4
1916	07	18	Uruguay	Brazil	0	1	F		-15	1933	1888	−1	+1	5	7
1916	08	15	Argentina	Uruguay	3	1	NWT		17	1944	1916	+3	−1	3	6
1916	08	15	Uruguay	Argentina	1	2	LPT		-18	1898	1962	−1	+3	6	3
1916	10	01	Argentina	Uruguay	7	2	CCP		17	1979	1881	0	−4	3	10
1916	10	01	Uruguay	Argentina	0	1	POU		-15	1866	1994	−4	0	10	3
1916	10	29	Uruguay	Argentina	3	1	CCP		24	1890	1970	+4	0	6	3
1917	07	18	Uruguay	Argentina	0	2	POU		-24	1866	1994	−3	0	9	3
1917	08	15	Argentina	Uruguay	1	0	LPT		6	2000	1860	0	0	3	9
1917	09	02	Uruguay	Argentina	1	0	NWT		17	1877	1983	+1	0	8	3
1917	09	30	Uruguay	Chile	4	0	SA		3	1880	1402	0	0	8	26
1917	10	07	Uruguay	Brazil	4	0	SA		31	1911	1830	+1	−1	6	10
1917	10	14	Uruguay	Argentina	1	0	SA		25	1936	1986	0	0	6	3
1917	10	16	Uruguay	Brazil	3	1	F		7	1943	1831	0	−1	6	10
1918	07	18	Uruguay	Argentina	1	1	POU		-3	1940	1979	0	0	6	4
1918	07	28	Uruguay	Argentina	3	1	POU		19	1959	1960	+1	0	5	4
1918	08	15	Argentina	Uruguay	0	0	POA		-4	1956	1963	−1	+1	5	4
1918	08	25	Argentina	Uruguay	2	1	POA		11	1967	1952	+1	−2	4	6
1918	09	20	Uruguay	Argentina	1	1	LPT		-4	1948	1971	0	0	6	4
1918	09	29	Argentina	Uruguay	2	0	NWT		15	1986	1933	0	0	4	6
1919	05	13	Uruguay	Argentina	3	2	SA	BR	30	1963	1970	+1	0	5	4
1919	05	17	Uruguay	Chile	2	0	SA	BR	3	1966	1395	0	0	5	28
1919	05	25	Brazil	Uruguay	2	2	SA		-1	1878	1967	0	0	8	4
1919	05	29	Brazil	Uruguay	1	0	SA		24	1902	1943	+1	−2	7	6
1919	07	18	Uruguay	Argentina	4	1	POU		20	1963	1941	+2	−2	4	6
1919	08	24	Uruguay	Argentina	2	1	NWT		10	1973	1931	0	+1	4	5
1919	09	07	Argentina	Uruguay	1	2	LPT		-17	1914	1990	−1	0	6	4
1919	10	19	Argentina	Uruguay	6	1	POA		28	1942	1962	+1	−2	5	4
1919	12	07	Uruguay	Argentina	4	2	CCP		15	1977	1927	+1	0	3	5
1920	07	18	Uruguay	Argentina	2	0	POU		13	1990	1914	+1	0	2	5
1920	07	25	Argentina	Uruguay	1	3	NWT		-24	1890	2014	−2	0	7	2
