year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1992	06	17	Tajikistan	Uzbekistan	2	2	CAU		10	1410	1690	−	−	95	36
1992	06	28	Uzbekistan	Turkmenistan	2	1	CAU		6	1696	1483	+1	−4	33	81
1992	07	16	Kazakhstan	Uzbekistan	1	0	CAU		20	1618	1676	+5	−4	50	37
1992	08	23	Uzbekistan	Kyrgyzstan	3	0	CAU		2	1678	1198	0	−	36	152
1992	10	03	Kyrgyzstan	Uzbekistan	2	6	CAU		-8	1204	1686	0	+1	151	33
1992	10	14	Uzbekistan	Kazakhstan	1	1	CAU		-10	1676	1611	−1	+1	34	52
1992	10	25	Turkmenistan	Uzbekistan	1	0	CAU		25	1510	1651	+5	−8	73	42
1992	12	02	Malaysia	Uzbekistan	1	1	F		7	1252	1644	+3	−2	138	43
1994	04	11	Uzbekistan	Turkmenistan	4	0	CAU		16	1660	1498	+7	−5	38	78
1994	04	13	Uzbekistan	Kazakhstan	1	0	CAU		12	1672	1610	+1	−4	37	56
1994	04	17	Uzbekistan	Tajikistan	1	1	CAU		-16	1656	1395	−2	+4	39	103
1994	04	19	Uzbekistan	Kyrgyzstan	3	0	CAU		3	1659	1191	0	0	39	156
1994	10	01	Uzbekistan	Saudi Arabia	4	1	ASG	JP	38	1697	1651	+8	−8	30	40
1994	10	03	Uzbekistan	Malaysia	5	0	ASG	JP	6	1703	1258	0	−1	30	140
1994	10	05	Uzbekistan	Hong Kong	1	0	ASG	JP	2	1705	1211	0	0	30	153
1994	10	07	Uzbekistan	Thailand	5	4	ASG	JP	5	1710	1351	0	−2	30	119
1994	10	11	Uzbekistan	Turkmenistan	3	0	ASG	JP	19	1729	1520	+1	−3	29	73
1994	10	13	Uzbekistan	South Korea	1	0	ASG	JP	17	1746	1664	0	−2	28	38
1994	10	16	Uzbekistan	China	4	2	ASG	JP	20	1766	1609	+1	−10	27	55
1995	10	21	Uzbekistan	Nigeria	2	3	AAC		-31	1735	1805	−1	+3	29	23
1995	11	10	Nigeria	Uzbekistan	1	0	AAC		14	1819	1721	0	−1	23	30
1996	05	08	Tajikistan	Uzbekistan	4	0	SQ		60	1435	1661	+15	−9	99	40
1996	06	19	Uzbekistan	Tajikistan	5	0	SQ		11	1672	1424	+2	−3	37	99
1996	09	11	Japan	Uzbekistan	1	0	F		6	1746	1666	+1	−1	26	37
1996	11	19	United Arab Emirates	Uzbekistan	4	2	F		17	1545	1649	+3	−4	68	42
1996	11	22	United Arab Emirates	Uzbekistan	2	0	F		15	1560	1634	+2	−1	66	43
