year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1951	10	04	New Zealand	New Hebrides	9	0	F	NC	9	1380	1091	0	−	79	111
1953	09	00	New Hebrides	Tahiti	2	4	F		-6	1085	1436	0	−9	118	73
1953	09	00	New Hebrides	Tahiti	2	4	F		-6	1079	1442	0	−9	118	73
1957	09	09	Tahiti	New Hebrides	2	1	F		1	1455	1078	0	0	77	131
1963	08	30	Solomon Islands	New Hebrides	6	3	SPG	FJ	23	1223	1055	−	−1	127	145
1966	12	12	New Caledonia	New Hebrides	5	0	SPG		4	1489	1051	+1	0	71	154
1966	12	13	New Hebrides	Solomon Islands	4	4	SPG	NC	5	1056	1139	0	0	154	143
1966	12	15	Tahiti	New Hebrides	3	0	SPG	NC	8	1412	1048	+2	0	93	154
1966	12	17	New Hebrides	Papua New Guinea	5	2	SPG	NC	38	1086	1044	+2	−2	152	154
1969	08	14	New Hebrides	Tahiti	3	3	SPG	PG	16	1102	1457	+1	−2	151	76
1969	08	15	Fiji	New Hebrides	5	2	SPG	PG	25	1227	1077	+6	−2	128	153
1969	08	16	New Caledonia	New Hebrides	2	0	SPG	PG	5	1492	1072	0	0	72	153
1969	08	18	Papua New Guinea	New Hebrides	2	1	SPG		15	1080	1057	+4	−2	151	155
1969	08	20	Solomon Islands	New Hebrides	7	2	SPG	PG	38	1114	1019	+5	−2	148	157
1971	00	00	New Hebrides	New Caledonia	2	0	F		27	1046	1481	+3	−3	156	70
1971	00	00	New Hebrides	New Caledonia	2	3	F		-3	1043	1484	+3	−3	156	70
1971	00	00	New Hebrides	New Caledonia	0	0	F		8	1051	1476	+3	−3	156	70
1971	09	11	New Hebrides	Fiji	6	4	SPG	TI	39	1090	1122	+4	−5	153	147
1971	09	13	New Caledonia	New Hebrides	0	0	SPG	TI	-17	1485	1107	−3	+2	69	151
1971	09	16	Tahiti	New Hebrides	1	2	SPG		-37	1414	1144	−11	+8	87	143
1971	09	18	New Caledonia	New Hebrides	7	1	SPG	TI	10	1504	1134	+2	−2	66	145
1973	02	18	New Caledonia	New Hebrides	4	1	OC	NZ	12	1474	1122	+2	−1	68	148
1973	02	20	Tahiti	New Hebrides	1	0	OC	NZ	7	1453	1115	+3	0	73	148
1973	02	21	New Hebrides	Fiji	2	1	OC	NZ	25	1140	1089	+4	−5	144	154
1973	02	23	New Zealand	New Hebrides	3	1	OC		6	1476	1134	+1	−3	67	147
1973	02	24	New Caledonia	New Hebrides	2	1	OC	NZ	7	1470	1127	+2	0	69	147
1975	08	02	New Hebrides	Papua New Guinea	3	0	SPG	GU	34	1161	1079	+6	−7	138	155
1975	08	04	New Caledonia	New Hebrides	3	1	SPG	GU	7	1513	1154	+1	−1	65	139
1975	08	05	Tahiti	New Hebrides	3	0	SPG	GU	13	1422	1141	+1	−2	89	141
1978	08	07	New Hebrides	Tahiti	2	4	F		-7	1134	1467	−3	+1	144	74
1979	07	05	Solomon Islands	New Hebrides	3	1	IND		18	1117	1116	+6	−4	145	148
1979	07	06	Solomon Islands	New Hebrides	3	0	IND		19	1136	1097	+2	−3	143	151
1979	08	29	New Hebrides	Guam	4	0	SPG	FJ	6	1103	665	+2	−1	149	185
1979	08	31	New Caledonia	New Hebrides	3	0	SPG	FJ	9	1443	1094	+2	−2	84	151
1979	09	03	Tahiti	New Hebrides	1	0	SPG	FJ	4	1475	1090	+3	−1	74	152
1979	09	05	New Hebrides	Papua New Guinea	2	0	SPG	FJ	27	1117	1029	+5	−6	147	160
1979	09	06	New Hebrides	Tonga	7	1	SPG	FJ	7	1124	692	0	−1	147	183
