year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1938	02	12	Panama	Venezuela	2	1	CAC		14	1314	1286	−	−	69	77
1938	02	14	Mexico	Venezuela	1	0	CAC	PA	2	1797	1284	0	+1	14	76
1938	02	16	El Salvador	Venezuela	3	2	CAC	PA	12	1443	1272	+1	−4	57	80
1938	02	20	Costa Rica	Venezuela	3	0	CAC	PA	2	1848	1270	0	0	13	80
1938	02	23	Venezuela	Colombia	2	1	CAC	PA	29	1299	1415	+6	−3	74	59
1938	08	11	Bolivia	Venezuela	3	1	BG	CO	34	1281	1265	+4	−7	80	83
1938	08	13	Colombia	Venezuela	2	0	BG		15	1376	1250	0	−1	63	84
1938	08	17	Peru	Venezuela	2	1	BG	CO	4	1639	1246	+1	0	34	84
1938	08	19	Ecuador	Venezuela	5	2	BG	CO	28	1340	1218	+3	−3	69	87
1944	04	01	Venezuela	Aruba	3	1	FT	CW	31	1249	1329	+1	−8	90	76
1944	04	05	Venezuela	Haiti	2	0	FT	CW	27	1276	1300	+3	−6	87	82
1944	04	09	Curaçao	Venezuela	3	3	FT		-12	1538	1288	0	+3	50	84
1946	12	12	Colombia	Venezuela	2	0	CAC		14	1407	1274	+2	−2	64	86
1946	12	14	Costa Rica	Venezuela	4	2	CAC	CO	6	1661	1268	+2	−1	32	87
1946	12	16	Panama	Venezuela	2	1	CAC	CO	17	1334	1251	+2	−1	74	88
1946	12	18	Venezuela	Guatemala	3	2	CAC	CO	30	1281	1417	+2	−4	86	64
1946	12	19	Curaçao	Venezuela	1	0	CAC	CO	8	1524	1273	+2	0	50	86
1946	12	20	Venezuela	Puerto Rico	6	0	CAC	CO	8	1281	873	0	0	86	100
1948	01	05	Bolivia	Venezuela	2	2	BG	PE	0	1279	1281	0	0	91	89
1951	03	05	Costa Rica	Venezuela	3	1	PAG	AR	13	1566	1268	+1	−1	45	98
1955	03	16	Venezuela	Netherlands Antilles	3	2	PAG	MX	39	1307	1447	+13	−9	98	75
1955	03	21	Netherlands Antilles	Venezuela	3	1	PAG	MX	23	1470	1284	+5	−10	70	108
1956	03	09	Venezuela	Panama	1	0	MGC	HT	16	1300	1292	+6	−7	102	105
1956	03	10	Haiti	Venezuela	1	1	MGC		-6	1331	1306	−1	+4	95	98
1956	03	14	Venezuela	Panama	4	2	MGC	HT	21	1327	1262	+2	−4	96	112
1956	03	16	Haiti	Venezuela	3	0	MGC		18	1358	1309	+3	−2	91	98
1959	01	09	Venezuela	Netherlands Antilles	2	2	CAC		5	1314	1495	0	−1	104	71
1959	01	14	Venezuela	Panama	2	2	CAC		-9	1305	1254	0	+2	104	117
1959	01	16	Venezuela	Puerto Rico	7	0	CAC		4	1309	858	0	0	104	145
1961	12	04	Venezuela	Panama	6	2	BG	CO	28	1337	1195	+5	−5	104	128
1961	12	12	Venezuela	Panama	3	0	BG	CO	21	1358	1174	0	−3	104	131
1962	08	15	Venezuela	Cuba	2	0	CAC	JM	13	1371	1130	+5	0	100	138
1962	08	17	Jamaica	Venezuela	0	2	CAC		-35	1300	1406	−7	+7	112	93
1962	08	20	Netherlands Antilles	Venezuela	4	3	CAC	JM	13	1553	1393	+3	−3	54	96
1962	08	24	Venezuela	Puerto Rico	4	0	CAC	JM	3	1396	842	+1	0	95	155
1965	05	16	Peru	Venezuela	1	0	WQ		6	1619	1390	+4	−1	44	95
1965	05	23	Uruguay	Venezuela	5	0	WQ		3	1846	1387	0	0	15	95
1965	05	30	Venezuela	Uruguay	1	3	WQ		-7	1380	1853	−2	+1	97	14
1965	06	02	Venezuela	Peru	3	6	WQ		-22	1358	1641	−6	+6	103	37
1965	11	25	Panama	Venezuela	1	0	BG	EC	28	1236	1330	+3	−9	130	112
1965	12	04	Venezuela	Panama	3	1	BG	EC	22	1352	1214	+7	−2	105	132
1967	01	18	Chile	Venezuela	2	0	SA	UY	8	1729	1344	0	−1	28	102
1967	01	21	Uruguay	Venezuela	4	0	SA		3	1864	1341	0	−2	11	104
1967	01	25	Argentina	Venezuela	5	1	SA	UY	2	2011	1339	0	0	3	104
1967	01	28	Venezuela	Bolivia	3	0	SA	UY	75	1414	1573	+10	−11	94	49
1967	02	01	Paraguay	Venezuela	5	3	SA	UY	12	1714	1402	+1	−3	28	97
1969	07	27	Colombia	Venezuela	3	0	WQ		24	1440	1378	+7	−5	83	100
1969	08	02	Venezuela	Colombia	1	1	WQ		-2	1376	1442	0	+2	100	81
1969	08	06	Venezuela	Paraguay	0	2	WQ		-11	1365	1739	−1	+1	101	25
1969	08	10	Venezuela	Brazil	0	5	WQ		-3	1362	2014	−1	0	102	2
1969	08	21	Paraguay	Venezuela	1	0	WQ		3	1732	1359	0	−2	25	104
1969	08	24	Brazil	Venezuela	6	0	WQ		1	2036	1358	0	0	2	104
1971	11	13	Venezuela	Trinidad and Tobago	1	0	F		7	1365	1362	+2	−2	100	102
1972	06	03	Venezuela	Colombia	2	1	F		9	1374	1408	+2	−1	99	87
1972	06	11	Paraguay	Venezuela	4	1	BRI	BR	7	1763	1367	+1	−2	25	101
1972	06	14	Yugoslavia	Venezuela	10	0	BRI	BR	6	1854	1361	+1	0	11	101
1972	06	18	Peru	Venezuela	1	0	BRI	BR	5	1710	1356	+1	−2	31	103
1972	06	21	Bolivia	Venezuela	2	2	BRI	BR	-12	1585	1368	−2	+2	53	102
1973	12	16	Venezuela	Dominican Republic	1	0	F		1	1369	955	0	0	101	164
1975	07	30	Venezuela	Brazil	0	4	CA		-3	1366	2039	−1	0	103	4
1975	08	03	Venezuela	Argentina	1	5	CA		-8	1358	1886	−1	0	104	12
1975	08	10	Argentina	Venezuela	11	0	CA		4	1881	1354	0	0	12	104
1975	08	13	Brazil	Venezuela	6	0	CA		1	2049	1353	0	0	4	104
1977	01	20	Venezuela	Ecuador	1	0	F		10	1363	1428	+1	−2	103	86
1977	02	09	Venezuela	Uruguay	1	1	WQ		12	1375	1687	+6	−1	96	33
1977	03	06	Venezuela	Bolivia	1	3	WQ		-26	1349	1542	−6	+3	103	58
1977	03	13	Bolivia	Venezuela	2	0	WQ		9	1551	1340	+2	−3	56	106
1977	03	17	Uruguay	Venezuela	2	0	WQ		5	1667	1335	0	−1	36	107
1978	03	30	Venezuela	China	0	1	F		-6	1329	1588	−1	+1	107	50
1979	08	01	Venezuela	Colombia	0	0	CA		11	1340	1580	+2	−3	105	55
1979	08	08	Venezuela	Chile	1	1	CA		13	1353	1619	+3	−2	102	45
1979	08	22	Colombia	Venezuela	4	0	CA		11	1612	1342	+2	−3	47	105
1979	08	29	Chile	Venezuela	7	0	CA		13	1611	1329	+2	−2	48	107
1980	07	01	Venezuela	Costa Rica	2	0	F		23	1352	1619	+4	−3	99	48
1980	07	05	Venezuela	Costa Rica	1	1	F		4	1356	1615	+1	−1	98	48
1981	01	11	Netherlands Antilles	Venezuela	3	1	F		17	1228	1339	+5	−3	128	103
1981	01	18	Venezuela	Netherlands Antilles	1	0	F		5	1344	1223	+1	−1	102	129
1981	02	08	Venezuela	Brazil	0	1	WQ		-1	1343	2046	0	0	102	2
1981	02	15	Bolivia	Venezuela	3	0	WQ		9	1577	1334	+3	−1	51	103
1981	03	15	Venezuela	Bolivia	1	0	WQ		28	1362	1545	+3	−4	100	58
1981	03	29	Brazil	Venezuela	5	0	WQ		1	2056	1361	0	0	2	100
1981	06	28	Venezuela	Spain	0	2	F		-3	1358	1850	−1	0	101	17
1981	09	20	Venezuela	Cuba	1	0	BQS		22	1380	1608	+7	−3	93	46
1983	09	04	Uruguay	Venezuela	3	0	CA		4	1817	1376	0	−3	19	93
1983	09	08	Chile	Venezuela	5	0	CA		6	1748	1370	0	0	27	93
