year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1876	03	25	Scotland	Wales	4	0	F		1	2011	1499	0	−	1	3
1877	03	05	Wales	Scotland	0	2	F		-2	1497	2031	0	0	3	1
1878	03	23	Scotland	Wales	9	0	F		1	2043	1496	0	0	1	3
1879	01	18	England	Wales	2	1	F		1	1962	1495	0	0	2	3
1879	04	07	Wales	Scotland	0	3	F		-3	1492	2037	0	0	3	1
1880	03	15	Wales	England	2	3	F		-2	1490	1967	0	0	3	2
1880	03	27	Scotland	Wales	5	1	F		1	2044	1489	0	0	1	3
1881	02	26	England	Wales	0	1	F		-19	1948	1508	0	0	2	3
1881	03	14	Wales	Scotland	1	5	F		-3	1505	2067	0	0	3	1
1882	02	25	Wales	Ireland	7	1	F		6	1511	1291	0	0	3	4
1882	03	13	Wales	England	5	3	F		26	1537	1897	0	0	3	2
1882	03	25	Scotland	Wales	5	0	F		1	2076	1536	0	0	1	3
1883	02	03	England	Wales	5	0	F		3	1900	1533	0	0	2	3
1883	03	12	Wales	Scotland	0	3	F		-2	1531	2086	0	0	3	1
1883	03	17	Ireland	Wales	1	1	F		4	1294	1527	0	0	4	3
1884	02	09	Wales	Ireland	6	0	BC		11	1538	1282	0	0	3	4
1884	03	17	Wales	England	0	4	BC		-14	1524	1906	0	0	3	2
1884	03	29	Scotland	Wales	4	1	BC		1	2094	1523	0	0	1	3
1885	03	14	England	Wales	1	1	BC		-18	1889	1541	0	0	2	3
1885	03	23	Wales	Scotland	1	8	BC		-6	1535	2094	0	0	3	1
1885	04	11	Ireland	Wales	2	8	BC		-24	1252	1559	0	0	4	3
1886	02	27	Wales	Ireland	5	0	BC		7	1566	1245	0	0	3	4
1886	03	29	Wales	England	1	3	BC		-12	1554	1924	0	0	3	2
1886	04	10	Scotland	Wales	4	1	BC		2	2083	1552	0	0	1	3
1887	02	26	England	Wales	4	0	BC		5	1930	1547	0	0	2	3
1887	03	12	Ireland	Wales	4	1	BC		54	1294	1493	0	0	4	3
1887	03	21	Wales	Scotland	0	2	BC		-3	1490	2103	0	0	3	1
1888	02	04	England	Wales	5	1	BC		4	1917	1486	0	0	2	3
1888	03	03	Wales	Ireland	11	0	BC		17	1503	1277	0	0	3	4
1888	03	10	Scotland	Wales	5	1	BC		1	2104	1502	0	0	1	3
1889	02	23	England	Wales	4	1	BC		2	1988	1500	0	0	2	3
1889	04	15	Wales	Scotland	0	0	BC		17	1517	2046	0	0	3	1
1889	04	27	Ireland	Wales	1	3	BC		-18	1253	1535	0	0	4	3
1890	02	08	Wales	Ireland	5	2	BC	EN	12	1547	1241	0	0	3	4
1890	03	15	Wales	England	1	3	BC		-8	1539	1977	0	0	3	2
1890	03	22	Scotland	Wales	5	0	BC		2	2048	1537	0	0	1	3
1891	02	07	Ireland	Wales	7	2	BC		61	1298	1476	0	0	4	3
1891	03	07	England	Wales	4	1	BC		2	1988	1474	0	0	2	3
1891	03	21	Wales	Scotland	3	4	BC		-3	1471	2043	0	0	3	1
1892	02	27	Wales	Ireland	1	1	BC		-13	1458	1310	0	0	3	4
1892	03	05	Wales	England	0	2	BC		-4	1454	2012	0	0	3	2
1892	03	26	Scotland	Wales	6	1	BC		2	2029	1452	0	0	1	3
1893	03	13	England	Wales	6	0	BC		1	2060	1451	0	0	1	3
1893	03	18	Wales	Scotland	0	8	BC		-7	1444	1990	0	0	3	2
1893	04	08	Ireland	Wales	4	3	BC		22	1327	1422	0	0	4	3
1894	02	24	Wales	Ireland	4	1	BC		17	1439	1310	0	0	3	4
1894	03	12	Wales	England	1	5	BC		-4	1435	2064	0	0	3	1
1894	03	24	Scotland	Wales	5	2	BC		2	1974	1433	0	0	2	3
1895	03	16	Ireland	Wales	2	2	BC		0	1326	1433	0	0	4	3
1895	03	18	England	Wales	1	1	BC		-19	2047	1452	0	0	1	3
1895	03	23	Wales	Scotland	2	2	BC		17	1469	1958	0	0	3	2
1896	02	29	Wales	Ireland	6	1	BC		16	1485	1309	0	0	3	4
1896	03	16	Wales	England	1	9	BC		-6	1479	2072	0	0	3	1
1896	03	21	Scotland	Wales	4	0	BC		3	1944	1476	0	0	2	3
1897	03	06	Ireland	Wales	4	3	BC		23	1348	1453	0	0	4	3
1897	03	20	Wales	Scotland	2	2	BC		16	1469	1933	0	0	3	2
1897	03	29	England	Wales	4	0	BC		1	2051	1468	0	0	1	3
1898	02	19	Wales	Ireland	0	1	BC		-31	1437	1378	0	0	3	4
1898	03	19	Scotland	Wales	5	2	BC		2	1967	1435	0	0	2	3
1898	03	28	Wales	England	0	3	BC		-4	1431	2026	0	0	3	1
1899	03	04	Ireland	Wales	1	0	BC		18	1389	1413	0	0	4	3
1899	03	18	Wales	Scotland	0	6	BC		-7	1406	1944	0	0	3	2
1899	03	20	England	Wales	4	0	BC		1	2062	1405	0	0	1	3
1900	02	03	Scotland	Wales	5	2	BC		2	1939	1403	0	0	2	3
1900	02	24	Wales	Ireland	2	0	BC		20	1423	1367	0	0	3	4
1900	03	26	Wales	England	1	1	BC		18	1441	2055	0	0	3	1
1901	03	02	Wales	Scotland	1	1	BC		17	1458	1964	0	0	3	2
1901	03	18	England	Wales	6	0	BC		2	2022	1456	0	0	1	3
1901	03	23	Ireland	Wales	0	1	BC		-20	1338	1476	0	0	4	3
1902	02	22	Wales	Ireland	0	3	BC		-56	1420	1394	0	0	3	4
1902	03	03	Wales	England	0	0	BC		18	1438	1995	0	0	3	1
1902	03	15	Scotland	Wales	5	1	BC		2	1979	1436	0	0	2	3
1903	03	02	England	Wales	2	1	BC		1	1997	1435	0	0	2	7
1903	03	09	Wales	Scotland	0	1	BC		-3	1432	1986	0	0	7	3
1903	03	28	Ireland	Wales	2	0	BC		21	1465	1411	0	0	7	8
1904	02	29	Wales	England	2	2	BC		17	1428	1951	0	−1	9	3
1904	03	12	Scotland	Wales	1	1	BC		-19	1937	1447	−1	0	3	9
1904	03	21	Wales	Ireland	0	1	BC		-25	1422	1484	0	0	9	8
1905	03	06	Wales	Scotland	3	1	BC		54	1476	1844	0	−3	12	7
1905	03	27	England	Wales	3	1	BC		2	1964	1474	0	0	2	12
1905	04	08	Ireland	Wales	2	2	BC		-8	1504	1482	0	0	10	12
1906	03	03	Scotland	Wales	0	2	BC		-56	1785	1538	0	+3	8	11
1906	03	19	Wales	England	0	1	BC		-5	1533	1987	0	0	11	2
1906	04	02	Wales	Ireland	4	4	BC		-8	1525	1493	0	0	11	14
1907	02	23	Ireland	Wales	2	3	BC		-24	1468	1549	−1	0	16	12
1907	03	04	Wales	Scotland	1	0	BC		29	1578	1791	+1	0	11	10
1907	03	18	England	Wales	1	1	BC		-18	1956	1596	0	0	2	11
1908	03	07	Scotland	Wales	2	1	BC		6	1816	1590	+1	−1	9	12
1908	03	16	Wales	England	1	7	BC		-13	1577	1997	0	0	12	2
1908	04	11	Wales	Ireland	0	1	BC		-32	1545	1474	0	0	13	17
1909	03	01	Wales	Scotland	3	2	BC		30	1575	1805	+1	0	14	10
1909	03	15	England	Wales	2	0	BC		1	2150	1574	0	0	1	14
1909	03	20	Ireland	Wales	2	3	BC		-20	1447	1594	0	0	19	14
1910	03	05	Scotland	Wales	1	0	BC		6	1813	1588	0	0	10	14
1910	03	14	Wales	England	0	1	BC		-2	1586	2190	0	0	14	1
1910	04	11	Wales	Ireland	4	1	BC		18	1604	1480	0	−1	14	18
1911	01	28	Ireland	Wales	1	2	BC		-19	1461	1623	−1	0	20	15
1911	03	06	Wales	Scotland	2	2	BC		6	1629	1826	0	0	15	9
1911	03	13	England	Wales	3	0	BC		2	2153	1627	0	0	1	15
1912	03	02	Scotland	Wales	1	0	BC		5	1852	1622	+1	0	8	15
1912	03	11	Wales	England	0	2	BC		-5	1617	2155	0	0	15	1
1912	04	13	Wales	Ireland	2	3	BC		-33	1584	1476	0	0	15	21
1913	01	18	Ireland	Wales	0	1	BC		-20	1456	1604	−1	0	22	16
1913	03	03	Wales	Scotland	0	0	BC		9	1613	1864	+2	−1	14	8
1913	03	17	England	Wales	4	3	BC		1	2177	1612	0	0	1	14
1914	01	19	Wales	Ireland	1	2	BC		-31	1581	1519	−2	+1	17	20
1914	02	28	Scotland	Wales	0	0	BC		-16	1851	1597	−1	+2	8	16
1914	03	16	Wales	England	0	2	BC		-5	1592	2120	−1	0	17	1
1919	10	11	Wales	England	2	1	F		18	1610	2056	+2	0	18	1
1919	10	18	England	Wales	2	0	F		1	2057	1609	0	0	1	18
1920	02	14	Ireland	Wales	2	2	BC		-6	1609	1615	−1	+1	19	18
1920	02	26	Wales	Scotland	1	1	BC		9	1624	1873	0	0	18	8
1920	03	15	England	Wales	1	2	BC		-38	1982	1662	−1	+2	2	16
1921	02	12	Scotland	Wales	2	1	BC		6	1878	1656	0	0	9	17
1921	03	14	Wales	England	0	0	BC		10	1666	1944	0	−1	17	4
1921	04	09	Wales	Ireland	2	1	BC		11	1677	1582	+1	0	16	23
1922	02	04	Wales	Scotland	2	1	BC		28	1705	1897	+2	−1	17	7
1922	03	13	England	Wales	1	0	BC		5	1931	1700	0	−2	5	18
1922	04	01	Northern Ireland	Wales	1	1	BC		-6	1695	1706	−2	+2	19	16
1923	03	05	Wales	England	2	2	BC		6	1712	1906	0	0	16	5
1923	03	17	Scotland	Wales	2	0	BC		8	1950	1704	0	−1	3	17
1923	04	14	Wales	Northern Ireland	0	3	BC		-48	1656	1713	−6	+7	23	16
1924	02	16	Wales	Scotland	2	0	BC		45	1701	1898	+6	−4	18	7
1924	03	03	England	Wales	1	2	BC		-34	1870	1735	−3	+2	9	16
1924	03	15	Northern Ireland	Wales	0	1	BC		-25	1703	1760	−1	0	18	16
1924	10	04	Wales	South Africa	1	0	F		8	1768	1785	+1	−1	17	14
1925	02	14	Scotland	Wales	3	1	BC		12	1924	1756	0	0	4	18
1925	02	28	Wales	England	1	2	BC		-17	1739	1919	0	0	18	5
1925	04	18	Wales	Northern Ireland	0	0	BC		-9	1730	1670	0	+1	18	24
1925	10	31	Wales	Scotland	0	3	BC		-22	1708	1987	−2	+1	19	2
1926	02	13	Northern Ireland	Wales	3	0	BC		28	1707	1680	+6	−6	19	25
1926	03	01	England	Wales	1	3	BC		-53	1872	1733	−2	+6	7	19
1926	10	30	Scotland	Wales	3	0	BC		7	2021	1726	+1	−1	1	17
1927	02	12	Wales	England	3	3	BC		2	1728	1853	0	0	16	9
1927	04	09	Wales	Northern Ireland	2	2	BC		-7	1721	1705	−1	+2	18	20
1927	10	29	Wales	Scotland	2	2	BC		10	1731	1992	+1	0	17	3
1927	11	28	England	Wales	1	2	BC		-32	1846	1763	−1	+1	9	16
1928	02	04	Northern Ireland	Wales	1	2	BC		-25	1719	1788	−1	+2	18	14
1928	10	27	Scotland	Wales	4	2	BC		9	2001	1779	0	0	3	14
