year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1966	12	11	Tahiti	Wallis and Futuna	5	0	SPG	NC	1	1404	699	0	−	96	169
1966	12	13	Papua New Guinea	Wallis and Futuna	9	1	SPG	NC	10	1086	689	+1	0	152	169
1979	08	29	Solomon Islands	Wallis and Futuna	6	0	SPG	FJ	6	1142	683	+2	−2	141	183
1979	09	01	Wallis and Futuna	Western Samoa	3	1	SPG	FJ	31	714	661	+3	−4	182	187
1979	09	03	Fiji	Wallis and Futuna	5	0	SPG		5	1104	709	+1	0	149	182
1979	09	05	Tonga	Wallis and Futuna	1	0	SPG	FJ	22	699	687	+3	−2	182	184
1983	08	20	Wallis and Futuna	Tonga	3	0	SPG	WM	36	723	656	+2	−3	185	189
1983	08	22	Eastern Samoa	Wallis and Futuna	3	0	SPG	WM	49	628	674	+3	−3	190	188
1983	08	24	Western Samoa	Wallis and Futuna	1	2	SPG		-23	605	697	−2	+3	192	185
1983	09	00	New Caledonia	Wallis and Futuna	4	0	SPG	WM	2	1314	695	−9	0	103	185
1987	12	09	Vanuatu	Wallis and Futuna	6	1	SPG	NC	10	1041	685	+3	0	161	188
1987	12	10	Tahiti	Wallis and Futuna	4	0	SPG	NC	0	1565	685	0	0	59	188
1987	12	12	Wallis and Futuna	Eastern Samoa	5	1	SPG	NC	29	714	573	+1	−2	187	197
1987	12	15	New Caledonia	Wallis and Futuna	5	1	SPG		1	1322	713	0	0	101	187
1987	12	17	Papua New Guinea	Wallis and Futuna	2	0	SPG	NC	4	1180	709	+1	−1	141	188
1991	09	09	Vanuatu	Wallis and Futuna	4	0	SPG	PG	9	1057	700	+2	0	170	197
1991	09	11	Solomon Islands	Wallis and Futuna	5	0	SPG	PG	6	1141	694	0	0	156	197
1991	09	13	Papua New Guinea	Wallis and Futuna	5	0	SPG		4	1089	690	0	0	166	197
1991	09	17	Tahiti	Wallis and Futuna	5	0	SPG	PG	1	1493	689	0	0	69	197
1991	09	18	Wallis and Futuna	Guam	5	0	SPG	PG	45	734	691	+2	−2	195	197
1995	08	16	Solomon Islands	Wallis and Futuna	12	1	SPG	TI	5	1286	729	+1	0	136	209
1995	08	17	Tahiti	Wallis and Futuna	13	0	SPG		1	1531	728	0	0	72	209
1995	08	19	Cook Islands	Wallis and Futuna	2	1	SPG	TI	23	696	705	+2	0	210	209
1995	08	20	New Caledonia	Wallis and Futuna	10	0	SPG	TI	6	1212	699	+1	0	150	209
