year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1961	12	24	Aden	French Somaliland	4	2	F		2	1302	887	−	−1	110	151
1965	09	02	Palestine	Aden	1	0	PAR	EG	26	1217	1276	+5	−6	131	122
1965	09	03	Egypt	Aden	14	0	PAR		3	1805	1273	0	0	16	122
1965	09	04	Iraq	Aden	6	0	PAR	EG	10	1632	1263	+1	0	41	122
1965	09	07	Lebanon	Aden	4	3	PAR	EG	14	1380	1249	+4	−4	97	126
1972	01	01	Syria	South Yemen	1	0	PAL	IQ	13	1381	1236	+3	−2	96	129
1972	01	06	South Yemen	Palestine	2	1	PAL	IQ	16	1252	1155	+2	−1	127	141
1972	01	08	South Yemen	Qatar	2	1	PAL	IQ	11	1263	1062	+4	−2	123	156
1972	01	10	Algeria	South Yemen	4	1	PAL	IQ	11	1563	1252	+2	−4	57	127
1972	01	20	South Yemen	China	2	4	F		-6	1246	1610	−1	+1	128	48
1972	05	16	South Yemen	China	1	6	F		-7	1239	1617	0	+2	128	46
1972	05	27	South Yemen	China	2	5	F		-6	1233	1623	−1	+2	129	45
1973	08	12	Egypt	South Yemen	6	1	PAL	LY	5	1703	1228	+1	−1	30	130
1973	08	14	Palestine	South Yemen	1	0	PAL	LY	22	1221	1206	+5	−3	130	133
1973	08	16	Syria	South Yemen	7	1	PAL	LY	18	1453	1188	+7	−5	75	138
1973	08	19	Tunisia	South Yemen	2	0	PAL	LY	4	1658	1184	0	0	36	138
1974	05	02	South Yemen	Iraq	2	0	F		25	1209	1549	+4	−7	133	59
1974	07	10	China	South Yemen	6	5	F		1	1638	1208	0	0	38	133
1975	12	19	Egypt	South Yemen	5	0	PAL	TN	6	1666	1202	+3	−1	37	133
1975	12	21	South Yemen	Saudi Arabia	1	0	PAL	TN	28	1230	1327	+5	−5	128	111
1976	06	06	Iraq	South Yemen	1	0	AC	IR	7	1548	1223	+2	−2	54	131
1976	06	08	Iran	South Yemen	8	0	AC		5	1689	1218	0	0	34	131
1976	10	10	Syria	South Yemen	1	2	PAR		-36	1442	1254	−11	+7	83	124
1976	10	12	South Yemen	Mauritania	2	0	PAR	SY	9	1263	933	+2	−1	122	167
1976	10	14	Morocco	South Yemen	4	0	PAR	SY	5	1716	1258	0	−1	29	123
1976	10	16	South Yemen	Saudi Arabia	1	0	PAR	SY	25	1283	1330	+5	−6	118	109
1976	10	18	Palestine	South Yemen	0	0	PAR	SY	4	1213	1279	0	0	132	118
1976	10	20	Jordan	South Yemen	3	2	PAR	SY	27	1181	1252	+3	−6	137	124
1978	09	20	Libya	South Yemen	2	0	IND		9	1414	1243	+1	−5	89	126
1980	03	19	South Yemen	Jordan	2	1	OQ	IQ	17	1260	1175	+2	−2	122	139
1980	03	22	Kuwait	South Yemen	5	1	OQ	IQ	8	1632	1252	0	−1	44	123
1980	03	25	Syria	South Yemen	2	1	OQ	IQ	18	1303	1234	+3	−1	111	124
1980	03	28	Iraq	South Yemen	3	0	OQ		3	1707	1231	0	−1	31	125
1981	05	17	Ethiopia	South Yemen	1	1	F		-6	1359	1237	−2	+2	100	125
1982	11	21	South Korea	South Yemen	3	0	ASG	IN	7	1629	1230	0	−2	42	130
1982	11	23	Japan	South Yemen	3	1	ASG	IN	10	1520	1220	+1	−3	67	134
1982	11	25	Iran	South Yemen	2	0	ASG	IN	3	1742	1217	+1	−1	24	135
1983	11	00	South Yemen	Ethiopia	1	0	F		11	1228	1356	+2	−1	131	95
1983	12	02	Sudan	South Yemen	1	0	ARQ	SA	10	1439	1218	0	−2	87	133
1983	12	05	Saudi Arabia	South Yemen	1	0	ARQ		4	1487	1214	+1	0	74	133
1984	11	20	Syria	South Yemen	2	0	F		7	1320	1207	+1	−5	107	139
1985	03	29	South Yemen	Bahrain	1	4	WQ		-36	1171	1338	−6	+10	145	99
1985	04	12	Bahrain	South Yemen	3	3	WQ		-13	1331	1184	−4	+3	103	141
1988	02	26	Djibouti	South Yemen	4	1	F		27	899	1157	+2	−2	179	143
1988	06	17	Indonesia	South Yemen	1	0	SQ		10	1267	1147	+2	−2	118	146
1988	06	19	South Korea	South Yemen	1	1	SQ	ID	-17	1580	1164	0	+3	48	143
1988	06	22	Bahrain	South Yemen	2	0	SQ	ID	14	1383	1150	+1	−1	95	144
1989	11	01	Iran	South Yemen	2	0	PFT	KW	3	1610	1147	0	−1	47	147
1989	11	03	Iraq	South Yemen	6	2	PFT	KW	3	1643	1144	0	0	41	147
1989	11	05	South Yemen	Guinea	1	0	PFT	KW	26	1170	1438	+4	−8	143	82
1990	09	08	Malaysia	Yemen	0	1	F		-16	1307	1186	−2	+4	111	141
1990	09	23	Thailand	Yemen	0	0	ASG	CN	-3	1236	1189	−1	+1	129	140
1990	09	25	Kuwait	Yemen	0	0	ASG	CN	-15	1526	1204	−3	+1	65	139
1990	09	27	Hong Kong	Yemen	2	0	ASG	CN	28	1251	1176	+7	−5	127	144
1993	05	22	Jordan	Yemen	1	1	WQ		-15	1394	1191	−2	+3	103	155
1993	05	24	Yemen	Pakistan	5	1	WQ	JO	18	1209	979	+3	−1	152	189
1993	05	26	Iraq	Yemen	6	1	WQ	JO	6	1657	1203	+2	0	35	152
1993	05	28	Yemen	China	1	0	WQ	JO	34	1237	1482	+8	−9	144	84
1993	06	12	Jordan	Yemen	1	1	WQ	CN	-7	1361	1244	−3	+2	115	142
1993	06	14	Yemen	Pakistan	3	0	WQ	CN	12	1256	957	+2	−2	140	191
1993	06	16	Iraq	Yemen	3	0	WQ	CN	6	1687	1250	+1	−3	32	142
1993	06	18	China	Yemen	1	0	WQ		5	1493	1245	+2	0	82	142
1994	09	16	Bangladesh	Yemen	1	0	IPC	QA	24	1033	1221	+4	−7	184	151
1994	09	18	Yemen	India	2	0	IPC	QA	19	1240	1147	+7	−2	144	164
