year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1931	05	00	Northern Rhodesia	Southern Rhodesia	0	0	EIE	BC	-5	1595	1493	−	+2	31	44
1931	05	00	Northern Rhodesia	Southern Rhodesia	3	3	FT	BC	-4	1591	1497	−	+2	31	44
1946	00	00	Southern Rhodesia	Northern Rhodesia	0	4	F		-19	1478	1610	−1	+1	57	41
1947	00	00	Northern Rhodesia	Southern Rhodesia	2	2	F		-6	1604	1484	0	+1	40	56
1948	00	00	Belgian Congo	Northern Rhodesia	2	3	F		-13	1587	1617	−	0	40	38
1948	00	00	Southern Rhodesia	Northern Rhodesia	4	0	F		21	1505	1596	+1	0	54	38
1949	12	00	South Africa	Northern Rhodesia	3	2	F		4	1730	1592	+2	−2	19	39
1950	00	00	Northern Rhodesia	Southern Rhodesia	3	2	F		5	1597	1500	+2	−1	37	58
1950	03	00	Northern Rhodesia	Belgian Congo	1	0	F		7	1604	1580	+1	−2	36	41
1951	11	30	Southern Rhodesia	Northern Rhodesia	2	1	F		11	1488	1593	+2	−2	62	41
1952	00	00	Northern Rhodesia	Southern Rhodesia	1	4	F		-27	1566	1515	−3	+7	44	55
1952	11	30	Northern Rhodesia	Southern Rhodesia	3	2	F		6	1572	1509	0	−1	44	56
1953	07	12	Northern Rhodesia	Southern Rhodesia	2	1	LVY		8	1580	1501	+1	−3	43	58
1953	08	01	Northern Rhodesia	Southern Rhodesia	0	1	RCT		-22	1558	1523	−4	+4	47	54
1954	05	03	Northern Rhodesia	Israel	0	0	F		-6	1552	1434	−1	+4	54	79
1954	05	22	Southern Rhodesia	Northern Rhodesia	2	4	CRR		-26	1487	1578	−5	+6	65	48
1954	05	23	Southern Rhodesia	Northern Rhodesia	1	0	LVY		15	1502	1563	+4	−3	61	51
1955	05	07	Northern Rhodesia	Southern Rhodesia	3	4	CRR		-21	1542	1523	−6	+4	55	59
1955	05	08	Northern Rhodesia	Southern Rhodesia	0	2	LVY		-30	1512	1553	−7	+6	62	53
1956	00	00	Northern Rhodesia	South Africa	4	0	F		28	1540	1784	+9	−2	56	15
1957	00	00	Nyasaland	Northern Rhodesia	0	5	F		-8	1192	1548	−	+2	122	56
1958	00	00	Southern Rhodesia	Northern Rhodesia	4	2	LVY		16	1569	1532	−1	+4	58	54
1958	00	00	Southern Rhodesia	Northern Rhodesia	0	2	LVY		-31	1538	1563	−1	+4	58	54
1961	07	12	Congo-Brazzaville	Northern Rhodesia	3	1	ETF	CJ	24	1562	1539	+5	−4	53	57
1961	09	01	Southern Rhodesia	Northern Rhodesia	5	0	LVY		25	1522	1514	+6	−8	63	65
1961	09	02	Southern Rhodesia	Northern Rhodesia	2	4	LVY		-29	1493	1543	−7	+8	70	57
1962	09	01	Northern Rhodesia	Southern Rhodesia	1	1	LVY		-6	1537	1499	−4	0	61	70
1962	09	03	Northern Rhodesia	Southern Rhodesia	4	1	LVY		16	1553	1483	+7	−5	54	75
1963	07	06	Northern Rhodesia	Nyasaland	5	1	F		2	1555	1169	0	0	58	134
1963	10	19	Northern Rhodesia	Kenya	0	1	F		-16	1539	1417	−3	+5	60	88
1964	07	03	Northern Rhodesia	Tanganyika	3	0	IPC	NN	7	1546	1200	+1	−1	59	131
1964	07	04	Nyasaland	Northern Rhodesia	0	5	IPC		-10	1164	1556	0	+1	136	58
1964	07	20	Northern Rhodesia	Malawi	4	1	F		2	1558	1162	0	0	58	136
1964	10	20	Northern Rhodesia	Uganda	0	2	IND		-38	1520	1391	−15	+9	69	98
1964	10	23	Northern Rhodesia	Kenya	2	3	IND		-25	1495	1379	−4	+4	73	103
1964	12	11	Kenya	Zambia	4	2	IPC		24	1403	1471	+11	−2	92	76
1964	12	13	Kenya	Zambia	2	8	IPC		-35	1368	1506	−13	+4	105	72
1965	09	12	Zambia	Kenya	3	3	FT		-8	1498	1412	−1	+2	71	90
1965	09	14	Zambia	Kenya	2	3	FT		-22	1476	1434	−6	+5	77	85
1965	09	19	Zambia	Kenya	3	2	FT		9	1485	1425	+3	−3	74	88
1965	10	09	Uganda	Zambia	2	2	IND		1	1357	1484	0	0	104	74
1966	07	01	Zambia	Malawi	4	1	F		3	1487	1159	+1	0	72	140
1966	07	04	Malawi	Zambia	0	3	IND		-11	1148	1498	−1	+4	141	68
1966	07	05	Zambia	Madagascar	3	0	IND	MW	15	1513	1319	+3	−2	65	112
1966	07	06	Malawi	Zambia	0	6	IND		-11	1137	1524	−2	+4	143	61
1966	07	08	Malawi	Zambia	1	5	IND		-8	1106	1532	−1	+1	147	60
1966	09	06	Zambia	Kenya	0	1	FT		-23	1509	1453	−3	+6	64	83
1966	09	09	Zambia	Kenya	2	1	FT		9	1518	1444	+2	−2	62	85
1966	09	13	Zambia	Kenya	5	4	FT		8	1526	1436	0	−2	62	87
