year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1929	06	27	Southern Rhodesia	England	0	4	F		-6	1494	1892	−	0	44	9
1929	06	29	Southern Rhodesia	England	1	6	F		-6	1488	1898	−1	0	45	9
1931	05	00	Northern Rhodesia	Southern Rhodesia	0	0	EIE	BC	-5	1595	1493	−	+2	31	44
1931	05	00	Northern Rhodesia	Southern Rhodesia	3	3	FT	BC	-4	1591	1497	−	+2	31	44
1946	00	00	Southern Rhodesia	Northern Rhodesia	0	4	F		-19	1478	1610	−1	+1	57	41
1947	00	00	Northern Rhodesia	Southern Rhodesia	2	2	F		-6	1604	1484	0	+1	40	56
1948	00	00	Southern Rhodesia	Northern Rhodesia	4	0	F		21	1505	1596	+1	0	54	38
1950	00	00	Northern Rhodesia	Southern Rhodesia	3	2	F		5	1597	1500	+2	−1	37	58
1950	06	14	Southern Rhodesia	Australia	0	5	F		-13	1487	1746	−1	+1	60	16
1950	06	17	Southern Rhodesia	Australia	1	4	F		-10	1477	1756	−2	+1	62	15
1951	11	30	Southern Rhodesia	Northern Rhodesia	2	1	F		11	1488	1593	+2	−2	62	41
1952	00	00	Northern Rhodesia	Southern Rhodesia	1	4	F		-27	1566	1515	−3	+7	44	55
1952	11	30	Northern Rhodesia	Southern Rhodesia	3	2	F		6	1572	1509	0	−1	44	56
1953	07	12	Northern Rhodesia	Southern Rhodesia	2	1	LVY		8	1580	1501	+1	−3	43	58
1953	08	01	Northern Rhodesia	Southern Rhodesia	0	1	RCT		-22	1558	1523	−4	+4	47	54
1954	05	05	Southern Rhodesia	Israel	2	1	F		5	1528	1429	+2	−2	57	81
1954	05	09	Southern Rhodesia	Israel	1	2	F		-15	1513	1444	−4	+5	60	76
1954	05	22	Southern Rhodesia	Northern Rhodesia	2	4	CRR		-26	1487	1578	−5	+6	65	48
1954	05	23	Southern Rhodesia	Northern Rhodesia	1	0	LVY		15	1502	1563	+4	−3	61	51
1955	05	07	Northern Rhodesia	Southern Rhodesia	3	4	CRR		-21	1542	1523	−6	+4	55	59
1955	05	08	Northern Rhodesia	Southern Rhodesia	0	2	LVY		-30	1512	1553	−7	+6	62	53
1958	00	00	Southern Rhodesia	Northern Rhodesia	4	2	LVY		16	1569	1532	−1	+4	58	54
1958	00	00	Southern Rhodesia	Northern Rhodesia	0	2	LVY		-31	1538	1563	−1	+4	58	54
1959	00	00	Southern Rhodesia	Uganda	2	7	TFT		-41	1497	1545	−12	+7	70	58
1961	09	01	Southern Rhodesia	Northern Rhodesia	5	0	LVY		25	1522	1514	+6	−8	63	65
1961	09	02	Southern Rhodesia	Northern Rhodesia	2	4	LVY		-29	1493	1543	−7	+8	70	57
1962	09	01	Northern Rhodesia	Southern Rhodesia	1	1	LVY		-6	1537	1499	−4	0	61	70
1962	09	03	Northern Rhodesia	Southern Rhodesia	4	1	LVY		16	1553	1483	+7	−5	54	75
1963	10	06	Mauritius	Southern Rhodesia	1	0	F		6	1543	1477	+1	−1	60	74
1963	10	10	Mauritius	Southern Rhodesia	2	0	F		8	1551	1469	+2	−2	58	76
1963	10	13	Mauritius	Southern Rhodesia	3	1	F		8	1559	1461	+2	−2	55	78
1964	06	21	Nyasaland	Southern Rhodesia	2	2	F		5	1174	1456	0	−1	136	80
1967	03	25	Malawi	Rhodesia	3	6	F		-6	1093	1462	−1	+1	151	78
1967	11	11	Rhodesia	Malawi	1	1	F		-9	1453	1102	−3	+2	80	149
1967	11	12	Rhodesia	Malawi	1	0	F		1	1454	1101	+1	0	79	149
1967	11	25	Rhodesia	Mauritius	1	2	F		-11	1443	1524	−3	+3	81	63
1967	11	26	Rhodesia	Mauritius	2	3	F		-11	1432	1535	−5	0	86	63
1969	01	31	Malawi	Rhodesia	0	0	F		5	1127	1427	0	0	148	86
1969	02	01	Malawi	Rhodesia	2	2	F		5	1132	1422	+1	−1	147	87
1969	02	02	Malawi	Rhodesia	0	1	F		-5	1127	1427	−1	+1	148	86
