year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2014	03	05	Austria	Uruguay	1	1	F		4	1666	1914	0	0	47	10
2014	05	30	Austria	Iceland	1	1	F		-6	1660	1533	0	+2	46	75
2014	06	03	Czechia	Austria	1	2	F		-15	1740	1675	−2	+3	29	44
2014	09	08	Austria	Sweden	1	1	EQ		1	1676	1796	0	0	42	21
2014	10	09	Moldova	Austria	1	2	EQ		-13	1428	1689	−2	+1	103	41
2014	10	12	Austria	Montenegro	1	0	EQ		10	1699	1587	+2	−1	38	62
2014	11	15	Austria	Russia	1	0	EQ		19	1718	1768	+3	−2	33	24
2014	11	18	Austria	Brazil	1	2	F		-4	1714	2041	−1	0	33	3
2015	03	27	Liechtenstein	Austria	0	5	EQ		-8	1212	1722	−3	0	158	38
2015	03	31	Austria	Bosnia and Herzegovina	1	1	F		-3	1719	1715	0	0	37	40
2015	06	14	Russia	Austria	0	1	EQ		-28	1741	1747	−5	+7	30	29
2015	09	05	Austria	Moldova	1	0	EQ		3	1750	1388	−1	−1	29	111
2015	09	08	Sweden	Austria	1	4	EQ		-48	1739	1798	−11	+12	31	18
2015	10	09	Montenegro	Austria	2	3	EQ		-15	1596	1813	−4	0	62	17
2015	10	12	Austria	Liechtenstein	3	0	EQ		1	1814	1202	+1	0	16	160
2015	11	17	Austria	Switzerland	1	2	F		-13	1801	1808	−3	+1	20	18
2016	03	26	Austria	Albania	2	1	F		3	1804	1605	0	0	19	57
2016	03	29	Austria	Turkey	1	2	F		-13	1791	1823	−1	+2	20	16
2016	05	31	Austria	Malta	2	1	F		0	1791	1231	0	−1	20	154
2016	06	04	Austria	Netherlands	0	2	F		-14	1777	1924	−3	+1	22	11
