year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2014	03	05	Switzerland	Croatia	2	2	F		-4	1846	1809	−1	+1	15	21
2014	05	31	Croatia	Mali	2	1	F		2	1811	1542	0	0	22	71
2014	06	06	Croatia	Australia	1	0	F	BR	7	1818	1708	+1	−2	20	34
2014	06	12	Brazil	Croatia	3	1	WC		7	2145	1811	0	−1	1	21
2014	06	18	Croatia	Cameroon	4	0	WC	BR	25	1836	1568	+1	−7	18	67
2014	06	23	Mexico	Croatia	3	1	WC	BR	43	1896	1793	+5	−5	10	22
2014	09	04	Croatia	Cyprus	2	0	F		2	1795	1383	0	0	23	113
2014	09	09	Croatia	Malta	2	0	EQ		1	1796	1233	+1	+1	21	148
2014	10	10	Bulgaria	Croatia	0	1	EQ		-18	1639	1814	−4	+1	50	19
2014	10	13	Croatia	Azerbaijan	6	0	EQ		5	1819	1421	0	−2	19	105
2014	11	12	Argentina	Croatia	2	1	F	EN	4	2063	1815	0	0	2	19
2014	11	16	Italy	Croatia	1	1	EQ		-9	1883	1824	−1	0	14	19
2015	03	28	Croatia	Norway	5	1	EQ		11	1835	1614	0	−2	17	58
2015	06	07	Croatia	Gibraltar	4	0	F		0	1835	1131	0	−1	18	172
2015	06	12	Croatia	Italy	1	1	EQ		-3	1832	1877	0	+1	17	13
2015	09	03	Azerbaijan	Croatia	0	0	EQ		14	1439	1818	+5	0	101	15
2015	09	06	Norway	Croatia	2	0	EQ		38	1666	1780	+4	−6	48	21
2015	10	10	Croatia	Bulgaria	3	0	EQ		11	1791	1572	+1	−3	21	67
2015	10	13	Malta	Croatia	0	1	EQ		-3	1236	1794	0	+1	148	20
2015	11	17	Russia	Croatia	1	3	F		-19	1773	1813	−2	+4	24	17
2016	03	23	Croatia	Israel	2	0	F		4	1817	1574	+1	−2	16	66
2016	03	26	Hungary	Croatia	1	1	F		0	1700	1817	0	0	41	16
2016	05	27	Croatia	Moldova	1	0	F		1	1818	1351	0	−1	18	117
2016	06	04	Croatia	San Marino	10	0	F		0	1818	883	0	0	18	203
