year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2014	01	21	Sweden	Iceland	2	0	F	AE	5	1833	1536	0	−1	19	74
2014	03	05	Wales	Iceland	3	1	F		9	1593	1527	+2	0	60	75
2014	05	30	Austria	Iceland	1	1	F		-6	1660	1533	0	+2	46	75
2014	06	04	Iceland	Estonia	1	0	F		5	1538	1452	+1	−2	73	100
2014	09	09	Iceland	Turkey	3	0	EQ		47	1585	1717	+11	−5	63	31
2014	10	10	Latvia	Iceland	0	3	EQ		-34	1439	1619	−7	+7	100	56
2014	10	13	Iceland	Netherlands	2	0	EQ		54	1673	2043	+12	−1	44	3
2014	11	12	Belgium	Iceland	3	1	F		4	1914	1669	0	0	9	43
2014	11	16	Czechia	Iceland	2	1	EQ		9	1804	1660	0	−3	20	47
2015	01	16	Iceland	Canada	2	1	F	US	6	1666	1502	+1	−4	49	84
2015	01	19	Canada	Iceland	1	1	F	US	4	1506	1662	+2	0	82	48
2015	03	28	Kazakhstan	Iceland	0	3	EQ		-16	1339	1678	−4	+5	125	43
2015	03	31	Estonia	Iceland	1	1	F		3	1457	1675	+1	−2	97	45
2015	06	12	Iceland	Czechia	2	1	EQ		20	1695	1759	+2	−4	42	27
2015	09	03	Netherlands	Iceland	0	1	EQ		-37	1972	1732	−2	+11	6	33
2015	09	06	Iceland	Kazakhstan	0	0	EQ		-18	1714	1357	−8	+6	39	119
2015	10	10	Iceland	Latvia	2	2	EQ		-15	1699	1486	−1	+4	40	90
2015	10	13	Turkey	Iceland	1	0	EQ		10	1805	1689	+2	−1	18	41
2015	11	13	Poland	Iceland	4	2	F		8	1761	1681	+2	−2	26	43
2015	11	17	Slovakia	Iceland	3	1	F		9	1743	1672	0	0	32	43
2016	01	13	Iceland	Finland	1	0	F	AE	8	1680	1584	0	−1	43	61
2016	01	16	United Arab Emirates	Iceland	2	1	F		9	1636	1671	+1	0	49	43
2016	01	31	United States	Iceland	3	2	F		5	1763	1666	0	−1	30	44
2016	03	24	Denmark	Iceland	2	1	F		6	1732	1660	+1	−1	35	45
2016	03	29	Greece	Iceland	2	3	F		-12	1604	1672	−7	+2	60	43
2016	06	01	Norway	Iceland	3	2	F		8	1637	1664	+2	0	48	43
2016	06	06	Iceland	Liechtenstein	4	0	F		1	1665	1192	0	+1	44	164
