year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2014	03	05	Ireland	Serbia	1	2	F		-12	1700	1764	−4	+2	38	25
2014	05	25	Ireland	Turkey	1	2	F		-12	1688	1743	−4	0	42	29
2014	05	31	Ireland	Italy	0	0	F	EN	6	1694	1897	0	−1	40	12
2014	06	06	Costa Rica	Ireland	1	1	F	US	0	1711	1694	+1	0	32	40
2014	06	10	Portugal	Ireland	5	1	F	US	7	1942	1687	0	0	6	41
2014	09	03	Ireland	Oman	2	0	F		7	1694	1586	+1	−2	38	62
2014	09	07	Georgia	Ireland	1	2	EQ		-15	1490	1709	−3	+2	86	33
2014	10	11	Ireland	Gibraltar	7	0	EQ		2	1711	1140	0	0	33	171
2014	10	14	Germany	Ireland	1	1	EQ		-18	2125	1729	0	+6	1	28
2014	11	14	Scotland	Ireland	1	0	EQ		15	1734	1714	+5	−5	27	33
2014	11	18	Ireland	United States	4	1	F		18	1732	1812	+6	−1	27	19
2015	03	29	Ireland	Poland	1	1	EQ		-6	1726	1733	−3	+3	35	32
2015	06	04	Ireland	Northern Ireland	0	0	F		-7	1719	1529	−3	+1	36	75
2015	06	07	Ireland	England	0	0	F		3	1722	1924	0	−1	35	10
2015	06	13	Ireland	Scotland	1	1	EQ		-5	1717	1734	−2	+2	38	32
2015	09	04	Ireland	Gibraltar	4	0	EQ	PT	2	1719	1129	+2	+1	36	174
2015	09	07	Ireland	Georgia	1	0	EQ		5	1724	1482	+1	−2	35	91
2015	10	08	Ireland	Germany	1	0	EQ		34	1758	2084	+10	0	25	1
2015	10	11	Poland	Ireland	2	1	EQ		15	1753	1743	+6	−5	27	30
2015	11	13	Bosnia and Herzegovina	Ireland	1	1	EQ		-6	1743	1749	−3	+3	33	30
2015	11	16	Ireland	Bosnia and Herzegovina	2	0	EQ		21	1770	1722	+5	−4	26	36
2016	03	25	Ireland	Switzerland	1	0	F		8	1778	1800	+4	−1	22	20
2016	03	29	Ireland	Slovakia	2	2	F		-4	1774	1739	−1	−1	24	33
2016	05	27	Ireland	Netherlands	1	1	F		1	1775	1900	0	0	24	13
2016	05	31	Ireland	Belarus	1	2	F		-17	1758	1584	−4	+6	28	62
