year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2014	03	05	Cyprus	Northern Ireland	0	0	F		-2	1386	1413	−1	−1	112	110
2014	05	30	Uruguay	Northern Ireland	1	0	F		1	1915	1412	0	0	10	110
2014	06	04	Chile	Northern Ireland	2	0	F		1	1919	1411	0	0	8	110
2014	09	07	Hungary	Northern Ireland	1	2	EQ		-36	1638	1447	−8	+7	50	102
2014	10	11	Northern Ireland	Faroe Islands	2	0	EQ		7	1454	1190	−1	−1	99	159
2014	10	14	Greece	Northern Ireland	0	2	EQ		-55	1728	1509	−6	+16	29	83
2014	11	14	Romania	Northern Ireland	2	0	EQ		7	1776	1502	0	0	24	85
2015	03	25	Scotland	Northern Ireland	1	0	F		3	1725	1499	+2	+1	35	83
2015	03	29	Northern Ireland	Finland	2	1	EQ		22	1521	1609	+5	−4	76	58
2015	05	31	Northern Ireland	Qatar	1	1	F	EN	1	1522	1547	0	0	76	68
2015	06	04	Ireland	Northern Ireland	0	0	F		-7	1719	1529	−3	+1	36	75
2015	06	13	Northern Ireland	Romania	0	0	EQ		9	1538	1778	+3	−1	70	23
2015	09	04	Faroe Islands	Northern Ireland	1	3	EQ		-16	1243	1554	−4	+5	144	68
2015	09	07	Northern Ireland	Hungary	1	1	EQ		1	1555	1679	0	0	67	45
2015	10	08	Northern Ireland	Greece	3	1	EQ		28	1583	1601	+5	−7	63	61
2015	10	11	Finland	Northern Ireland	1	1	EQ		-7	1602	1590	−3	0	60	63
2015	11	13	Northern Ireland	Latvia	1	0	F		4	1594	1450	+1	0	61	98
2016	03	24	Wales	Northern Ireland	1	1	F		-5	1666	1599	0	0	43	59
2016	03	28	Northern Ireland	Slovenia	1	0	F		8	1607	1614	+3	−2	57	55
2016	05	27	Northern Ireland	Belarus	3	0	F		11	1618	1567	+5	−5	53	68
2016	06	04	Slovakia	Northern Ireland	0	0	F		-6	1765	1624	−2	+1	27	52
