year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2014	03	05	Spain	Italy	1	0	F		3	2105	1903	0	0	2	11
2014	05	30	Spain	Bolivia	2	0	F		1	2106	1625	0	0	2	53
2014	06	07	Spain	El Salvador	2	0	F	US	1	2107	1517	0	0	2	78
2014	06	13	Netherlands	Spain	5	1	WC	BR	75	2060	2032	+2	−2	3	4
2014	06	18	Chile	Spain	2	0	WC	BR	57	1997	1975	+2	−2	5	6
2014	06	23	Spain	Australia	3	0	WC	BR	16	1991	1665	+2	−5	5	46
2014	09	04	France	Spain	1	0	F		8	1963	1983	0	0	8	5
2014	09	08	Spain	Macedonia	5	1	EQ		3	1986	1500	0	0	6	84
2014	10	09	Slovakia	Spain	2	1	EQ		31	1699	1955	+6	−2	37	8
2014	10	12	Luxembourg	Spain	0	4	EQ		-2	1229	1957	−2	0	150	8
2014	11	15	Spain	Belarus	3	0	EQ		3	1960	1531	0	0	8	79
2014	11	18	Spain	Germany	0	1	F		-8	1952	2133	0	0	8	1
2015	03	27	Spain	Ukraine	1	0	EQ		8	1960	1815	0	0	6	18
2015	03	31	Netherlands	Spain	2	0	F		9	2021	1951	0	−1	5	7
2015	06	11	Spain	Costa Rica	2	1	F		5	1956	1838	0	0	6	16
2015	06	14	Belarus	Spain	0	1	EQ		-6	1557	1962	−1	0	65	6
2015	09	05	Spain	Slovakia	2	0	EQ		9	1971	1755	0	−3	7	28
2015	09	08	Macedonia	Spain	0	1	EQ		-3	1429	1974	−1	0	105	6
2015	10	09	Spain	Luxembourg	4	0	EQ		1	1975	1244	0	−1	6	148
2015	10	12	Ukraine	Spain	0	1	EQ		-17	1812	1992	−1	0	17	6
2015	11	13	Spain	England	2	0	F		9	2001	1946	+1	−1	4	8
2016	03	24	Italy	Spain	1	1	F		1	1871	2000	0	0	15	4
2016	03	27	Romania	Spain	0	0	F		4	1769	1996	0	0	27	4
2016	05	29	Spain	Bosnia and Herzegovina	3	1	F	CH	6	2002	1742	0	−2	4	34
2016	06	01	Spain	South Korea	6	1	F	AT	9	2011	1785	0	−2	4	21
2016	06	07	Spain	Georgia	0	1	F		-20	1991	1485	−2	+5	5	88
