year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2014	01	17	Sweden	Moldova	2	1	F	AE	2	1828	1437	0	−1	19	104
2014	01	21	Sweden	Iceland	2	0	F	AE	5	1833	1536	0	−1	19	74
2014	03	05	Turkey	Sweden	2	1	F		11	1723	1822	+2	0	32	19
2014	05	28	Denmark	Sweden	1	0	F		9	1753	1813	0	−2	28	21
2014	06	01	Sweden	Belgium	0	2	F		-18	1795	1849	−1	+5	22	14
2014	09	04	Sweden	Estonia	2	0	F		2	1797	1453	0	0	22	99
2014	09	08	Austria	Sweden	1	1	EQ		1	1676	1796	0	0	42	21
2014	10	09	Sweden	Russia	1	1	EQ		-5	1791	1805	0	+1	21	19
2014	10	12	Sweden	Liechtenstein	2	0	EQ		1	1792	1184	+1	0	20	162
2014	11	15	Montenegro	Sweden	1	1	EQ		6	1593	1786	0	−1	62	22
2014	11	18	France	Sweden	1	0	F		3	1964	1783	+1	−1	6	23
2015	01	15	Sweden	Ivory Coast	2	0	F	AE	11	1794	1677	+2	−6	21	43
2015	01	19	Finland	Sweden	1	0	F	AE	15	1640	1779	+4	−2	54	23
2015	03	27	Moldova	Sweden	0	2	EQ		-10	1398	1789	−2	+1	111	22
2015	03	31	Sweden	Iran	3	1	F		9	1798	1739	+1	0	20	28
2015	06	08	Norway	Sweden	0	0	F		2	1616	1796	+1	0	57	20
2015	06	14	Sweden	Montenegro	3	1	EQ		9	1805	1585	0	0	20	62
2015	09	05	Russia	Sweden	1	0	EQ		18	1759	1787	+3	−3	26	21
2015	09	08	Sweden	Austria	1	4	EQ		-48	1739	1798	−11	+12	31	18
2015	10	09	Liechtenstein	Sweden	0	2	EQ		-5	1203	1744	−1	+3	160	30
2015	10	12	Sweden	Moldova	2	0	EQ		3	1747	1357	0	0	28	117
2015	11	14	Sweden	Denmark	2	1	EQ		14	1761	1730	+5	−2	26	34
2015	11	17	Denmark	Sweden	2	2	EQ		-4	1726	1765	−3	0	36	27
2016	01	06	Estonia	Sweden	1	1	F	AE	7	1499	1758	0	−2	87	29
2016	01	10	Sweden	Finland	3	0	F	AE	10	1768	1592	+2	−2	27	60
2016	03	24	Turkey	Sweden	2	1	F		6	1810	1762	+1	−2	18	29
2016	03	29	Sweden	Czechia	1	1	F		-3	1759	1754	−1	−1	29	30
2016	05	30	Sweden	Slovenia	0	0	F		-6	1753	1620	−2	+1	31	54
2016	06	05	Sweden	Wales	3	0	F		9	1762	1653	+4	−1	27	47
