year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2014	03	05	Wales	Iceland	3	1	F		9	1593	1527	+2	0	60	75
2014	06	04	Netherlands	Wales	2	0	F		2	1985	1591	0	−1	5	62
2014	09	09	Andorra	Wales	1	2	EQ		-2	983	1593	0	0	190	61
2014	10	10	Wales	Bosnia and Herzegovina	0	0	EQ		3	1596	1740	−1	0	62	28
2014	10	13	Wales	Cyprus	2	1	EQ		6	1602	1401	0	−1	61	112
2014	11	16	Belgium	Wales	0	0	EQ		-17	1897	1619	−2	+4	11	57
2015	03	28	Israel	Wales	0	3	EQ		-50	1633	1669	−10	+11	53	46
2015	06	12	Wales	Belgium	1	0	EQ		28	1697	1897	+5	−2	41	11
2015	09	03	Cyprus	Wales	0	1	EQ		-10	1400	1707	0	+2	109	39
2015	09	06	Wales	Israel	0	0	EQ		-10	1697	1618	−2	+1	41	57
2015	10	10	Bosnia and Herzegovina	Wales	2	0	EQ		20	1740	1677	+4	−2	32	43
2015	10	13	Wales	Andorra	2	0	EQ		1	1678	959	0	0	42	192
2015	11	13	Wales	Netherlands	2	3	F		-7	1671	1897	−2	+1	45	13
2016	03	24	Wales	Northern Ireland	1	1	F		-5	1666	1599	0	0	43	59
2016	03	28	Ukraine	Wales	1	0	F		4	1821	1662	0	0	16	44
2016	06	05	Sweden	Wales	3	0	F		9	1762	1653	+4	−1	27	47
