year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2019	03	21	Belgium	Russia	3	1	EQ		6	2040	1746	0	−2	3	35
2019	03	24	Cyprus	Belgium	0	2	EQ		-3	1412	2043	0	0	102	3
2019	06	08	Belgium	Kazakhstan	3	0	EQ		1	2044	1382	0	+1	3	108
2019	06	11	Belgium	Scotland	3	0	EQ		4	2048	1664	0	−3	3	51
2019	09	06	San Marino	Belgium	0	4	EQ		0	830	2048	0	0	206	3
2019	09	09	Scotland	Belgium	0	4	EQ		-11	1633	2059	0	+1	51	2
2019	10	10	Belgium	San Marino	9	0	EQ		0	2059	825	0	0	2	206
2019	10	13	Kazakhstan	Belgium	0	2	EQ		-2	1362	2061	0	0	116	2
2019	11	16	Russia	Belgium	1	4	EQ		-21	1793	2082	−3	+1	23	1
2019	11	19	Belgium	Cyprus	6	1	EQ		1	2083	1398	0	−2	1	107
2020	09	05	Denmark	Belgium	0	2	ENA		-22	1869	2105	−2	0	17	1
2020	09	08	Belgium	Iceland	5	1	ENA		3	2108	1670	0	0	1	44
2020	10	08	Belgium	Ivory Coast	1	1	F		-9	2099	1624	0	+2	1	55
2020	10	11	England	Belgium	2	1	ENA		22	1994	2077	+4	−1	7	2
2020	10	14	Iceland	Belgium	1	2	ENA		-6	1654	2083	+1	−1	47	3
2020	11	11	Belgium	Switzerland	2	1	F		3	2086	1867	+1	0	2	16
2020	11	15	Belgium	England	2	0	ENA		13	2099	1955	0	−1	2	11
2020	11	18	Belgium	Denmark	4	2	ENA		11	2110	1927	0	−1	2	13
2021	03	24	Belgium	Wales	3	1	WQ		6	2116	1822	0	−1	2	19
2021	03	27	Czechia	Belgium	1	1	WQ		12	1780	2104	+1	0	28	2
2021	03	30	Belgium	Belarus	8	0	WQ		2	2106	1507	0	0	2	76
2021	06	03	Belgium	Greece	1	1	F		-9	2097	1647	0	+2	2	45
2021	06	06	Belgium	Croatia	1	0	F		2	2099	1825	0	0	2	19
