year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2019	03	22	England	Czechia	5	0	EQ		10	1969	1718	+1	0	6	37
2019	03	25	Montenegro	England	1	5	EQ		-13	1583	1982	−2	0	63	5
2019	06	06	Netherlands	England	3	1	ENL	PT	40	2000	1942	+1	−4	5	9
2019	06	09	England	Switzerland	0	0	ENL	PT	-3	1939	1900	0	0	9	14
2019	09	07	England	Bulgaria	4	0	EQ		5	1944	1574	0	−1	9	64
2019	09	10	England	Kosovo	5	3	EQ		4	1948	1564	0	+1	10	66
2019	10	11	Czechia	England	2	1	EQ		26	1769	1922	+6	−3	27	12
2019	10	14	Bulgaria	England	0	6	EQ		-16	1556	1938	−3	0	66	12
2019	11	14	England	Montenegro	7	0	EQ		4	1942	1513	0	−3	12	78
2019	11	17	Kosovo	England	0	4	EQ		-13	1564	1955	−3	0	66	12
2020	09	05	Iceland	England	0	1	ENA		-11	1673	1966	0	+2	45	9
2020	09	08	Denmark	England	0	0	ENA		0	1869	1966	0	0	16	10
2020	10	08	England	Wales	3	0	F		6	1972	1799	0	0	10	24
2020	10	11	England	Belgium	2	1	ENA		22	1994	2077	+4	−1	7	2
2020	10	14	England	Denmark	0	1	ENA		-30	1964	1927	−5	+2	11	13
2020	11	12	England	Ireland	3	0	F		4	1968	1680	+2	0	9	43
2020	11	15	Belgium	England	2	0	ENA		13	2099	1955	0	−1	2	11
2020	11	18	England	Iceland	4	0	ENA		6	1961	1632	0	−1	9	49
2021	03	25	England	San Marino	5	0	WQ		0	1961	830	0	0	8	209
2021	03	28	Albania	England	0	2	WQ		-9	1550	1970	−5	−1	73	9
2021	03	31	England	Poland	2	1	WQ		7	1977	1807	+1	0	8	22
2021	06	02	England	Austria	1	0	F		3	1980	1751	0	0	8	33
2021	06	06	England	Romania	1	0	F		1	1981	1629	0	0	7	50
