year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2019	01	08	Finland	Sweden	1	0	F	QA	16	1636	1834	+3	0	49	18
2019	01	11	Estonia	Finland	2	1	F	QA	15	1482	1621	+2	−3	87	52
2019	03	23	Italy	Finland	2	0	EQ		6	1894	1615	+1	−2	14	54
2019	03	26	Armenia	Finland	0	2	EQ		-24	1421	1639	−6	+7	100	49
2019	06	08	Finland	Bosnia and Herzegovina	2	0	EQ		34	1673	1751	+4	−8	46	33
2019	06	11	Liechtenstein	Finland	0	2	EQ		-4	1119	1677	−1	−1	175	47
2019	09	05	Finland	Greece	1	0	EQ		9	1686	1565	+4	−5	44	69
2019	09	08	Finland	Italy	1	2	EQ		-12	1674	1940	−4	+1	48	10
2019	10	12	Bosnia and Herzegovina	Finland	4	1	EQ		23	1723	1651	+1	−3	39	49
2019	10	15	Finland	Armenia	3	0	EQ		13	1664	1473	+3	−4	46	89
2019	11	15	Finland	Liechtenstein	3	0	EQ		2	1666	1146	+1	0	47	174
2019	11	18	Greece	Finland	2	1	EQ		19	1607	1647	+6	−2	56	49
2020	09	03	Finland	Wales	0	1	ENB		-18	1629	1800	−4	+2	53	23
2020	09	06	Ireland	Finland	0	1	ENB		-30	1695	1659	−6	+5	42	47
2020	10	07	Poland	Finland	5	1	F		7	1812	1652	+1	−1	22	48
2020	10	11	Finland	Bulgaria	2	0	ENB		13	1665	1513	0	−1	48	77
2020	10	14	Finland	Ireland	1	0	ENB		16	1681	1684	+4	−3	43	42
2020	11	11	France	Finland	0	2	F		-28	2059	1709	−1	+4	3	39
2020	11	15	Bulgaria	Finland	1	2	ENB		-14	1491	1723	−4	+2	82	38
2020	11	18	Wales	Finland	3	1	ENB		15	1828	1708	+3	−2	18	40
2021	03	24	Finland	Bosnia and Herzegovina	2	2	WQ		-9	1699	1643	0	0	40	48
2021	03	28	Ukraine	Finland	1	1	WQ		-12	1837	1711	−1	0	17	40
2021	03	31	Switzerland	Finland	3	2	F		3	1885	1708	0	0	15	40
2021	05	29	Sweden	Finland	2	0	F		6	1845	1702	+1	0	16	40
2021	06	04	Finland	Estonia	0	1	F		-18	1684	1397	0	+6	40	103
