year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2019	03	21	Belgium	Russia	3	1	EQ		6	2040	1746	0	−2	3	35
2019	03	24	Kazakhstan	Russia	0	4	EQ		-15	1383	1761	−2	+2	108	32
2019	06	08	Russia	San Marino	9	0	EQ		0	1761	832	0	0	30	204
2019	06	11	Russia	Cyprus	1	0	EQ		3	1764	1404	+2	−2	28	104
2019	09	06	Scotland	Russia	1	2	EQ		-20	1644	1784	−1	+2	51	24
2019	09	09	Russia	Kazakhstan	1	0	EQ		2	1786	1389	0	−1	23	106
2019	10	10	Russia	Scotland	4	0	EQ		14	1800	1619	+2	−1	21	53
2019	10	13	Cyprus	Russia	0	5	EQ		-14	1413	1814	−4	+2	102	20
2019	11	16	Russia	Belgium	1	4	EQ		-21	1793	2082	−3	+1	23	1
2019	11	19	San Marino	Russia	0	5	EQ		-1	820	1794	0	+1	209	22
2020	09	03	Russia	Serbia	3	1	ENB		22	1816	1772	+1	−3	21	25
2020	09	06	Hungary	Russia	2	3	ENB		-16	1635	1832	−2	+1	50	20
2020	10	08	Russia	Sweden	1	2	F		-13	1819	1836	−2	+2	21	19
2020	10	11	Russia	Turkey	1	1	ENB		-9	1810	1768	−2	+1	22	26
2020	10	14	Russia	Hungary	0	0	ENB		-11	1799	1709	−2	+1	23	39
2020	11	12	Moldova	Russia	0	0	F		9	1241	1790	0	0	147	23
2020	11	15	Turkey	Russia	3	2	ENB		16	1779	1774	+3	−5	26	28
2020	11	18	Serbia	Russia	5	0	ENB		30	1789	1744	+6	−8	25	35
2021	03	24	Malta	Russia	1	3	WQ		-5	1209	1749	−1	+2	156	34
2021	03	27	Russia	Slovenia	2	1	WQ		10	1759	1645	+4	0	31	45
2021	03	30	Slovakia	Russia	2	1	WQ		21	1655	1738	+6	−5	45	37
2021	06	01	Poland	Russia	1	1	F		-5	1802	1743	0	+1	22	36
2021	06	05	Russia	Bulgaria	1	0	F		2	1745	1500	0	−1	36	79
