year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2019	03	23	Georgia	Switzerland	0	2	EQ		-10	1536	1931	−2	+3	71	9
2019	03	26	Switzerland	Denmark	3	3	EQ		-8	1923	1898	−1	+2	11	13
2019	06	05	Portugal	Switzerland	3	1	ENL		26	1959	1897	+2	−2	7	13
2019	06	09	England	Switzerland	0	0	ENL	PT	-3	1939	1900	0	0	9	14
2019	09	05	Ireland	Switzerland	1	1	EQ		4	1732	1896	+1	0	37	13
2019	09	08	Switzerland	Gibraltar	4	0	EQ		0	1896	1091	0	0	14	180
2019	10	12	Denmark	Switzerland	1	0	EQ		15	1894	1881	+2	−2	14	16
2019	10	15	Switzerland	Ireland	2	0	EQ		12	1893	1721	+1	−3	15	38
2019	11	15	Switzerland	Georgia	1	0	EQ		3	1896	1552	0	0	15	67
2019	11	18	Gibraltar	Switzerland	1	6	EQ		-1	1085	1897	0	0	182	15
2020	09	03	Ukraine	Switzerland	2	1	ENA		17	1872	1880	+2	−1	17	16
2020	09	06	Switzerland	Germany	1	1	ENA		-1	1879	1963	0	0	15	11
2020	10	07	Switzerland	Croatia	1	2	F		-13	1866	1903	−1	0	16	14
2020	10	10	Spain	Switzerland	1	0	ENA		7	2053	1859	0	−1	4	17
2020	10	13	Germany	Switzerland	3	3	ENA		-11	1965	1870	−2	+1	11	16
2020	11	11	Belgium	Switzerland	2	1	F		3	2086	1867	+1	0	2	16
2020	11	14	Switzerland	Spain	1	1	ENA		3	1870	2024	0	+1	16	4
2021	03	25	Bulgaria	Switzerland	1	3	WQ		-11	1493	1881	−4	0	82	15
2021	03	28	Switzerland	Lithuania	1	0	WQ		1	1882	1362	0	+1	15	114
2021	03	31	Switzerland	Finland	3	2	F		3	1885	1708	0	0	15	40
2021	05	30	Switzerland	United States	2	1	F		4	1889	1761	0	0	15	30
2021	06	03	Switzerland	Liechtenstein	7	0	F		0	1889	1099	0	0	15	180
