year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2019	03	22	Albania	Turkey	0	2	EQ		-24	1490	1714	−6	+4	85	39
2019	03	25	Turkey	Moldova	4	0	EQ		4	1718	1308	+2	−1	36	133
2019	05	30	Turkey	Greece	2	1	F		5	1723	1626	0	−2	36	54
2019	06	02	Turkey	Uzbekistan	2	0	F		7	1730	1612	0	−1	36	56
2019	06	08	Turkey	France	2	0	EQ		49	1779	2049	+11	0	25	2
2019	06	11	Iceland	Turkey	2	1	EQ		20	1693	1759	+2	−5	44	31
2019	09	07	Turkey	Andorra	1	0	EQ		0	1759	1065	0	0	27	183
2019	09	10	Moldova	Turkey	0	4	EQ		-8	1291	1767	−3	0	140	26
2019	10	11	Turkey	Albania	1	0	EQ		5	1772	1534	0	0	26	73
2019	10	14	France	Turkey	1	1	EQ		-16	2041	1788	0	+2	3	25
2019	11	14	Turkey	Iceland	0	0	EQ		-12	1776	1666	0	+2	24	47
2019	11	17	Andorra	Turkey	0	2	EQ		-2	1107	1778	0	+1	179	25
2020	09	03	Turkey	Hungary	0	1	ENB		-33	1745	1651	−2	+7	28	48
2020	09	06	Serbia	Turkey	0	0	ENB		-7	1765	1752	−2	0	28	30
2020	10	07	Germany	Turkey	3	3	F		-7	1956	1759	0	0	12	28
2020	10	11	Russia	Turkey	1	1	ENB		-9	1810	1768	−2	+1	22	26
2020	10	14	Turkey	Serbia	2	2	ENB		-6	1762	1764	−2	+3	29	28
2020	11	11	Turkey	Croatia	3	3	F		1	1763	1896	0	0	29	15
2020	11	15	Turkey	Russia	3	2	ENB		16	1779	1774	+3	−5	26	28
2020	11	18	Hungary	Turkey	2	0	ENB		27	1744	1752	+4	−7	35	33
2021	03	24	Turkey	Netherlands	4	2	WQ		42	1794	1952	+9	−3	24	10
2021	03	27	Norway	Turkey	0	3	WQ	ES	-32	1734	1826	−8	+5	38	19
2021	03	30	Turkey	Latvia	3	3	WQ		-19	1807	1268	−2	+5	23	141
2021	05	27	Turkey	Azerbaijan	2	1	F		1	1808	1371	0	0	22	110
2021	05	31	Turkey	Guinea	0	0	F		-9	1799	1442	−2	+1	24	95
2021	06	03	Turkey	Moldova	2	0	F	DE	1	1800	1207	+1	−1	23	158
