year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2019	03	22	Portugal	Ukraine	0	0	EQ		-14	1944	1786	0	+2	8	23
2019	03	25	Luxembourg	Ukraine	1	2	EQ		-5	1356	1791	−1	+1	115	22
2019	06	07	Ukraine	Serbia	5	0	EQ		33	1824	1798	+3	−2	19	21
2019	06	10	Ukraine	Luxembourg	1	0	EQ		1	1825	1356	0	0	19	117
2019	09	07	Lithuania	Ukraine	0	3	EQ		-6	1317	1831	−2	+1	130	18
2019	09	10	Ukraine	Nigeria	2	2	F		-6	1825	1687	0	0	18	45
2019	10	11	Ukraine	Lithuania	2	0	EQ		2	1827	1313	0	0	18	129
2019	10	14	Ukraine	Portugal	2	1	EQ		24	1851	1982	0	−1	18	7
2019	11	14	Ukraine	Estonia	1	0	F		1	1852	1435	0	0	18	97
2019	11	17	Serbia	Ukraine	2	2	EQ		-3	1794	1855	0	0	22	19
2020	09	03	Ukraine	Switzerland	2	1	ENA		17	1872	1880	+2	−1	17	16
2020	09	06	Spain	Ukraine	4	0	ENA		14	2044	1858	0	−2	4	18
2020	10	07	France	Ukraine	7	1	F		6	2078	1852	0	0	3	18
2020	10	10	Ukraine	Germany	1	2	ENA		-20	1832	1976	−1	+3	19	9
2020	10	13	Ukraine	Spain	1	0	ENA		27	1859	2026	+1	−1	17	5
2020	11	11	Poland	Ukraine	2	0	F		12	1842	1847	0	0	19	17
2020	11	14	Germany	Ukraine	3	1	ENA		13	1981	1834	+3	−1	6	18
2021	03	24	France	Ukraine	1	1	WQ		-15	2076	1849	0	+1	3	16
2021	03	28	Ukraine	Finland	1	1	WQ		-12	1837	1711	−1	0	17	40
2021	03	31	Ukraine	Kazakhstan	1	1	WQ		-19	1818	1351	−2	+4	20	123
2021	05	23	Ukraine	Bahrain	1	1	F		-8	1810	1565	−1	+2	21	66
2021	06	03	Ukraine	Northern Ireland	1	0	F		2	1812	1567	0	−1	21	67
2021	06	07	Ukraine	Cyprus	4	0	F		2	1814	1364	0	0	21	116
