year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2022	03	26	Spain	Albania	2	1	F		1	2038	1585	0	−1	5	64
2022	03	29	Albania	Georgia	0	0	F		-3	1582	1566	0	+1	64	65
2022	06	06	Iceland	Albania	1	1	ENB		-4	1546	1586	0	0	71	64
2022	06	10	Albania	Israel	1	2	ENB		-24	1562	1639	−2	+4	66	54
2022	06	13	Albania	Estonia	0	0	F		-6	1556	1410	−1	+1	67	102
2022	09	24	Israel	Albania	2	1	ENB		10	1649	1546	+4	−2	50	73
2022	09	27	Albania	Iceland	1	1	ENB		-5	1541	1565	−1	+1	73	67
2022	10	26	Albania	Saudi Arabia	1	1	F	AE	3	1544	1638	+1	0	72	54
2022	11	09	Qatar	Albania	1	0	F	ES	6	1680	1538	+1	−2	48	74
2022	11	16	Albania	Italy	1	3	F		-3	1535	1995	−2	0	76	8
2022	11	19	Albania	Armenia	2	0	F		8	1543	1451	+3	−2	73	90
2023	03	27	Poland	Albania	1	0	EQ		5	1783	1538	0	−2	28	73
2023	06	17	Albania	Moldova	2	0	EQ		6	1544	1242	0	−3	72	150
2023	06	20	Faroe Islands	Albania	1	3	EQ		-18	1281	1562	−3	+3	139	68
2023	09	07	Czechia	Albania	1	1	EQ		-15	1787	1577	−1	+2	27	66
2023	09	10	Albania	Poland	2	0	EQ		37	1614	1723	+9	−6	57	37
2023	10	12	Albania	Czechia	3	0	EQ		43	1657	1748	+8	−5	49	33
2023	10	17	Albania	Bulgaria	2	0	F		4	1661	1425	+1	0	48	97
2023	11	17	Moldova	Albania	1	1	EQ		12	1341	1649	+3	0	123	48
2023	11	20	Albania	Faroe Islands	0	0	EQ		-18	1631	1264	−4	+5	54	148
2024	03	22	Chile	Albania	3	0	F	IT	14	1714	1617	+4	−4	39	59
2024	03	25	Sweden	Albania	1	0	F		5	1696	1612	0	−1	44	60
2024	06	03	Albania	Liechtenstein	3	0	F	HU	1	1613	957	+1	0	59	191
2024	06	07	Albania	Azerbaijan	3	1	F	HU	10	1623	1482	+4	−1	57	87
