year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2022	03	25	France	Ivory Coast	2	1	F		1	2115	1684	0	0	3	46
2022	03	29	France	South Africa	5	0	F		1	2116	1542	+1	−2	2	72
2022	06	03	France	Denmark	1	2	ENA		-33	2083	1969	0	+2	3	9
2022	06	06	Croatia	France	1	1	ENA		10	1808	2073	+3	0	25	3
2022	06	10	Austria	France	1	1	ENA		11	1770	2062	+1	0	31	3
2022	06	13	France	Croatia	0	1	ENA		-35	2027	1876	−1	+3	4	15
2022	09	22	France	Austria	2	0	ENA		6	2033	1754	0	0	5	33
2022	09	25	Denmark	France	2	0	ENA		29	1971	2004	+2	−3	8	7
2022	11	22	France	Australia	4	1	WC	QA	17	2021	1703	+2	−3	5	41
2022	11	26	France	Denmark	2	1	WC	QA	24	2045	1928	+1	−1	4	10
2022	11	30	Tunisia	France	1	0	WC	QA	53	1745	1992	+6	−1	37	6
2022	12	04	France	Poland	3	1	WC	QA	25	2017	1801	+1	−4	4	25
2022	12	10	France	England	2	1	WC	QA	28	2045	1966	+1	−1	4	8
2022	12	14	France	Morocco	2	0	WC	QA	30	2075	1893	+1	−3	3	14
2022	12	18	Argentina	France	3	3	WC	QA	-6	2144	2081	0	0	1	3
2023	03	24	France	Netherlands	4	0	EQ		26	2107	2047	0	0	3	4
2023	03	27	Ireland	France	0	1	EQ		-5	1672	2112	0	0	47	3
2023	06	16	France	Gibraltar	3	0	EQ	PT	0	2112	1066	0	+1	3	179
2023	06	19	France	Greece	1	0	EQ		2	2114	1694	0	0	3	44
2023	09	07	France	Ireland	2	0	EQ		2	2116	1657	0	0	2	49
2023	09	12	Germany	France	2	1	F		14	1902	2102	0	−1	13	3
2023	10	13	Netherlands	France	1	2	EQ		-18	1954	2120	−1	0	10	2
2023	10	17	France	Scotland	4	1	F		3	2123	1813	0	0	2	24
2023	11	18	France	Gibraltar	14	0	EQ		0	2123	1057	0	0	1	181
2023	11	21	Greece	France	2	2	EQ		14	1728	2109	+3	−1	38	2
2024	03	23	France	Germany	0	2	F		-26	2083	1911	0	0	2	13
2024	03	26	France	Chile	3	2	F		1	2084	1713	0	−1	2	40
2024	06	05	France	Luxembourg	3	0	F		1	2085	1512	0	0	2	77
2024	06	09	France	Canada	0	0	F		-9	2076	1720	0	+1	2	39
