year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2022	03	25	Bosnia and Herzegovina	Georgia	0	1	F		-14	1586	1563	−1	0	63	66
2022	03	29	Albania	Georgia	0	0	F		-3	1582	1566	0	+1	64	65
2022	06	02	Georgia	Gibraltar	4	0	ENC		2	1568	1047	0	0	65	184
2022	06	05	Bulgaria	Georgia	2	5	ENC		-40	1474	1608	−5	+5	84	61
2022	06	09	North Macedonia	Georgia	0	3	ENC		-50	1612	1658	−11	+13	60	48
2022	06	12	Georgia	Bulgaria	0	0	ENC		-14	1644	1473	−1	+3	50	83
2022	09	23	Georgia	North Macedonia	2	0	ENC		19	1663	1595	+2	−1	48	61
2022	09	26	Gibraltar	Georgia	1	2	ENC		-2	1051	1665	0	−1	183	49
2022	11	17	Morocco	Georgia	3	0	F	AE	13	1764	1652	+1	−1	30	51
2023	03	25	Georgia	Mongolia	6	1	F		0	1652	804	0	−1	52	210
2023	03	28	Georgia	Norway	1	1	EQ		0	1652	1745	0	0	52	36
2023	06	17	Cyprus	Georgia	1	2	EQ		-10	1346	1662	0	+3	117	48
2023	06	20	Scotland	Georgia	2	0	EQ		11	1831	1651	+1	−3	22	50
2023	09	08	Georgia	Spain	1	7	EQ		-17	1634	2007	−2	+1	52	6
2023	09	12	Norway	Georgia	2	1	EQ		10	1745	1624	+1	−3	33	54
2023	10	12	Georgia	Thailand	8	0	F		6	1630	1384	+1	−2	53	111
2023	10	15	Georgia	Cyprus	4	0	EQ		7	1637	1316	+2	−5	50	131
2023	11	16	Georgia	Scotland	2	2	EQ		4	1641	1809	−1	−1	50	25
2023	11	19	Spain	Georgia	3	1	EQ		3	2034	1638	+1	−1	3	52
2024	03	21	Georgia	Luxembourg	2	0	EQ		13	1651	1507	+3	−5	50	80
2024	03	26	Georgia	Greece	0	0	EQ		-1	1650	1739	−1	+1	50	34
2024	06	09	Montenegro	Georgia	1	3	F		-16	1554	1666	−1	+1	68	48
