year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2022	03	26	Germany	Israel	2	0	F		2	1964	1627	0	0	9	55
2022	03	29	Netherlands	Germany	1	1	F		-2	1938	1966	0	0	10	9
2022	06	04	Italy	Germany	1	1	ENA		-6	1961	1972	−1	+2	11	9
2022	06	07	Germany	England	1	1	ENA		-4	1968	2011	0	+1	10	6
2022	06	11	Hungary	Germany	1	1	ENA		6	1757	1962	0	−1	33	10
2022	06	14	Germany	Italy	5	2	ENA		26	1988	1949	+2	−1	8	10
2022	09	23	Germany	Hungary	0	1	ENA		-33	1955	1856	−1	+4	9	16
2022	09	26	England	Germany	3	3	ENA		-4	1919	1959	−1	0	13	10
2022	11	16	Oman	Germany	0	1	F		-3	1545	1962	−1	0	71	10
2022	11	23	Japan	Germany	2	1	WC	QA	44	1832	1918	+6	−4	19	13
2022	11	27	Germany	Spain	1	1	WC	QA	12	1930	2057	+2	0	11	3
2022	12	01	Germany	Costa Rica	4	2	WC	QA	25	1955	1737	+2	−7	9	37
2023	03	25	Germany	Peru	2	0	F		7	1962	1843	0	−2	9	19
2023	03	28	Germany	Belgium	2	3	F		-12	1950	1987	−1	+1	10	7
2023	06	12	Germany	Ukraine	3	3	F		-6	1944	1818	−1	0	11	22
2023	06	16	Poland	Germany	1	0	F		12	1795	1932	+1	0	25	10
2023	06	20	Germany	Colombia	0	2	F		-19	1913	1951	−2	0	13	11
2023	09	09	Germany	Japan	1	4	F		-25	1888	1880	0	+1	13	14
2023	09	12	Germany	France	2	1	F		14	1902	2102	0	−1	13	3
2023	10	14	United States	Germany	1	3	F		-16	1799	1918	−1	+1	26	12
2023	10	17	Germany	Mexico	2	2	F	US	-2	1916	1840	−1	0	13	20
2023	11	18	Germany	Turkey	2	3	F		-17	1899	1763	−1	+5	14	29
2023	11	21	Austria	Germany	2	0	F		14	1835	1885	+3	0	18	14
2024	03	23	France	Germany	0	2	F		-26	2083	1911	0	0	2	13
2024	03	26	Germany	Netherlands	2	1	F		9	1920	1968	0	0	13	10
2024	06	03	Germany	Ukraine	0	0	F		-4	1916	1867	0	0	13	15
2024	06	07	Germany	Greece	2	1	F		3	1919	1736	0	−1	13	37
