year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2022	03	24	Hungary	Serbia	0	1	F		-9	1716	1855	−1	+2	40	16
2022	03	29	Northern Ireland	Hungary	0	1	F		-10	1603	1726	−2	+3	61	36
2022	06	04	Hungary	England	1	0	ENA		31	1757	2007	+1	−2	34	6
2022	06	07	Italy	Hungary	2	1	ENA		6	1967	1751	0	−1	11	34
2022	06	11	Hungary	Germany	1	1	ENA		6	1757	1962	0	−1	33	10
2022	06	14	England	Hungary	0	4	ENA		-66	1937	1823	−6	+12	12	21
2022	09	23	Germany	Hungary	0	1	ENA		-33	1955	1856	−1	+4	9	16
2022	09	26	Hungary	Italy	0	2	ENA		-29	1827	1992	−2	+1	19	8
2022	11	17	Luxembourg	Hungary	2	2	F		7	1444	1820	+2	−1	91	20
2022	11	20	Hungary	Greece	2	1	F		4	1824	1689	+1	0	19	43
2023	03	23	Hungary	Estonia	1	0	F		1	1825	1447	0	−1	21	93
2023	03	27	Hungary	Bulgaria	3	0	EQ		5	1830	1491	+1	−1	20	80
2023	06	17	Montenegro	Hungary	0	0	EQ		10	1559	1820	+1	−1	69	23
2023	06	20	Hungary	Lithuania	2	0	EQ		1	1821	1262	−1	−2	24	147
2023	09	07	Serbia	Hungary	1	2	EQ		-27	1827	1848	−8	+7	24	17
2023	09	10	Hungary	Czechia	1	1	F		-4	1844	1791	−1	0	18	27
2023	10	14	Hungary	Serbia	2	1	EQ		14	1858	1817	0	−2	18	23
2023	10	17	Lithuania	Hungary	2	2	EQ		17	1336	1841	+4	−2	124	19
2023	11	16	Bulgaria	Hungary	2	2	EQ		14	1439	1827	+3	−4	94	22
2023	11	19	Hungary	Montenegro	3	1	EQ		6	1833	1549	+1	−3	19	69
2024	03	22	Hungary	Turkey	1	0	F		6	1839	1759	+1	−1	17	31
2024	03	26	Hungary	Kosovo	2	0	F		2	1841	1510	0	−2	18	78
2024	06	04	Ireland	Hungary	2	1	F		14	1621	1827	+4	0	58	18
2024	06	08	Hungary	Israel	3	0	F		4	1831	1553	−1	0	19	69
