year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2022	03	26	Netherlands	Denmark	4	2	F		11	1940	1926	+2	−2	10	12
2022	03	29	Netherlands	Germany	1	1	F		-2	1938	1966	0	0	10	9
2022	06	03	Belgium	Netherlands	1	4	ENA		-55	2013	1993	−2	+3	6	7
2022	06	08	Wales	Netherlands	1	2	ENA		-17	1823	2010	−4	0	22	8
2022	06	11	Netherlands	Poland	2	2	ENA		-14	1996	1817	0	+1	8	25
2022	06	14	Netherlands	Wales	3	2	ENA		7	2003	1822	+2	0	6	22
2022	09	22	Poland	Netherlands	0	2	ENA		-22	1781	2025	−1	0	28	6
2022	09	25	Netherlands	Belgium	1	0	ENA		15	2040	2024	+3	−2	3	5
2022	11	21	Netherlands	Senegal	2	0	WC	QA	10	2050	1674	+1	−2	3	47
2022	11	25	Ecuador	Netherlands	1	1	WC	QA	14	1884	2036	+1	0	16	4
2022	11	29	Qatar	Netherlands	0	2	WC		-11	1577	2047	−1	+2	65	4
2022	12	03	Netherlands	United States	3	1	WC	QA	21	2068	1817	0	−4	3	24
2022	12	09	Argentina	Netherlands	2	2	WC	QA	-5	2121	2073	0	0	2	3
2023	03	24	France	Netherlands	4	0	EQ		26	2107	2047	0	0	3	4
2023	03	27	Netherlands	Gibraltar	3	0	EQ		0	2047	1066	0	0	4	181
2023	06	14	Netherlands	Croatia	2	4	ENL		-56	1991	2012	−3	+5	7	4
2023	06	18	Netherlands	Italy	2	3	ENL		-36	1955	1961	−3	+3	10	9
2023	09	07	Netherlands	Greece	3	0	EQ		8	1963	1686	+1	−1	9	45
2023	09	10	Ireland	Netherlands	1	2	EQ		-9	1648	1972	−1	0	50	9
2023	10	13	Netherlands	France	1	2	EQ		-18	1954	2120	−1	0	10	2
2023	10	16	Greece	Netherlands	0	1	EQ		-13	1709	1967	−4	+1	42	8
2023	11	18	Netherlands	Ireland	1	0	EQ		3	1970	1613	0	−1	9	58
2023	11	21	Gibraltar	Netherlands	0	6	EQ	PT	0	1057	1970	0	−1	181	10
2024	03	22	Netherlands	Scotland	4	0	F		7	1977	1793	0	0	10	22
2024	03	26	Germany	Netherlands	2	1	F		9	1920	1968	0	0	13	10
2024	06	06	Netherlands	Canada	4	0	F		4	1972	1711	0	−1	10	40
2024	06	10	Netherlands	Iceland	4	0	F		2	1974	1561	0	0	10	67
