year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2022	03	24	Scotland	Poland	1	1	F		-2	1726	1771	0	0	36	30
2022	03	29	Poland	Sweden	2	0	WQ		27	1798	1808	+2	−5	28	26
2022	06	01	Poland	Wales	2	1	ENA		17	1815	1824	+2	−3	25	22
2022	06	08	Belgium	Poland	6	1	ENA		12	2025	1803	0	−3	5	27
2022	06	11	Netherlands	Poland	2	2	ENA		-14	1996	1817	0	+1	8	25
2022	06	14	Poland	Belgium	0	1	ENA		-14	1803	2033	−4	+1	28	4
2022	09	22	Poland	Netherlands	0	2	ENA		-22	1781	2025	−1	0	28	6
2022	09	25	Wales	Poland	0	1	ENA		-27	1789	1808	−4	+4	27	23
2022	11	16	Poland	Chile	1	0	F		5	1813	1697	+2	−3	21	43
2022	11	22	Mexico	Poland	0	0	WC	QA	0	1808	1813	0	0	22	21
2022	11	26	Poland	Saudi Arabia	2	0	WC	QA	30	1843	1663	+3	−6	19	50
2022	11	30	Argentina	Poland	2	0	WC	QA	17	2118	1826	0	−2	2	21
2022	12	04	France	Poland	3	1	WC	QA	25	2017	1801	+1	−4	4	25
2023	03	24	Czechia	Poland	3	1	EQ		23	1801	1778	+2	−3	25	28
2023	03	27	Poland	Albania	1	0	EQ		5	1783	1538	0	−2	28	73
2023	06	16	Poland	Germany	1	0	F		12	1795	1932	+1	0	25	10
2023	06	20	Moldova	Poland	3	2	EQ		37	1279	1758	+10	−8	140	33
2023	09	07	Poland	Faroe Islands	2	0	EQ		2	1760	1279	+1	−3	32	143
2023	09	10	Albania	Poland	2	0	EQ		37	1614	1723	+9	−6	57	37
2023	10	12	Faroe Islands	Poland	0	2	EQ		-6	1248	1729	−1	−1	152	37
2023	10	15	Poland	Moldova	1	1	EQ		-18	1711	1329	−5	+8	42	125
2023	11	17	Poland	Czechia	1	1	EQ		-4	1707	1753	−1	0	42	32
2023	11	21	Poland	Latvia	2	0	F		2	1709	1347	+2	0	41	119
2024	03	21	Poland	Estonia	5	1	EQ		5	1714	1357	0	−2	39	115
2024	03	26	Wales	Poland	0	0	EQ		-6	1709	1720	−4	+1	41	38
2024	06	07	Poland	Ukraine	3	1	F		17	1737	1850	+2	−2	36	17
2024	06	10	Poland	Turkey	2	1	F		8	1745	1748	+2	0	32	31
