year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2022	03	24	Portugal	Turkey	3	1	WQ		7	1979	1719	0	−1	8	39
2022	03	29	Portugal	North Macedonia	2	0	WQ		5	1984	1662	0	−2	8	51
2022	06	02	Spain	Portugal	1	1	ENA		-8	2031	1992	−1	0	6	7
2022	06	05	Portugal	Switzerland	4	0	ENA		19	2011	1880	+2	−1	6	14
2022	06	09	Portugal	Czechia	2	0	ENA		11	2022	1835	0	−2	6	19
2022	06	12	Switzerland	Portugal	1	0	ENA		23	1886	1999	0	−2	14	7
2022	09	24	Czechia	Portugal	0	4	ENA		-30	1796	2029	−6	+2	26	5
2022	09	27	Portugal	Spain	0	1	ENA		-26	2003	2045	−3	+3	7	3
2022	11	17	Portugal	Nigeria	4	0	F		2	2005	1627	+1	0	6	56
2022	11	24	Portugal	Ghana	3	2	WC	QA	4	2009	1560	0	0	7	67
2022	11	28	Portugal	Uruguay	2	0	WC	QA	34	2043	1889	+1	−2	5	15
2022	12	02	South Korea	Portugal	2	1	WC	QA	51	1801	1992	+9	−1	26	5
2022	12	06	Portugal	Switzerland	6	1	WC	QA	49	2041	1878	+3	−4	4	16
2022	12	10	Morocco	Portugal	1	0	WC	QA	43	1923	1998	+3	−1	12	5
2023	03	23	Portugal	Liechtenstein	4	0	EQ		0	1998	977	0	0	5	189
2023	03	26	Luxembourg	Portugal	0	6	EQ		-6	1449	2004	0	0	90	6
2023	06	17	Portugal	Bosnia and Herzegovina	3	0	EQ		4	2008	1603	0	−1	5	61
2023	06	20	Iceland	Portugal	0	1	EQ		-4	1498	2012	−1	+1	80	4
2023	09	08	Slovakia	Portugal	0	1	EQ		-6	1612	2018	−1	0	56	4
2023	09	11	Portugal	Luxembourg	9	0	EQ		3	2021	1503	0	0	4	80
2023	10	13	Portugal	Slovakia	3	2	EQ		2	2023	1611	0	−2	4	60
2023	10	16	Bosnia and Herzegovina	Portugal	0	5	EQ		-8	1532	2031	−1	+1	72	4
2023	11	16	Liechtenstein	Portugal	0	2	EQ		0	958	2031	0	0	192	4
2023	11	19	Portugal	Iceland	2	0	EQ		1	2032	1478	0	0	4	88
2024	03	21	Portugal	Sweden	5	2	F		3	2035	1691	+1	0	3	44
2024	03	26	Slovenia	Portugal	2	0	F		23	1739	2012	+2	−2	34	5
2024	06	04	Portugal	Finland	4	2	F		2	2014	1621	0	0	5	58
2024	06	08	Portugal	Croatia	1	2	F		-14	2000	1968	−1	0	6	11
2024	06	11	Portugal	Ireland	3	0	F		2	2002	1619	0	−1	6	59
