year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2022	03	24	Scotland	Poland	1	1	F		-2	1726	1771	0	0	36	30
2022	03	29	Austria	Scotland	2	2	F		-3	1718	1729	−2	0	38	34
2022	06	01	Scotland	Ukraine	1	3	WQ		-31	1698	1848	−6	+7	41	17
2022	06	08	Scotland	Armenia	2	0	ENB		10	1708	1515	+1	0	41	77
2022	06	11	Ireland	Scotland	3	0	ENB		31	1680	1677	+6	−5	45	46
2022	06	14	Armenia	Scotland	1	4	ENB		-28	1478	1705	−2	+4	82	42
2022	09	21	Scotland	Ukraine	3	0	ENB		39	1744	1809	+6	−6	35	23
2022	09	24	Scotland	Ireland	2	1	ENB		12	1756	1677	+3	−2	32	45
2022	09	27	Scotland	Ukraine	0	0	ENB	PL	4	1760	1822	+1	0	31	20
2022	11	16	Turkey	Scotland	2	1	F		9	1701	1751	+1	0	41	31
2023	03	25	Scotland	Cyprus	3	0	EQ		4	1755	1351	+1	+1	32	116
2023	03	28	Scotland	Spain	2	0	EQ		42	1797	1964	+7	−3	25	8
2023	06	17	Norway	Scotland	1	2	EQ		-23	1722	1820	0	+1	37	23
2023	06	20	Scotland	Georgia	2	0	EQ		11	1831	1651	+1	−3	22	50
2023	09	08	Cyprus	Scotland	0	3	EQ		-7	1335	1838	−2	+1	121	21
2023	09	12	Scotland	England	1	3	F		-12	1826	2010	−3	+1	24	6
2023	10	12	Spain	Scotland	2	0	EQ		10	2018	1816	+2	0	5	24
2023	10	17	France	Scotland	4	1	F		3	2123	1813	0	0	2	24
2023	11	16	Georgia	Scotland	2	2	EQ		4	1641	1809	−1	−1	50	25
2023	11	19	Scotland	Norway	3	3	EQ		-9	1800	1755	−1	+5	25	30
2024	03	22	Netherlands	Scotland	4	0	F		7	1977	1793	0	0	10	22
2024	03	26	Scotland	Northern Ireland	0	1	F		-18	1775	1516	−2	+6	26	76
2024	06	03	Scotland	Gibraltar	2	0	F	PT	0	1775	1046	0	0	26	182
2024	06	07	Scotland	Finland	2	2	F		-6	1769	1627	−4	+1	29	56
