year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2022	03	24	Hungary	Serbia	0	1	F		-9	1716	1855	−1	+2	40	16
2022	03	29	Denmark	Serbia	3	0	F		10	1936	1845	+1	−3	11	18
2022	06	02	Serbia	Norway	0	1	ENB		-30	1815	1777	−7	+2	25	30
2022	06	05	Serbia	Slovenia	4	1	ENB		10	1825	1593	+2	−2	22	63
2022	06	09	Sweden	Serbia	0	1	ENB		-24	1779	1849	−3	+5	30	16
2022	06	12	Slovenia	Serbia	2	2	ENB		8	1615	1841	+2	−1	61	18
2022	09	24	Serbia	Sweden	4	1	ENB		19	1860	1746	+2	−4	16	35
2022	09	27	Norway	Serbia	0	2	ENB		-32	1748	1892	−5	0	33	16
2022	11	18	Bahrain	Serbia	1	5	F		-6	1494	1898	0	0	80	16
2022	11	24	Brazil	Serbia	2	0	WC	QA	16	2185	1882	0	0	1	16
2022	11	28	Cameroon	Serbia	3	3	WC	QA	20	1618	1862	+5	0	56	17
2022	12	02	Switzerland	Serbia	3	2	WC	QA	27	1927	1835	+1	−4	12	21
2023	01	25	United States	Serbia	1	2	F		-12	1805	1847	−1	+1	24	19
2023	03	24	Serbia	Lithuania	2	0	EQ		1	1848	1247	0	−1	19	149
2023	03	27	Montenegro	Serbia	0	2	EQ		-16	1549	1864	0	+2	68	16
2023	06	16	Serbia	Jordan	3	2	F	AT	3	1867	1589	0	0	16	65
2023	06	20	Bulgaria	Serbia	1	1	EQ		13	1497	1854	+2	−1	82	16
2023	09	07	Serbia	Hungary	1	2	EQ		-27	1827	1848	−8	+7	24	17
2023	09	10	Lithuania	Serbia	1	3	EQ		-4	1268	1831	0	0	148	24
2023	10	14	Hungary	Serbia	2	1	EQ		14	1858	1817	0	−2	18	23
2023	10	17	Serbia	Montenegro	3	1	EQ		7	1824	1546	0	−1	23	69
2023	11	15	Belgium	Serbia	1	0	F		4	1987	1820	0	0	7	23
2023	11	19	Serbia	Bulgaria	2	2	EQ		-18	1802	1457	−2	+3	24	91
2024	03	21	Russia	Serbia	4	0	F		16	1773	1786	+6	−3	25	24
2024	03	25	Cyprus	Serbia	0	1	F		-2	1318	1788	0	0	132	25
2024	06	04	Austria	Serbia	2	1	F		5	1862	1783	0	0	16	24
2024	06	08	Sweden	Serbia	0	3	F		-18	1674	1801	−1	+2	45	22
