year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2022	03	26	Croatia	Slovenia	1	1	F	QA	-6	1852	1622	−1	0	16	56
2022	03	29	Qatar	Slovenia	0	0	F		-4	1663	1626	−1	−1	50	57
2022	06	02	Slovenia	Sweden	0	2	ENB		-23	1603	1831	−4	+6	61	20
2022	06	05	Serbia	Slovenia	4	1	ENB		10	1825	1593	+2	−2	22	63
2022	06	09	Norway	Slovenia	0	0	ENB		-14	1791	1607	−4	+1	29	62
2022	06	12	Slovenia	Serbia	2	2	ENB		8	1615	1841	+2	−1	61	18
2022	09	24	Slovenia	Norway	2	1	ENB		25	1640	1780	+4	−3	55	28
2022	09	27	Sweden	Slovenia	1	1	ENB		-11	1735	1651	−2	+3	36	51
2022	11	17	Romania	Slovenia	1	2	F		-12	1603	1663	−1	+1	61	50
2022	11	20	Slovenia	Montenegro	1	0	F		4	1667	1540	+1	−1	49	73
2023	03	23	Kazakhstan	Slovenia	1	2	EQ		-11	1380	1678	−2	+3	108	46
2023	03	26	Slovenia	San Marino	2	0	EQ		0	1678	782	0	0	46	211
2023	06	16	Finland	Slovenia	2	0	EQ		22	1694	1656	+4	−2	45	50
2023	06	19	Slovenia	Denmark	1	1	EQ		6	1662	1851	+3	−1	47	17
2023	09	07	Slovenia	Northern Ireland	4	2	EQ		10	1672	1479	0	−1	47	87
2023	09	10	San Marino	Slovenia	0	4	EQ		-1	779	1673	0	0	212	47
2023	10	14	Slovenia	Finland	3	0	EQ		27	1700	1662	+3	−3	45	48
2023	10	17	Northern Ireland	Slovenia	0	1	EQ		-12	1451	1712	−3	+5	91	41
2023	11	17	Denmark	Slovenia	2	1	EQ		7	1878	1705	+1	−4	15	44
2023	11	20	Slovenia	Kazakhstan	2	1	EQ		5	1710	1481	+2	−2	42	87
2024	01	20	United States	Slovenia	0	1	F		-14	1760	1724	−3	+1	31	38
2024	03	21	Malta	Slovenia	2	2	F		8	1257	1716	0	+1	154	37
2024	03	26	Slovenia	Portugal	2	0	F		23	1739	2012	+2	−2	34	5
2024	06	04	Slovenia	Armenia	2	1	F		2	1741	1453	0	−1	34	95
2024	06	08	Slovenia	Bulgaria	1	1	F		-8	1733	1488	−4	+2	38	86
