year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2004	03	31	Morocco	Angola	3	1	F		4	1686	1455	+1	−3	42	90
2004	04	28	Ghana	Angola	1	1	F		-3	1445	1458	−1	0	94	90
2004	05	09	Angola	Namibia	2	1	CSF		4	1462	1154	+1	−1	89	164
2004	05	23	DR Congo	Angola	1	3	F		-18	1418	1480	−5	+7	103	82
2004	06	05	Algeria	Angola	0	0	WQA		-6	1482	1486	−2	+1	82	81
2004	06	20	Angola	Nigeria	1	0	WQA		32	1518	1794	+6	−1	75	21
2004	07	03	Gabon	Angola	2	2	WQA		5	1330	1513	+1	−2	123	77
2004	07	18	Angola	Botswana	1	1	CSF		-15	1498	1277	−3	+3	80	138
2004	09	05	Angola	Rwanda	1	0	WQA		8	1506	1347	+1	−4	79	122
2004	09	19	Mozambique	Angola	0	1	CSF		-13	1270	1519	−5	+3	139	77
2004	10	10	Angola	Zimbabwe	1	0	WQA		14	1533	1498	+3	−4	74	83
2004	11	20	Zambia	Angola	0	0	CSF		-3	1480	1536	−1	+1	89	72
2005	02	23	Congo	Angola	0	2	F		-13	1365	1549	−6	+1	112	70
2005	03	27	Zimbabwe	Angola	2	0	WQA		28	1501	1521	+6	−5	81	75
2005	05	27	Tunisia	Angola	4	1	F		8	1633	1513	0	−2	53	78
2005	06	05	Angola	Algeria	2	1	WQA		11	1524	1430	+3	−2	74	98
2005	06	18	Nigeria	Angola	1	1	WQA		-15	1728	1539	−1	+1	33	72
2005	08	09	Angola	Botswana	0	0	F	ZA	-6	1533	1325	−1	0	74	126
2005	08	10	Angola	Botswana	0	0	F	ZA	-5	1528	1330	0	+3	74	123
2005	08	13	Zimbabwe	Angola	2	1	CSF	ZA	19	1556	1509	+4	−8	69	82
2005	08	17	Angola	Cape Verde	2	1	FRC	PT	9	1518	1351	+3	−3	77	114
2005	09	04	Angola	Gabon	3	0	WQA		17	1535	1398	+6	−3	73	103
2005	10	08	Rwanda	Angola	0	1	WQA		-14	1310	1549	−6	+3	130	69
2005	11	16	Japan	Angola	1	0	F		2	1812	1547	0	+2	21	69
2006	01	17	Morocco	Angola	2	2	F		-6	1683	1553	−1	0	45	70
2006	01	21	Cameroon	Angola	3	1	AR	EG	19	1761	1534	+2	−2	31	72
2006	01	25	Angola	DR Congo	0	0	AR	EG	-2	1532	1509	0	0	73	79
2006	01	29	Angola	Togo	3	2	AR	EG	24	1556	1492	+3	−6	70	83
2006	03	01	South Korea	Angola	1	0	F		3	1761	1553	0	−3	32	71
2006	04	29	Angola	Mauritius	5	1	CSF	LS	16	1569	1313	+5	−7	66	128
2006	04	30	Lesotho	Angola	1	3	CSF		-8	1139	1577	−1	+2	167	64
2006	05	30	Argentina	Angola	2	0	F	IT	4	1921	1573	0	0	8	65
2006	06	02	Turkey	Angola	3	2	F	NL	4	1829	1569	0	−1	18	65
2006	06	05	United States	Angola	1	0	F	DE	4	1824	1565	+2	−2	18	68
