year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2004	03	10	Mexico	Ecuador	2	1	F		4	1847	1713	0	−1	12	36
2004	03	30	Argentina	Ecuador	1	0	WQ		4	2022	1709	0	0	2	36
2004	04	28	Ecuador	Honduras	1	1	F	US	-2	1707	1636	+1	+1	37	53
2004	06	02	Ecuador	Colombia	2	1	WQ		17	1724	1732	+4	0	33	29
2004	06	05	Ecuador	Bolivia	3	2	WQ		8	1732	1573	+4	−2	29	64
2004	07	07	Argentina	Ecuador	6	1	CA	PE	21	1988	1711	+2	−3	4	33
2004	07	10	Uruguay	Ecuador	2	1	CA	PE	25	1738	1686	+2	−5	30	38
2004	07	13	Mexico	Ecuador	2	1	CA	PE	13	1889	1673	0	−5	11	43
2004	09	05	Uruguay	Ecuador	1	0	WQ		8	1820	1665	0	−4	21	44
2004	10	10	Ecuador	Chile	2	0	WQ		23	1688	1655	+8	−11	37	48
2004	10	14	Venezuela	Ecuador	3	1	WQ		28	1641	1660	+6	−10	51	46
2004	10	20	Jordan	Ecuador	3	0	LGC	LY	28	1662	1632	+6	−7	46	53
2004	10	22	Ecuador	Nigeria	2	2	LGC	LY	6	1638	1773	+1	0	52	28
2004	10	27	Mexico	Ecuador	2	1	F	US	4	1877	1634	0	0	11	52
2004	11	17	Ecuador	Brazil	1	0	WQ		33	1667	1972	+7	−3	44	5
2005	01	26	Ecuador	Panama	2	0	F		6	1673	1510	+2	−1	42	80
2005	01	29	Ecuador	Panama	2	0	F		5	1678	1505	0	−2	42	82
2005	02	09	Chile	Ecuador	3	0	F		14	1669	1664	+3	−4	45	46
2005	02	16	Costa Rica	Ecuador	1	2	F		-13	1657	1677	−3	+3	47	43
2005	03	27	Ecuador	Paraguay	5	2	WQ		35	1712	1743	+7	−4	37	31
2005	03	30	Peru	Ecuador	2	2	WQ		-4	1674	1716	−2	+2	46	35
2005	05	04	Ecuador	Paraguay	1	0	F	US	11	1727	1743	+3	−1	32	31
2005	06	04	Ecuador	Argentina	2	0	WQ		46	1773	1988	+4	−2	28	3
2005	06	08	Colombia	Ecuador	3	0	WQ		22	1826	1751	+1	−2	20	30
2005	06	11	Ecuador	Italy	1	1	F	US	4	1755	1900	0	−1	30	10
2005	08	17	Ecuador	Venezuela	3	1	F		6	1761	1591	+3	0	26	60
2005	09	03	Bolivia	Ecuador	1	2	WQ		-15	1562	1776	−2	−1	66	27
2005	10	08	Ecuador	Uruguay	0	0	WQ		-3	1773	1818	−2	+1	28	22
2005	10	12	Chile	Ecuador	0	0	WQ		-1	1681	1774	+1	+1	43	27
2005	11	13	Poland	Ecuador	3	0	F	ES	15	1846	1759	+3	−3	15	31
2005	12	27	Senegal	Ecuador	2	1	LGC	EG	17	1719	1742	+2	−2	38	33
2005	12	29	Uganda	Ecuador	2	1	LGC	EG	27	1372	1715	+8	−5	108	38
2006	01	25	Ecuador	Honduras	1	0	F		7	1722	1718	+2	−2	38	39
2006	03	01	Netherlands	Ecuador	1	0	F		2	1994	1720	0	0	2	40
2006	03	30	Japan	Ecuador	1	0	F		5	1812	1715	+1	0	22	40
2006	05	24	Colombia	Ecuador	1	1	F	US	-1	1761	1716	0	0	31	39
2006	05	28	Macedonia	Ecuador	2	1	F	ES	16	1492	1700	+5	−5	85	44
