year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2004	02	18	Belgium	France	0	2	F		-9	1793	2058	−3	0	22	1
2004	03	31	Netherlands	France	0	0	F		-1	1993	2059	0	0	4	1
2004	05	20	France	Brazil	0	0	F		-5	2054	1993	0	0	1	5
2004	05	28	France	Andorra	4	0	F		0	2054	1060	0	0	1	181
2004	06	06	France	Ukraine	1	0	F		1	2055	1642	0	0	1	52
2004	06	13	France	England	2	1	EC	PT	17	2072	1921	0	0	1	8
2004	06	17	Croatia	France	2	2	EC	PT	15	1844	2057	+3	0	16	1
2004	06	21	France	Switzerland	3	1	EC	PT	8	2065	1688	0	−3	1	40
2004	06	25	Greece	France	1	0	EC	PT	40	1856	2025	+7	0	12	1
2004	08	18	France	Bosnia and Herzegovina	1	1	F		-9	2016	1608	−1	0	2	60
2004	09	04	France	Israel	0	0	WQ		-17	1999	1672	−1	+6	3	41
2004	09	08	Faroe Islands	France	0	2	WQ		-1	1241	2000	0	0	144	3
2004	10	09	France	Ireland	0	0	WQ		-13	1987	1853	0	+3	3	15
2004	10	13	Cyprus	France	0	2	WQ		-5	1452	1992	−1	0	93	3
2004	11	17	France	Poland	0	0	F		-7	1985	1801	+1	+4	2	22
2005	02	09	France	Sweden	1	1	F		-6	1979	1875	−1	0	3	13
2005	03	26	France	Switzerland	0	0	WQ		-16	1963	1714	−4	+2	7	35
2005	03	30	Israel	France	1	1	WQ		9	1701	1954	+1	0	39	7
2005	05	31	France	Hungary	2	1	F		1	1955	1596	0	0	7	63
2005	08	17	France	Ivory Coast	3	0	F		4	1959	1687	0	−1	6	43
2005	09	03	France	Faroe Islands	3	0	WQ		1	1960	1219	+2	0	4	149
2005	09	07	Ireland	France	0	1	WQ		-19	1825	1979	−3	+1	19	3
2005	10	08	Switzerland	France	1	1	WQ		7	1764	1972	−1	0	30	3
2005	10	12	France	Cyprus	4	0	WQ		2	1974	1451	0	−1	3	94
2005	11	09	France	Costa Rica	3	2	F	MQ	4	1978	1733	0	0	3	35
2005	11	12	France	Germany	0	0	F		-5	1973	1891	0	+1	3	11
2006	03	01	France	Slovakia	1	2	F		-18	1955	1700	−3	+2	6	42
2006	05	27	France	Mexico	1	0	F		5	1960	1842	+1	−1	5	15
2006	05	31	France	Denmark	2	0	F		8	1968	1886	0	−1	5	11
2006	06	07	France	China	3	1	F		2	1970	1604	0	−1	5	58
