year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2004	03	31	Paraguay	Brazil	0	0	WQ		5	1797	1983	+3	0	20	5
2004	04	28	South Korea	Paraguay	0	0	F		0	1688	1797	+1	0	40	20
2004	06	01	Bolivia	Paraguay	2	1	WQ		28	1581	1769	+7	−5	62	26
2004	06	06	Argentina	Paraguay	0	0	WQ		-15	1987	1784	0	0	4	26
2004	07	08	Paraguay	Costa Rica	1	0	CA	PE	19	1803	1686	+6	−4	21	38
2004	07	11	Chile	Paraguay	1	1	CA	PE	7	1704	1796	+3	−1	33	23
2004	07	14	Paraguay	Brazil	2	1	CA	PE	39	1835	1986	+4	−2	19	3
2004	07	18	Uruguay	Paraguay	3	1	CA	PE	49	1770	1786	+4	−6	28	26
2004	09	05	Paraguay	Venezuela	1	0	WQ		8	1794	1624	0	−2	23	55
2004	10	09	Colombia	Paraguay	1	1	WQ		-5	1780	1799	−3	+1	28	23
2004	10	13	Paraguay	Peru	1	1	WQ		-12	1787	1668	−4	+2	28	44
2004	11	17	Uruguay	Paraguay	1	0	WQ		13	1818	1774	+1	0	20	27
2005	01	19	Paraguay	South Korea	1	1	F	US	-2	1772	1708	0	0	27	34
2005	01	23	Paraguay	Guatemala	2	1	F	US	6	1778	1614	0	−2	27	57
2005	03	27	Ecuador	Paraguay	5	2	WQ		35	1712	1743	+7	−4	37	31
2005	03	30	Paraguay	Chile	2	1	WQ		11	1754	1661	+1	−2	30	49
2005	05	04	Ecuador	Paraguay	1	0	F	US	11	1727	1743	+3	−1	32	31
2005	06	05	Brazil	Paraguay	4	1	WQ		9	1984	1734	+1	0	4	32
2005	06	08	Paraguay	Bolivia	4	1	WQ		14	1748	1577	+1	−1	31	65
2005	08	17	Paraguay	El Salvador	3	0	F		2	1750	1383	+1	−1	29	105
2005	09	03	Paraguay	Argentina	1	0	WQ		27	1777	1951	+3	−2	26	6
2005	10	08	Venezuela	Paraguay	0	1	WQ		-17	1608	1794	−1	+1	58	24
2005	10	12	Paraguay	Colombia	0	1	WQ		-29	1765	1764	−5	+5	29	30
2005	11	11	Paraguay	Togo	4	2	FT	IR	13	1778	1590	+3	−2	26	61
2006	03	01	Wales	Paraguay	0	0	F		2	1595	1776	−1	−1	60	29
2006	03	29	Mexico	Paraguay	2	1	F	US	8	1842	1768	+3	0	16	29
2006	05	24	Norway	Paraguay	2	2	F		-2	1736	1770	−1	0	37	29
2006	05	27	Denmark	Paraguay	1	1	F		-6	1894	1776	0	0	10	29
2006	05	31	Paraguay	Georgia	1	0	F	AT	3	1779	1496	+2	−2	29	82
