year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2004	03	31	Serbia and Montenegro	Norway	0	1	F		-12	1724	1785	−2	+3	33	23
2004	04	28	Northern Ireland	Serbia and Montenegro	1	1	F		4	1474	1720	+2	−1	84	34
2004	07	11	Serbia and Montenegro	Slovakia	2	0	KRN	JP	18	1738	1637	+2	−6	30	54
2004	07	13	Japan	Serbia and Montenegro	1	0	KRN		8	1826	1730	0	0	19	30
2004	08	18	Slovenia	Serbia and Montenegro	1	1	F		0	1631	1730	+2	0	53	32
2004	09	04	San Marino	Serbia and Montenegro	0	3	WQ		-1	955	1731	−1	0	192	32
2004	10	09	Bosnia and Herzegovina	Serbia and Montenegro	0	0	WQ		1	1622	1730	+4	−1	54	32
2004	10	13	Serbia and Montenegro	San Marino	5	0	WQ		1	1731	951	0	−1	32	193
2004	11	17	Belgium	Serbia and Montenegro	0	2	WQ		-41	1724	1772	−4	+4	33	28
2005	02	09	Bulgaria	Serbia and Montenegro	0	0	F		-2	1727	1774	0	0	32	28
2005	03	30	Serbia and Montenegro	Spain	0	0	WQ		5	1779	1962	−1	0	28	6
2005	06	04	Serbia and Montenegro	Belgium	0	0	WQ		-8	1771	1734	−1	0	29	33
2005	06	08	Italy	Serbia and Montenegro	1	1	F	CA	-4	1904	1775	0	+1	9	28
2005	08	15	Poland	Serbia and Montenegro	3	2	VLM	UA	14	1814	1761	+4	0	20	26
2005	08	17	Ukraine	Serbia and Montenegro	2	1	VLM		9	1818	1752	+2	−2	19	28
2005	09	03	Serbia and Montenegro	Lithuania	2	0	WQ		7	1759	1487	0	−2	28	87
2005	09	07	Spain	Serbia and Montenegro	1	1	WQ		-14	1938	1773	−2	+1	7	27
2005	10	08	Lithuania	Serbia and Montenegro	0	2	WQ		-14	1455	1787	−2	+2	92	25
2005	10	12	Serbia and Montenegro	Bosnia and Herzegovina	1	0	WQ		8	1795	1630	+1	0	24	55
2005	11	13	China	Serbia and Montenegro	0	2	F		-13	1644	1808	−1	+2	54	23
2005	11	16	South Korea	Serbia and Montenegro	2	0	F		17	1687	1791	+4	−1	44	24
2006	03	01	Tunisia	Serbia and Montenegro	0	1	F		-10	1689	1801	−2	0	44	24
2006	05	27	Serbia and Montenegro	Uruguay	1	1	F		-2	1799	1838	0	0	23	16
