year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2004	01	22	Norway	Sweden	3	0	CBG	HK	33	1744	1771	+8	−7	29	26
2004	02	18	Albania	Sweden	2	1	F		14	1531	1757	+3	−1	74	27
2004	03	31	Sweden	England	1	0	F		13	1770	1943	0	0	27	7
2004	04	28	Portugal	Sweden	2	2	F		-6	1898	1776	0	+1	9	26
2004	05	28	Finland	Sweden	1	3	F		-15	1668	1791	−4	+4	45	22
2004	06	05	Sweden	Poland	3	1	F		9	1800	1745	+1	0	21	28
2004	06	14	Sweden	Bulgaria	5	0	EC	PT	44	1844	1714	+6	−7	15	35
2004	06	18	Italy	Sweden	1	1	EC	PT	-7	1934	1851	0	+3	8	13
2004	06	22	Denmark	Sweden	2	2	EC	PT	-3	1893	1854	0	0	10	13
2004	06	26	Netherlands	Sweden	0	0	EC	PT	-6	1936	1860	0	+1	8	12
2004	08	18	Sweden	Netherlands	2	2	F		-1	1859	1917	+2	0	12	9
2004	09	04	Malta	Sweden	0	7	WQ		-5	1251	1864	−1	0	142	12
2004	09	08	Sweden	Croatia	0	1	WQ		-27	1837	1857	−7	+7	19	13
2004	10	09	Sweden	Hungary	3	0	WQ		9	1846	1594	+3	−4	16	65
2004	10	13	Iceland	Sweden	1	4	WQ		-16	1525	1862	−1	+1	73	15
2004	11	17	Scotland	Sweden	1	4	F		-10	1603	1872	−3	+2	61	13
2005	01	22	South Korea	Sweden	1	1	F	US	4	1712	1868	0	0	34	13
2005	01	26	Mexico	Sweden	0	0	F	US	-1	1886	1869	0	0	10	13
2005	02	09	France	Sweden	1	1	F		-6	1979	1875	−1	0	3	13
2005	03	26	Bulgaria	Sweden	0	3	WQ		-30	1697	1905	−5	+3	37	10
2005	06	04	Sweden	Malta	6	0	WQ		1	1906	1242	−1	0	11	143
2005	06	08	Sweden	Norway	2	3	F		-15	1891	1809	0	+3	11	22
2005	08	17	Sweden	Czechia	2	1	F		10	1901	1988	0	0	11	3
2005	09	03	Sweden	Bulgaria	3	0	WQ		10	1911	1678	+3	−2	8	44
2005	09	07	Hungary	Sweden	0	1	WQ		-10	1609	1921	−2	0	59	8
2005	10	08	Croatia	Sweden	1	0	WQ		17	1883	1904	+3	−2	12	10
2005	10	12	Sweden	Iceland	3	1	WQ		3	1907	1507	0	−1	10	81
2005	11	12	South Korea	Sweden	2	2	F		4	1670	1903	+2	0	49	10
2006	01	18	Saudi Arabia	Sweden	1	1	F		6	1574	1897	0	0	66	10
2006	01	23	Jordan	Sweden	0	0	F	AE	8	1543	1889	+1	−1	71	11
2006	03	01	Ireland	Sweden	3	0	F		16	1839	1873	+3	−1	17	12
2006	05	25	Sweden	Finland	0	0	F		-8	1865	1635	0	+2	12	51
2006	06	02	Sweden	Chile	1	1	F		-6	1859	1713	0	+3	12	39
