year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2004	05	20	Benin	Togo	0	1	F		-9	1287	1439	−1	+1	133	98
2004	05	23	Togo	Benin	1	1	F		-6	1433	1293	−1	+1	98	132
2004	06	05	Zambia	Togo	1	0	WQA		14	1450	1419	+6	−1	92	100
2004	06	14	Ghana	Togo	0	0	F		-3	1424	1422	−1	0	101	102
2004	06	20	Togo	Senegal	3	1	WQA		45	1467	1674	+14	−11	87	43
2004	07	04	Liberia	Togo	0	0	WQA		-2	1399	1469	−1	+1	109	87
2004	09	05	Togo	Congo	2	0	WQA		19	1488	1418	+6	−4	84	103
2004	10	10	Togo	Mali	1	0	WQA		17	1505	1523	+7	−5	79	77
2005	03	27	Mali	Togo	1	2	WQA		-27	1496	1532	−7	+11	82	70
2005	05	29	Togo	Burkina Faso	1	0	F		3	1535	1342	0	−1	70	119
2005	06	05	Togo	Zambia	4	1	WQA		22	1557	1478	0	−7	70	88
2005	06	18	Senegal	Togo	2	2	WQA		-11	1663	1568	−4	+1	49	68
2005	08	17	Togo	Morocco	1	0	F	FR	13	1581	1668	+4	−2	62	48
2005	09	04	Togo	Liberia	3	0	WQA		7	1588	1304	+1	−2	60	131
2005	10	08	Congo	Togo	2	3	WQA		-15	1375	1603	−1	+1	107	59
2005	11	11	Paraguay	Togo	4	2	FT	IR	13	1778	1590	+3	−2	26	61
2005	11	13	Iran	Togo	2	0	FT		6	1809	1584	+1	−1	22	62
2006	01	07	Guinea	Togo	1	0	F	FR	12	1514	1572	+2	−3	79	65
2006	01	11	Togo	Ghana	1	0	F	TN	11	1583	1591	+3	−3	62	60
2006	01	21	DR Congo	Togo	2	0	AR	EG	51	1507	1532	+15	−12	81	74
2006	01	25	Cameroon	Togo	2	0	AR	EG	16	1777	1516	+5	−3	27	77
2006	01	29	Angola	Togo	3	2	AR	EG	24	1556	1492	+3	−6	70	83
2006	05	14	Saudi Arabia	Togo	1	0	F	NL	8	1561	1484	+2	−1	69	86
2006	06	02	Liechtenstein	Togo	0	1	F		-4	1121	1488	0	0	169	87
