year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2004	02	10	Bermuda	Trinidad and Tobago	0	1	F		-8	1234	1425	−2	+2	147	102
2004	02	12	Bermuda	Trinidad and Tobago	2	2	F		3	1237	1422	+1	0	146	102
2004	03	02	Trinidad and Tobago	Guyana	1	0	F		2	1424	1105	0	0	101	172
2004	03	31	Egypt	Trinidad and Tobago	2	1	F		2	1671	1422	0	−1	45	102
2004	05	23	Trinidad and Tobago	Iraq	2	0	F	EN	22	1444	1574	+5	−2	96	63
2004	05	30	Scotland	Trinidad and Tobago	4	1	F		5	1662	1439	+1	−1	48	97
2004	06	06	Trinidad and Tobago	Northern Ireland	0	3	F		-20	1419	1508	−4	+4	101	76
2004	06	13	Dominican Republic	Trinidad and Tobago	0	2	WQ		-12	1068	1431	−4	+3	179	98
2004	06	20	Trinidad and Tobago	Dominican Republic	4	0	WQ		5	1436	1063	−2	0	100	179
2004	07	10	Thailand	Trinidad and Tobago	3	2	F		8	1400	1428	+1	0	108	101
2004	07	14	South Korea	Trinidad and Tobago	1	1	F		-8	1695	1436	−2	0	36	101
2004	08	11	Guatemala	Trinidad and Tobago	4	1	F		7	1578	1429	+1	−1	64	100
2004	08	18	Saint Vincent and the Grenadines	Trinidad and Tobago	0	2	WQ		-26	1254	1455	−7	+7	142	93
2004	09	04	Saint Kitts and Nevis	Trinidad and Tobago	1	2	WQ		-22	1365	1477	−6	+5	114	88
2004	09	08	Trinidad and Tobago	Mexico	1	3	WQ		-10	1467	1865	−4	+1	92	12
2004	10	10	Trinidad and Tobago	Saint Kitts and Nevis	5	1	WQ		16	1483	1328	+1	−1	88	122
2004	10	13	Mexico	Trinidad and Tobago	3	0	WQ		4	1873	1479	+2	−2	11	90
2004	11	17	Trinidad and Tobago	Saint Vincent and the Grenadines	2	1	WQ		8	1487	1325	+4	−1	86	123
2004	11	24	Trinidad and Tobago	Puerto Rico	5	0	FCQ		1	1488	877	0	0	86	198
2004	11	26	Trinidad and Tobago	Grenada	2	0	FCQ		9	1497	1268	+2	−2	84	139
2004	11	28	Trinidad and Tobago	Suriname	1	0	FCQ		5	1502	1240	+1	−1	83	145
2004	12	12	British Virgin Islands	Trinidad and Tobago	0	4	FCQ		-4	900	1506	−1	+2	197	81
2004	12	19	Trinidad and Tobago	British Virgin Islands	2	0	FCQ		1	1507	899	0	0	81	197
2005	01	09	Trinidad and Tobago	Saint Vincent and the Grenadines	3	1	FCQ		11	1518	1330	+3	−2	78	124
2005	01	12	Antigua and Barbuda	Trinidad and Tobago	2	1	F		17	1116	1501	+2	−6	171	84
2005	01	16	Saint Vincent and the Grenadines	Trinidad and Tobago	1	0	FCQ		24	1354	1477	+8	−6	116	90
2005	01	21	Trinidad and Tobago	Azerbaijan	1	0	F		5	1482	1387	+3	0	87	105
2005	01	23	Trinidad and Tobago	Azerbaijan	2	0	F		7	1489	1380	0	−2	87	107
2005	02	01	Trinidad and Tobago	Haiti	1	0	F		7	1496	1472	+2	0	85	90
2005	02	03	Trinidad and Tobago	Haiti	2	1	F		7	1503	1465	+1	−1	84	91
2005	02	06	Trinidad and Tobago	Haiti	0	1	F		-14	1489	1479	−3	+1	87	90
2005	02	09	Trinidad and Tobago	United States	1	2	WQ		-8	1481	1837	−2	+1	88	17
2005	02	20	Jamaica	Trinidad and Tobago	2	1	FQC	BB	13	1626	1468	+4	−2	54	90
2005	02	22	Cuba	Trinidad and Tobago	2	1	FQC	BB	12	1628	1456	+4	−1	55	91
2005	02	24	Barbados	Trinidad and Tobago	2	3	FQC		-17	1295	1473	−6	+2	134	89
2005	03	26	Guatemala	Trinidad and Tobago	5	1	WQ		16	1610	1457	+7	−3	57	91
2005	03	30	Trinidad and Tobago	Costa Rica	0	0	WQ		9	1466	1711	+1	−3	90	37
2005	05	25	Trinidad and Tobago	Bermuda	4	0	F		4	1470	1169	0	0	91	162
2005	05	27	Trinidad and Tobago	Bermuda	1	0	F		2	1472	1167	0	−1	91	163
2005	06	04	Trinidad and Tobago	Panama	2	0	WQ		23	1495	1471	+7	−6	84	90
2005	06	08	Mexico	Trinidad and Tobago	2	0	WQ		3	1910	1492	+2	0	8	83
2005	07	06	Honduras	Trinidad and Tobago	1	1	CCH	US	-12	1668	1504	−2	+1	49	83
2005	07	10	Panama	Trinidad and Tobago	2	2	CCH	US	0	1504	1504	0	0	83	83
2005	07	12	Colombia	Trinidad and Tobago	2	0	CCH	US	15	1763	1489	+2	−3	27	86
2005	08	17	United States	Trinidad and Tobago	1	0	WQ		2	1867	1487	0	−1	14	87
2005	09	03	Trinidad and Tobago	Guatemala	3	2	WQ		18	1505	1542	+5	−2	82	71
2005	09	07	Costa Rica	Trinidad and Tobago	2	0	WQ		8	1739	1497	0	−3	35	85
2005	10	08	Panama	Trinidad and Tobago	0	1	WQ		-27	1490	1524	−10	+11	87	75
