year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2004	01	14	Tunisia	Benin	2	0	F		3	1646	1331	0	0	50	126
2004	01	17	Tunisia	Benin	2	1	F		2	1648	1329	0	0	50	126
2004	01	24	Tunisia	Rwanda	2	1	AR		4	1652	1307	+1	0	49	129
2004	01	28	Tunisia	DR Congo	3	0	AR		16	1668	1471	+2	−2	46	83
2004	02	01	Tunisia	Guinea	1	1	AR		-15	1653	1542	−3	+2	48	72
2004	02	07	Tunisia	Senegal	1	0	AR		24	1677	1714	+5	−6	43	36
2004	02	11	Tunisia	Nigeria	1	1	AR		-1	1676	1766	−1	0	44	26
2004	02	14	Tunisia	Morocco	2	1	AR		19	1695	1673	+5	−6	39	45
2004	03	31	Tunisia	Ivory Coast	0	2	F		-23	1672	1613	−5	+3	44	57
2004	04	28	Tunisia	Mali	1	0	F		5	1677	1583	0	0	44	62
2004	05	30	Tunisia	Italy	0	4	F		-11	1666	1946	−1	+1	45	7
2004	06	05	Tunisia	Botswana	4	1	WQA		3	1669	1239	+1	−1	46	146
2004	06	20	Guinea	Tunisia	2	1	WQA		23	1540	1646	+3	−6	71	52
2004	08	18	Tunisia	South Africa	0	2	F		-23	1623	1572	−5	+3	55	67
2004	09	04	Morocco	Tunisia	1	1	WQA		-8	1668	1631	−4	+1	43	54
2004	10	09	Malawi	Tunisia	2	2	WQA		13	1283	1618	+6	−4	134	58
2005	03	26	Tunisia	Malawi	7	0	WQA		7	1625	1289	+3	−1	54	135
2005	05	27	Tunisia	Angola	4	1	F		8	1633	1513	0	−2	53	78
2005	06	04	Botswana	Tunisia	1	3	WQA		-12	1279	1645	−1	+1	136	52
2005	06	11	Tunisia	Guinea	2	0	WQA		13	1658	1512	+2	−6	51	79
2005	06	15	Argentina	Tunisia	2	1	CC	DE	6	2015	1652	0	0	1	51
2005	06	18	Germany	Tunisia	3	0	CC		10	1910	1642	+1	−2	9	53
2005	06	21	Tunisia	Australia	2	0	CC	DE	51	1693	1727	+14	−7	39	34
2005	08	17	Tunisia	Kenya	1	0	WQA		4	1697	1416	0	−1	40	99
2005	09	03	Kenya	Tunisia	0	2	WQA		-16	1400	1713	−4	+1	103	39
2005	10	08	Tunisia	Morocco	2	2	WQA		-8	1705	1679	0	0	39	47
2005	11	11	DR Congo	Tunisia	2	2	F	FR	6	1474	1699	+3	−1	88	39
2005	11	16	Egypt	Tunisia	1	2	F		-13	1692	1712	−5	+1	43	39
2006	01	12	Tunisia	Libya	1	0	F		2	1714	1469	0	0	40	91
2006	01	15	Tunisia	Ghana	2	0	F		7	1721	1584	+2	−1	37	61
2006	01	22	Tunisia	Zambia	4	1	AR	EG	21	1742	1505	+4	−5	34	81
2006	01	26	Tunisia	South Africa	2	0	AR	EG	15	1757	1479	+1	−3	33	88
2006	01	30	Guinea	Tunisia	3	0	AR	EG	65	1640	1692	+11	−11	54	43
2006	02	04	Nigeria	Tunisia	1	1	AR	EG	-7	1788	1699	−1	+1	25	42
2006	03	01	Tunisia	Serbia and Montenegro	0	1	F		-10	1689	1801	−2	0	44	24
2006	05	30	Tunisia	Belarus	3	0	LGC		12	1701	1571	+2	−5	44	67
2006	06	02	Tunisia	Uruguay	0	0	LGC		2	1703	1839	0	−1	44	16
