year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2004	02	18	Libya	Ukraine	1	1	F		4	1420	1657	+3	+1	102	48
2004	03	31	Macedonia	Ukraine	1	0	F		12	1501	1645	+3	−2	78	52
2004	04	28	Ukraine	Slovakia	1	1	F		-2	1643	1668	0	+1	52	46
2004	06	06	France	Ukraine	1	0	F		1	2055	1642	0	0	1	52
2004	08	18	England	Ukraine	3	0	F		3	1975	1639	0	+3	6	49
2004	09	04	Denmark	Ukraine	1	1	WQ		-15	1866	1654	0	+2	11	48
2004	09	08	Kazakhstan	Ukraine	1	2	WQ		-11	1370	1665	−3	+4	115	45
2004	10	09	Ukraine	Greece	1	1	WQ		7	1672	1881	+4	0	40	10
2004	10	13	Ukraine	Georgia	2	0	WQ		12	1684	1517	+2	−1	39	76
2004	11	17	Turkey	Ukraine	0	3	WQ		-58	1793	1742	−9	+7	26	31
2005	02	09	Albania	Ukraine	0	2	WQ		-22	1519	1764	−6	+2	77	29
2005	03	30	Ukraine	Denmark	1	0	WQ		19	1783	1829	+1	−3	27	18
2005	06	04	Ukraine	Kazakhstan	2	0	WQ		3	1786	1342	0	0	27	118
2005	06	08	Greece	Ukraine	0	1	WQ		-31	1879	1817	−5	+6	13	21
2005	08	15	Ukraine	Israel	0	0	VLM		-8	1809	1722	−1	+1	21	37
2005	08	17	Ukraine	Serbia and Montenegro	2	1	VLM		9	1818	1752	+2	−2	19	28
2005	09	03	Georgia	Ukraine	1	1	WQ		11	1519	1807	+3	−2	77	22
2005	09	07	Ukraine	Turkey	0	1	WQ		-26	1781	1833	−1	+5	24	18
2005	10	08	Ukraine	Albania	2	2	WQ		-15	1766	1542	−5	+3	29	71
2005	10	12	Ukraine	Japan	1	0	F		9	1775	1810	+3	0	26	21
2006	02	28	Azerbaijan	Ukraine	0	0	F		7	1356	1768	+1	0	114	30
2006	05	28	Ukraine	Costa Rica	4	0	F		12	1780	1726	+2	−2	28	38
2006	06	02	Italy	Ukraine	0	0	F	CH	-4	1943	1784	0	+1	7	27
2006	06	05	Ukraine	Libya	3	0	F	CH	5	1789	1460	+1	−1	26	96
2006	06	08	Luxembourg	Ukraine	0	3	F		-1	979	1790	0	0	190	26
