year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2008	02	06	Argentina	Guatemala	5	0	F	US	2	2014	1503	0	+1	3	82
2008	03	26	Egypt	Argentina	0	2	F		-12	1820	2026	−1	0	17	3
2008	06	04	Argentina	Mexico	4	1	F	US	11	2037	1883	+1	0	2	11
2008	06	08	United States	Argentina	0	0	F		4	1790	2033	+1	0	22	2
2008	06	15	Argentina	Ecuador	1	1	WQ		-17	2016	1694	0	+3	3	41
2008	06	18	Brazil	Argentina	0	0	WQ		-6	2010	2022	−2	0	5	3
2008	08	20	Belarus	Argentina	0	0	F		8	1591	2014	+1	0	58	3
2008	09	06	Argentina	Paraguay	1	1	WQ		-14	2000	1813	−2	+1	5	19
2008	09	10	Peru	Argentina	1	1	WQ		13	1646	1987	+1	0	51	5
2008	10	11	Argentina	Uruguay	2	1	WQ		8	1995	1832	0	−2	5	17
2008	10	15	Chile	Argentina	1	0	WQ		27	1804	1968	+5	−2	19	7
2008	11	19	Scotland	Argentina	0	1	F		-6	1720	1974	−3	+1	39	6
2009	02	11	France	Argentina	0	2	F		-16	1876	1990	−2	+2	10	4
2009	03	28	Argentina	Venezuela	4	0	WQ		6	1996	1655	−1	−1	5	48
2009	04	01	Bolivia	Argentina	6	1	WQ		69	1654	1927	+10	−2	49	7
2009	05	20	Argentina	Panama	3	1	F		2	1929	1583	0	−1	7	63
2009	06	06	Argentina	Colombia	1	0	WQ		6	1935	1724	0	−1	7	34
2009	06	10	Ecuador	Argentina	2	0	WQ		40	1751	1895	+10	−1	30	8
2009	08	12	Russia	Argentina	2	3	F		-13	1897	1908	−2	+1	9	7
2009	09	05	Argentina	Brazil	1	3	WQ		-20	1888	2143	−3	0	10	1
2009	09	09	Paraguay	Argentina	1	0	WQ		20	1806	1868	+4	−1	19	11
2009	09	30	Argentina	Ghana	2	0	F		6	1874	1734	0	−2	11	37
2009	10	10	Argentina	Peru	2	1	WQ		3	1877	1554	+1	−2	10	69
2009	10	14	Uruguay	Argentina	0	1	WQ		-23	1806	1900	−1	+3	18	7
2009	11	14	Spain	Argentina	2	1	F		3	2091	1897	0	−1	2	8
2010	01	26	Argentina	Costa Rica	3	2	F		3	1900	1699	0	0	7	41
2010	02	10	Argentina	Jamaica	2	1	BAL		3	1903	1624	0	0	7	52
2010	03	03	Germany	Argentina	0	1	F		-14	1947	1917	−1	0	6	7
2010	05	05	Argentina	Haiti	4	0	F		1	1918	1429	0	0	7	106
2010	05	24	Argentina	Canada	5	0	F		3	1921	1596	0	0	7	57
