year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2008	01	26	Japan	Chile	0	0	F		-4	1774	1732	0	+2	27	36
2008	01	30	South Korea	Chile	0	1	F		-11	1654	1743	−2	+1	46	35
2008	03	26	Israel	Chile	1	0	F		7	1763	1736	+2	+2	30	35
2008	06	04	Chile	Guatemala	2	0	F		4	1740	1496	0	−1	35	90
2008	06	07	Chile	Panama	0	0	F		-6	1734	1584	0	+4	35	61
2008	06	15	Bolivia	Chile	0	2	WQ		-25	1555	1759	−5	+8	68	29
2008	06	19	Venezuela	Chile	2	3	WQ		-22	1669	1781	−2	+4	44	24
2008	08	20	Turkey	Chile	1	0	F		6	1837	1775	+1	+1	15	24
2008	09	07	Chile	Brazil	0	3	WQ		-22	1753	2032	−7	0	31	2
2008	09	10	Chile	Colombia	4	0	WQ		29	1782	1745	+8	−8	23	32
2008	09	24	Chile	Mexico	1	0	F	US	13	1795	1894	+2	0	21	8
2008	10	12	Ecuador	Chile	1	0	WQ		18	1751	1777	+3	−2	32	24
2008	10	15	Chile	Argentina	1	0	WQ		27	1804	1968	+5	−2	19	7
2008	11	19	Spain	Chile	3	0	F		3	2100	1801	0	−1	1	20
2009	01	18	Honduras	Chile	2	0	F	US	18	1741	1783	+2	−1	36	21
2009	02	11	South Africa	Chile	0	2	F		-9	1529	1792	−2	+2	76	21
2009	03	29	Peru	Chile	1	3	WQ		-21	1569	1813	−8	+4	67	19
2009	04	01	Chile	Uruguay	0	0	WQ		-3	1810	1863	+3	0	16	11
2009	05	27	Japan	Chile	4	0	KRN		24	1781	1786	+2	−9	26	25
2009	05	29	Belgium	Chile	1	1	KRN	JP	8	1592	1778	+1	−1	61	26
2009	06	06	Paraguay	Chile	0	2	WQ		-43	1792	1821	−9	+12	22	14
2009	06	10	Chile	Bolivia	4	0	WQ		12	1833	1618	+2	0	12	55
2009	08	12	Denmark	Chile	1	2	F		-14	1846	1847	−1	+1	13	12
2009	09	05	Chile	Venezuela	2	2	WQ		-12	1835	1711	−1	+4	13	40
2009	09	09	Brazil	Chile	4	2	WQ		5	2148	1830	0	0	1	13
2009	10	10	Colombia	Chile	2	4	WQ		-31	1713	1861	−4	+1	39	12
2009	10	14	Chile	Ecuador	1	0	WQ		8	1869	1722	0	−1	12	37
2009	11	04	Chile	Paraguay	2	1	F		5	1874	1776	+1	0	11	23
2009	11	17	Slovakia	Chile	1	2	F		-7	1664	1881	−1	+1	47	11
2010	01	20	Chile	Panama	2	1	F		2	1883	1548	0	0	11	74
2010	03	31	Chile	Venezuela	0	0	F		-7	1876	1713	−2	+1	12	38
2010	05	05	Chile	Trinidad and Tobago	2	0	F		2	1878	1536	+1	0	11	80
2010	05	16	Mexico	Chile	1	0	F		7	1897	1871	+1	−1	8	12
2010	05	26	Chile	Zambia	3	0	F		3	1874	1556	0	−3	11	75
2010	05	30	Chile	Northern Ireland	1	0	F		2	1876	1559	+1	0	10	72
2010	05	30	Chile	Israel	3	0	F		7	1883	1719	+1	−3	10	36
2010	06	09	Chile	New Zealand	2	0	F	ZA	3	1886	1527	0	0	10	82
