year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2008	02	06	Austria	Germany	0	3	F		-7	1591	1950	−2	0	59	7
2008	03	26	Switzerland	Germany	0	4	F		-16	1787	1966	−5	0	26	7
2008	05	27	Germany	Belarus	2	2	F		-9	1957	1578	0	+1	7	64
2008	05	31	Germany	Serbia	2	1	F		3	1960	1728	0	−1	7	39
2008	06	08	Germany	Poland	2	0	EC	AT	20	1980	1765	+1	−5	6	29
2008	06	12	Croatia	Germany	2	1	EC	AT	32	1916	1948	+3	0	10	7
2008	06	16	Austria	Germany	0	1	EC		-9	1582	1957	−2	0	60	7
2008	06	19	Germany	Portugal	3	2	EC	CH	20	1977	1868	0	0	6	12
2008	06	25	Germany	Turkey	3	2	EC	CH	16	1993	1831	0	−1	6	16
2008	06	29	Spain	Germany	1	0	EC	AT	20	2077	1973	0	0	1	6
2008	08	20	Germany	Belgium	2	0	F		2	1975	1615	0	+1	6	53
2008	09	06	Liechtenstein	Germany	0	6	WQ		-1	1175	1976	0	0	164	6
2008	09	10	Finland	Germany	3	3	WQ		10	1684	1966	+1	0	44	6
2008	10	11	Germany	Russia	2	1	WQ		10	1976	1870	0	+1	6	10
2008	10	15	Germany	Wales	1	0	WQ		3	1979	1636	+1	−1	5	52
2008	11	19	Germany	England	1	2	F		-13	1966	1988	−2	+1	7	5
2009	02	11	Germany	Norway	0	1	F		-18	1948	1725	0	+4	7	38
2009	03	28	Germany	Liechtenstein	4	0	WQ		1	1949	1179	0	0	7	160
2009	04	01	Wales	Germany	0	2	WQ		-12	1596	1961	−3	+1	59	6
2009	05	29	China	Germany	1	1	F		7	1535	1954	+4	0	77	6
2009	06	02	United Arab Emirates	Germany	2	7	F		-3	1401	1957	−1	0	108	6
2009	08	12	Azerbaijan	Germany	0	2	WQ		-3	1357	1960	0	0	118	5
2009	09	05	Germany	South Africa	2	0	F		1	1961	1546	0	−1	5	74
2009	09	09	Germany	Azerbaijan	4	0	WQ		1	1962	1346	0	−1	5	121
2009	10	10	Russia	Germany	0	1	WQ		-23	1890	1985	−1	0	8	5
2009	10	14	Germany	Finland	1	1	WQ		-17	1968	1680	0	+1	5	46
2009	11	18	Germany	Ivory Coast	2	2	F		-7	1961	1760	0	+4	5	28
2010	03	03	Germany	Argentina	0	1	F		-14	1947	1917	−1	0	6	7
2010	05	13	Germany	Malta	3	0	F		0	1947	1216	0	0	6	151
2010	05	29	Hungary	Germany	0	3	F		-7	1608	1954	0	+1	53	5
2010	06	03	Germany	Bosnia and Herzegovina	3	1	F		3	1957	1642	0	0	5	50
