year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2008	02	06	Greece	Finland	2	1	FT	CY	9	1845	1678	+3	−1	14	42
2008	03	26	Greece	Portugal	2	1	F	DE	11	1856	1859	0	0	14	13
2008	05	19	Greece	Cyprus	2	0	F		2	1858	1534	0	−1	14	77
2008	05	24	Hungary	Greece	3	2	F		15	1574	1843	+6	0	64	14
2008	06	01	Armenia	Greece	0	0	F	DE	8	1447	1835	+2	0	97	14
2008	06	10	Sweden	Greece	2	0	EC	AT	43	1824	1792	+9	−7	15	21
2008	06	14	Russia	Greece	1	0	EC	AT	26	1804	1766	+6	−4	19	26
2008	06	18	Spain	Greece	2	1	EC	AT	9	2030	1757	0	−2	2	29
2008	08	20	Slovakia	Greece	0	2	F		-14	1609	1771	−3	+4	55	26
2008	09	06	Luxembourg	Greece	0	3	WQ		-2	1037	1773	0	0	184	26
2008	09	10	Latvia	Greece	0	2	WQ		-19	1523	1792	−8	+4	84	21
2008	10	11	Greece	Moldova	3	0	WQ		5	1797	1455	+1	0	21	93
2008	10	15	Greece	Switzerland	1	2	WQ		-28	1769	1788	−5	+7	26	23
2008	11	19	Greece	Italy	1	1	F		4	1773	2004	0	0	26	4
2009	02	11	Greece	Denmark	1	1	F		-1	1772	1829	−1	+1	26	15
2009	03	28	Israel	Greece	1	1	WQ		-4	1746	1776	+2	0	31	26
2009	04	01	Greece	Israel	2	1	WQ		13	1789	1733	+2	−2	24	31
2009	08	12	Poland	Greece	2	0	F		14	1726	1775	+2	−1	39	25
2009	09	05	Switzerland	Greece	2	0	WQ		19	1826	1756	+2	−6	16	31
2009	09	09	Moldova	Greece	1	1	WQ		11	1458	1745	+4	−3	92	34
2009	10	10	Greece	Latvia	5	2	WQ		12	1757	1563	+6	−3	28	67
2009	10	14	Greece	Luxembourg	2	1	WQ		0	1757	1097	−1	0	29	176
2009	11	14	Greece	Ukraine	0	0	WQ		-3	1754	1812	−3	0	31	16
2009	11	18	Ukraine	Greece	0	1	WQ		-29	1783	1783	−6	+9	22	22
2010	03	03	Greece	Senegal	0	2	F		-26	1757	1570	−7	+12	27	66
2010	05	25	Greece	North Korea	2	2	F	AT	-6	1751	1546	−2	0	29	79
2010	06	02	Paraguay	Greece	2	0	F	CH	15	1764	1736	+4	−3	25	30
