year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2008	02	06	Italy	Portugal	3	1	F	CH	9	2040	1870	0	0	2	13
2008	03	26	Spain	Italy	1	0	F		9	1981	2031	0	0	5	2
2008	05	30	Italy	Belgium	3	1	F		1	2032	1617	0	0	2	54
2008	06	09	Netherlands	Italy	3	0	EC	CH	51	2022	1981	+4	−3	3	6
2008	06	13	Italy	Romania	1	1	EC	CH	-5	1976	1920	+1	+1	5	10
2008	06	17	Italy	France	2	0	EC	CH	36	2012	1922	0	−2	5	8
2008	06	22	Italy	Spain	0	0	EC	AT	1	2013	2029	0	0	4	1
2008	08	20	Austria	Italy	2	2	F	FR	8	1590	2005	+1	−1	59	5
2008	09	06	Cyprus	Italy	1	2	WQ		-4	1526	2009	−3	+2	82	3
2008	09	10	Italy	Georgia	2	0	WQ		2	2011	1511	−1	0	4	85
2008	10	11	Bulgaria	Italy	0	0	WQ		6	1810	2005	0	0	20	4
2008	10	15	Italy	Montenegro	2	1	WQ		3	2008	1666	0	−1	4	47
2008	11	19	Greece	Italy	1	1	F		4	1773	2004	0	0	26	4
2009	02	10	Brazil	Italy	2	0	F	EN	14	2031	1990	+1	0	2	4
2009	03	28	Montenegro	Italy	0	2	WQ		-13	1658	2003	−2	0	47	4
2009	04	01	Italy	Ireland	1	1	WQ		-15	1988	1787	−1	+2	5	25
2009	06	06	Italy	Northern Ireland	3	0	F		2	1990	1589	0	0	5	61
2009	06	10	Italy	New Zealand	4	3	F	ZA	1	1991	1490	0	0	5	86
2009	06	15	Italy	United States	3	1	CC	ZA	20	2011	1790	+1	−6	4	22
2009	06	18	Egypt	Italy	1	0	CC	ZA	43	1746	1968	+11	−1	33	5
2009	06	21	Brazil	Italy	3	0	CC	ZA	30	2108	1938	0	−1	2	6
2009	08	12	Switzerland	Italy	0	0	F		1	1807	1937	0	0	18	6
2009	09	05	Georgia	Italy	0	2	WQ		-6	1459	1943	−1	0	93	6
2009	09	09	Italy	Bulgaria	2	0	WQ		12	1955	1796	0	−4	6	22
2009	10	10	Ireland	Italy	2	2	WQ		4	1786	1951	+2	0	22	6
2009	10	14	Italy	Cyprus	3	2	WQ		2	1953	1563	0	−2	6	68
2009	11	14	Italy	Netherlands	0	0	F		0	1953	2039	0	0	6	3
2009	11	18	Italy	Sweden	1	0	F		3	1956	1771	0	−2	6	26
2010	03	03	Cameroon	Italy	0	0	F	MC	6	1710	1950	+1	+1	38	5
2010	06	03	Mexico	Italy	2	1	F	BE	12	1898	1938	+1	0	8	6
2010	06	05	Switzerland	Italy	1	1	F		2	1762	1936	0	0	26	6
