year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2008	01	09	Nigeria	Sudan	2	0	F	ES	3	1753	1387	+1	−1	33	109
2008	01	21	Ivory Coast	Nigeria	1	0	AR	GH	24	1787	1729	+7	−4	24	37
2008	01	25	Mali	Nigeria	0	0	AR	GH	10	1587	1719	+3	−2	60	39
2008	01	29	Nigeria	Benin	2	0	AR	GH	8	1727	1348	+1	−1	39	116
2008	02	03	Ghana	Nigeria	2	1	AR		14	1803	1713	+3	0	21	40
2008	05	27	Austria	Nigeria	1	1	F		0	1596	1713	0	0	58	40
2008	06	01	Nigeria	South Africa	2	0	WQA		9	1722	1508	0	−4	40	85
2008	06	07	Sierra Leone	Nigeria	0	1	WQA		-3	1185	1725	−1	0	158	39
2008	06	15	Equatorial Guinea	Nigeria	0	1	WQA		-4	1247	1729	−1	+1	145	38
2008	06	21	Nigeria	Equatorial Guinea	2	0	WQA		2	1731	1245	0	0	38	145
2008	09	06	South Africa	Nigeria	0	1	WQA		-13	1492	1744	−3	+3	89	33
2008	10	11	Nigeria	Sierra Leone	4	1	WQA		2	1746	1246	0	0	33	143
2008	11	19	Colombia	Nigeria	1	0	F		7	1747	1739	+3	−2	32	35
2009	02	11	Jamaica	Nigeria	0	0	F	EN	3	1638	1736	−1	−1	52	37
2009	03	29	Mozambique	Nigeria	0	0	WQA		12	1413	1724	+5	−4	104	36
2009	05	29	Ireland	Nigeria	1	1	F	EN	-2	1785	1726	0	0	24	37
2009	06	02	France	Nigeria	0	1	F		-16	1876	1742	−1	+6	10	30
2009	06	07	Nigeria	Kenya	3	0	WQA		5	1747	1399	+2	−2	30	109
2009	06	20	Tunisia	Nigeria	0	0	WQA		0	1648	1747	+1	−1	49	32
2009	09	06	Nigeria	Tunisia	2	2	WQA		-10	1737	1658	−2	0	36	48
2009	10	11	Nigeria	Mozambique	1	0	WQA		3	1740	1405	0	−2	34	107
2009	11	14	Kenya	Nigeria	2	3	WQA		-7	1362	1747	0	0	117	35
2010	01	06	Nigeria	Zambia	0	0	F	ZA	-6	1741	1499	−3	0	36	87
2010	01	12	Egypt	Nigeria	3	1	AR	AO	42	1745	1699	+6	−6	34	41
2010	01	16	Nigeria	Benin	1	0	AR	AO	10	1709	1448	+1	−2	40	99
2010	01	20	Nigeria	Mozambique	3	0	AR	AO	13	1722	1387	+3	−3	37	113
2010	01	25	Nigeria	Zambia	0	0	AR	AO	-12	1710	1559	−2	+6	39	71
2010	01	28	Ghana	Nigeria	1	0	AR	AO	27	1708	1683	+3	−3	39	42
2010	01	30	Nigeria	Algeria	1	0	AR	AO	17	1700	1545	+1	−9	41	78
2010	03	03	Nigeria	DR Congo	5	2	F		4	1704	1419	0	−2	40	108
2010	05	25	Nigeria	Saudi Arabia	0	0	F	AT	-1	1703	1687	0	0	39	42
2010	05	30	Colombia	Nigeria	1	1	F	EN	-1	1745	1704	−1	0	31	38
2010	06	06	Nigeria	North Korea	3	1	F	ZA	9	1713	1537	0	−1	38	80
